"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","month","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","375722","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","T. D. Pennington","L. Riedel","2212","1821","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375722","NY00375722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00896550","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","T. D. Pennington","R. Goodland","916","1967","South America","Brazil","Triângulo region.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896550","NY00896550_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00896557","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","A. Alves-Araújo","J. M. Pires","16351","1978","South America","Brazil","Base de helicópteros de Sararé, Radambrasil, folha SD 21-YA, ponto 33A.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896557","NY00896557_01","Mato Grosso","08","03","-58.75","-15","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00896549","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","T. D. Pennington","G. G. Hatschbach","43117","1980","South America","Brazil","Fda. Bela Vista.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896549","NY00896549_01","Goiás","08","14","-47.6133","-16.7686","1000","1000","Cristalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375721","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","J. M. Pires","G. T. Prance","18914","1973","South America","Brazil","Chapada dos Guimarães, cerrado behind Colegio de Buriti","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375721","NY00375721_01","Mato Grosso","10","13","-55.749698638916","-15.460599899292","720","720","Chapada dos Guimarães","107042","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00896621","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","A. Alves-Araújo","L. Riedel","s.n.","1826","South America","Brazil","Brasilia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896621","NY00896621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375720","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","T. D. Pennington","J. G. Jardim","895","1996","South America","Brazil","Ca. de 17 Km a W de sede do municipio, na Rod. BA 349 no sentido Correntina/Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375720","NY00375720_01","Bahia","08","10","-44.73","-13.42",NA,NA,"Correntina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00896564","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","A. Alves-Araújo","S. A. Mori","16710","1984","South America","Brazil","Cuiabá-Chapada dos Guimaraes Hwy (MT251). 3 km W of Buriti.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896564","NY00896564_01","Mato Grosso","07","12","-55.7494","-15.4608","600","600","Chapada dos Guimaraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01211994","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","M. H. Terra-Araújo","B. Maguire","56571","1963","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01211994","NY01211994_01","Roraima","09","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01212947","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","subcaerulea","Pouteria subcaerulea","Pierre ex Dubard","A. Alves-Araújo","B. Maguire","56559","1963","South America","Brazil","66 km. west of Vilhena, Brasilia-Acre Highway","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212947","NY01212947_01","Rondônia","09","04","-60.569482","-12.436039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
