"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02497200","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","suberosa","Miconia suberosa","Meirelles & R.Goldenb.","isotype","J. Meirelles","795","2011","10","26","South America","Brazil","Amazonas","Borba","Reserva de Desenvolvimento Sustentável Igapo Açu.","-61.293592","-4.709731","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2789930' target='other'> <mi>dwc_moreinfo</mi></a>","NY02497200","NY02497200_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02497201","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","suberosa","Miconia suberosa","Meirelles & R.Goldenb.","paratype","J. Meirelles","784","2011","10","26","South America","Brazil","Amazonas","Borba","Reserva de Desenvolvimento Sustentável Igapo Açu.","-61.293592","-4.709731","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2790330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02497201","NY02497201_01","J. Meirelles",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01404814","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","suberosa","Miconia suberosa","Meirelles & R.Goldenb.","paratype","E. Lleras","P19674","1973","11","24","South America","Brazil","Amazonas",NA,"Road Manaus-Porto Velho (BR 319) ca. Km 235; Igapó Açu.","-61.2303257","-4.6089786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1416035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404814","NY01404814_01","J. Meirelles",NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:11-03","UFPR","UPCB","86713","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","suberosa","Miconia suberosa","Meirelles & R. Goldenb.","Paratype","Silva, M.F. et al.","796","1972","07","17",NA,"Brasil","Amazonas",NA,"Estrada Manaus-Porto Velho, Rio Castanho, igarapé do Tupanazinho.",NA,NA,NA,"Arvoreta de 5m de altura; botões jovens. No igapó..","UPCB0007402","UPCB0007402 UPCB0007402_1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:20:11-03","UFPR","UPCB","81340","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","suberosa","Miconia suberosa","Meirelles & R.Goldenb.","Isotype","Meirelles, J.","795","2011","10","26",NA,"Brasil","Amazonas","Borba","Reserva de Desenvolvimento Sustentável Igapó Açú, Mata de Igapó","-59.5938987731934","-4.38778018951416",NA,"Arvoreta ca. 6m alt. Pétalas, filetes e anteras brancas. Frutos imaturos verdes e alaranjados, quando maduros negros..","UPCB0002130","UPCB0002130",NA,"270195","auto",NA,NA,NA,NA,NA
"6","2021-02-11 17:20:11-03","UFPR","UPCB","81339","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","suberosa","Miconia suberosa","Meirelles & R.Goldenb.","Paratype","Meirelles, J.","784","2011","10","26",NA,"Brasil","Amazonas","Borba","Reserva de Desenvolvimento Sustentável Igapó Açú, Mata de Igapó","-59.5938987731934","-4.38778018951416",NA,"Arvoreta ca. 4m alt. Inflorescências acinzentadas.","UPCB0002131","UPCB0002131 UPCB0002131_1",NA,"270195","auto",NA,NA,NA,NA,NA
"7","2016-06-06 15:34:00-03","MO","MOBOT","3236204","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","suberosa","Miconia suberosa","Meireles & R. Goldenb.","Paratype","Eduardo Lleras","Lleras 19674","1973","11","24","South America","Brazil","Amazonas",NA,"Road Manaus-Porto Velho Br319 ca. km. 235; Igapo Acu; balck water varzea.",NA,NA,NA,NA,NA,NA,"R. Goldenberg (UPCB)",NA,NA,"1",NA,NA,NA,NA
"8","2020-08-31 09:07:02-03","INPA","INPA","249766","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Miconia","suberosa","Miconia suberosa","J.E.Meirelles & R.Goldenb.","paratype","Meirelles, J","794","2011","11","08","Southern America","Brasil","Roraima","Pacaraima","BR 174, Terra Indígena São Marcos, BR-174. Terra Indígena São Marcos, próximo a fazenda Monte Roraima.","-61.016667","4.166667",NA,NA,"INPA0249766","INPA0249766 INPA0249766_e INPA0249766_num","Goldenberg, R; Meireles, J",NA,NA,NA,"-61.016667","4.166667",NA,NA
"9","2020-08-31 09:07:02-03","INPA","INPA","249783","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Miconia","suberosa","Miconia suberosa","J.E.Meirelles & R.Goldenb.",NA,"Meirelles, J","785","2011","11","08","Southern America","Brasil","Roraima","Pacaraima","BR 174, Terra Indígena São Marcos, BR-174. Terra Indígena São Marcos, próximo a fazenda Monte Roraima.","-61.016667","4.166667",NA,NA,"INPA0249783","INPA0249783 INPA0249783_e INPA0249783_num",NA,NA,NA,NA,"-61.016667","4.166667",NA,NA
"10","2020-08-31 09:07:02-03","INPA","INPA","36887","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Miconia","suberosa","Miconia suberosa","J.E.Meirelles & R.Goldenb.","paratype","Silva, MF da","796","1972","07","17","Southern America","Brasil","Amazonas",NA,"BR 319, Rio Castanho, igarapé do Tupanazinho, Estrada Manaus-Porto Velho, Rio Castanho, igarapé do Tupanazinho","-60.970147","-4.018722",NA,NA,"INPA0036887","INPA0036887 INPA0036887_e","Goldenberg, R",NA,NA,NA,"-60.970147","-4.018722",NA,NA
