"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039647","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nunesiana","Ocotea nunesiana","(Vattimo-Gil) Baitello","M. L. Brotto","M. L. Brotto","281","2009","02","07","South America","Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi.","-48.9161","-25.4394","535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488681' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039647","NY01039647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1039667","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nunesiana","Ocotea nunesiana","(Vattimo-Gil) Baitello","M. L. Brotto","M. L. Brotto","378","2009","09","21","South America","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0183","-25.38","960","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488739' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039667","NY01039667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1039661","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nunesiana","Ocotea nunesiana","(Vattimo-Gil) Baitello","M. L. Brotto","M. L. Brotto","363","2009","07","12","South America","Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi.","-48.9161","-25.4394","535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039661","NY01039661_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039643","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nunesiana","Ocotea nunesiana","(Vattimo-Gil) Baitello","M. L. Brotto","M. L. Brotto","277","2009","01","22","South America","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0183","-25.38","960","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488675' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039643","NY01039643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504922","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","nunesiana","Phoebe nunesiana","Vattimo","I. de Vattimo","R. Reitz","1860","1954","06","03","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504922","NY00504922_01","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","504925","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","nunesiana","Phoebe nunesiana","Vattimo","I. de Vattimo","R. M. Klein","1068","1955","01","13","South America","Brazil","Santa Catarina","Luis Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504925","NY00504925_01","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504923","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","nunesiana","Phoebe nunesiana","Vattimo","I. de Vattimo","R. Reitz","1707","1954","03","04","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504923","NY00504923_01","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504926","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","nunesiana","Phoebe nunesiana","Vattimo","I. de Vattimo","R. M. Klein","1792","1955","12","07","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504926","NY00504926_01","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","459706","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","nunesiana","Phoebe nunesiana","Vattimo","F. G. Lorea-Hernández","P. K. H. Dusén","8108a","1909","05","11","South America","Brazil","Paraná","Paranaguá","Alexandra","-48.631716","-25.548936",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459706","NY00459706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504924","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","nunesiana","Phoebe nunesiana","Vattimo","I. de Vattimo","R. M. Klein","846","1954","11","29","South America","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504924","NY00504924_01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
