"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"1","2016-11-01 14:18:00-02","NY","NYBG","786662","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus","J. R. Swallen","L. B. Smith","7443","1956","11","08","South America","Brazil","Santa Catarina","Campo Alegre","Morro Iquererim","-49.2656","-26.1925","1300","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786662","NY00786662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 16:44:00-03","NY","NYBG","786661","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus","L. B. Smith","L. B. Smith","15591","1971","12","02","South America","Brazil","Santa Catarina","Agua Doce","16 km. south of Horizonte","-51.5558","-26.9981",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786661","NY00786661_01 NY00786661_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 16:44:00-03","NY","NYBG","786663","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus","B. Rosengurtt","T. M. Pedersen","9293","1969","11","14","South America","Paraguay","Paraguarí",NA,"Chololó",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:20:15-03","NBC","NL-BOTANY","L.1342649","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Sporobolus","adustus","Sporobolus adustus",NA,"Pedersen TM",NA,"1969","11","14","Southern America","Paraguay",NA,NA,"Chololó.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1342649 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1342649","NL-L1342649","Magnoliopsidae","(Trin.) Roseng., B.R.Arrill. & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:52-03","ESALQ","ESA","40135","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","referido em Longhi-Wagner (2001)","Ferreira, W.M. et al.","1577.0","1997","11","06",NA,"Brasil","São Paulo","Estreito",NA,NA,NA,NA,NA,NA,NA,"ESA040135","ESA040135",NA,"(Trin.) Roseng.",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-02 02:01:12-03","UFPI","TEPB","6062","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","A. J. CASTRO","E.P.Heringer","3016","1980","01","02",NA,"Brasil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Folhas pilosas Ambiente: Cerrado",NA,NA,NA,"(Trin.)R.Arl.","1980","07","29","70570","auto",NA,NA,NA
"7","2019-08-27 13:26:11-03","IAP","PACA-AGP","99541","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Sporobolus","adustus","Sporobolus adustus",NA,"P.G. Windisch","9955","2005","04","24",NA,"Brasil","RS","Cambará do Sul","acesso ao Parque Nacional deAparados da Serra","-50.133333","-29.033333",NA,NA,NA,"Habitat: campo,margem da estrada","PACA099541",NA,"Liliatae","(Trin.) Roseng",NA,NA,NA,NA,NA,"50°08'W","29°02'S",NA
"8","2019-08-27 13:26:11-03","IAP","PACA-AGP","99542","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Sporobolus","adustus","Sporobolus adustus",NA,"P.G. Windisch","9955","2005","04","24",NA,"Brasil","RS","Cambará do Sul","acesso ao Parque Nacional dos Aparados da Serra","-50.133333","-29.033333",NA,NA,NA,"Hasu Habitat: campo, margem de estrada","PACA099542",NA,"Liliatae","(Trin.) Roseng",NA,NA,NA,NA,NA,"50°08'W","29°02'S",NA
"9","2021-03-01 16:20:43-03","UNICAMP","UEC","109463","S","Plantae","Liliopsida",NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Oliveira, RC","Freitas, L","757","1999","11","17",NA,"Brazil","Minas Gerais","São Roque de Minas","São José do Barreiro, Lado esquerdo da Guarita do Ibama","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Erva cespitosa, ca. 20cm.; Campo de altitude.","UEC056535","UEC056535",NA,"(Trin.) Roseng.Arrill.de Moffei & Izag.",NA,NA,NA,"57119","auto",NA,NA,NA
"10","2020-12-04 13:19:39-03","UDESC","LUSC","3599","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus",NA,"Rúgolo, Z.; et al.",NA,"1992","12","09",NA,"Brasil",NA,"Brasil","BR-280, 1k após entrada da BR-153.",NA,NA,NA,NA,NA,"Habitat: matas circulares","LUSC009017","LUSC009017",NA,"(Trin.) Roseng., B.R. Arrill. & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
