"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:43:04-03","E","E","295937","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","pohliana","Guettarda pohliana","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","254","1988","05","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312870","<a href=http://data.rbge.org.uk/herb/E00295937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907202","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","burchelliana","Guettarda burchelliana","J. A. Ratter","R3802","1976","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907202","Magnoliophyta","Gentianales","Müll.Arg.","P. G. Delprete","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower","-47.93495","-15.952","NY00907202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907201","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","burchelliana","Guettarda burchelliana","J. A. Rizzo","3040","1968","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907201","Magnoliophyta","Gentianales","Müll.Arg.","P. G. Delprete","Goiás","Goiânia","A margem direita da rodovia Goiânia-Sao Paulo. Jardim Goiás","-49.2539","-16.6786","NY00907201_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","950372","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","J. A. Ratter","R.1082","1968","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950372","Magnoliophyta","Gentianales","S.Moore",NA,"Mato Grosso",NA,"9 km E. of the Base Camp of the Expedition. (c. 270 km N. of Xavantina).","-51.87","-12.9","NY00950372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","950371","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","R. de Lemos Fróes","1733","1932","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950371","Magnoliophyta","Gentianales","S.Moore",NA,"Maranhão",NA,"Maracassumé River Region. Ubim [palm].",NA,NA,"NY00950371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","950370","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","D. Philcox","4649","1968","04","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950370","Magnoliophyta","Gentianales","S.Moore",NA,"Mato Grosso","Barra do Garças","10 km. W. of km. 90, Xavantina-Aragarças road. Vale dos Sonhos.","-52.23","-14.63","NY00950370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","950368","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","C. A. Cid Ferreira","6072","1985","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950368","Magnoliophyta","Gentianales","S.Moore","B. M. Boom","Mato Grosso","Nobres","BR 163, Rod. Cuiabá-Sinop a 145 km ao S de Sinop. Próx. a Lucas do Rio Verde.","-55.92","-13.08","NY00950368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","950373","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","G. G. Hatschbach","65462","1996","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950373","Magnoliophyta","Gentianales","S.Moore","S. F. Smith","Mato Grosso","Pontes e Lacerda","Serra da Borda","-59.3353","-15.2261","NY00950373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","950369","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","J. A. Ratter","R.1122","1968","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950369","Magnoliophyta","Gentianales","S.Moore",NA,"Mato Grosso",NA,"9 km E. of the Base Camp of the Expedition. (c. 270 km N. of Xavantina).","-51.87","-12.9","NY00950369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","131682","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","mattogrossensis","Guettarda mattogrossensis","S. L. M. Moore","742","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131682","Magnoliophyta","Gentianales","S.Moore",NA,"Mato Grosso",NA,NA,NA,NA,"NY00131682_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1146470","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","pohliana","Guettarda pohliana","P. G. Delprete","9515","2006","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146470","Magnoliophyta","Gentianales","Müll.Arg.","P. G. Delprete","Tocantins","Palmas","Distrito Taquaruçu. Povoado de Taquara (estrada do Aterro Sanitário), ca. 8 km do asfalto.","-48.2275","-10.3781","NY01146470_01",NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00891557","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","pohliana","Guettarda pohliana","J. H. Kirkbride Jr.","3492","1980","05","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891557","Magnoliophyta","Gentianales","Müll.Arg.","J. H. Kirkbride Jr.","Goiás","Formosa","Ao margem do Rio Paraim","-46.98","-15.42","NY00891557_01",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00891551","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","pohliana","Guettarda pohliana","H. S. Irwin","15256","1966","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891551","Magnoliophyta","Gentianales","Müll.Arg.","J. A. Steyermark","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","-47.1025","-15.30964","NY00891551_01",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00891554","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","pohliana","Guettarda pohliana","H. S. Irwin","17932","1966","06","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891554","Magnoliophyta","Gentianales","Müll.Arg.","J. A. Steyermark","Goiás","Caiapônia","Ca. 45 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","-51.77","-17.28","NY00891554_01",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
