"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:33-03","E","E","386758","PreservedSpecimen","Plantae","Leguminosae","Cassia","ferruginea","Cassia ferruginea","unspecified kind of","Sellow, F.","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:433860","<a href=http://data.rbge.org.uk/herb/E00386758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00386758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","386759","PreservedSpecimen","Plantae","Leguminosae","Cassia","ferruginea","Cassia ferruginea",NA,"Olfers","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:433862","<a href=http://data.rbge.org.uk/herb/E00386759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00386759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00959295","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea ferruginea",NA,"H. S. Irwin","South America","Brazil","Serra do Espinhaço, ca. 5 km N.E. of Francisco Sá, on road to Salinas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959295","Magnoliophyta","Fabales","ferruginea","(Schrad.) Schrad. ex DC.","R. C. Barneby","23209","1969","02","13","Minas Gerais","Francisco Sá","-43.44565","-16.4661","950","950","NY00959295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-02 12:46:00-02","NY","NYBG","00959190","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea",NA,"E. P. Heringer","South America","Brazil","Estação Experimental de Café Coronel Pacheco.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959190","Magnoliophyta","Fabales",NA,NA,NA,"s.n.","1940","12","05","Minas Gerais",NA,NA,NA,NA,NA,"NY00959190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00959158","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea velloziana",NA,"E. T. Neto","South America","Brazil","Perdizes. Mata da Capivara; Unidade de Conservaçao do Galheiro- Cemig","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959158","Magnoliophyta","Fabales","velloziana","H.S.Irwin & Barneby","R. C. Barneby","1448","1994","12","17","Minas Gerais",NA,NA,NA,NA,NA,"NY00959158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3795","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea velloziana","holotype","A. F. M. Glaziou","South America","Brazil","Floresta da Tijuca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003795","Magnoliophyta","Fabales","velloziana","H.S.Irwin & Barneby",NA,"10696",NA,NA,NA,NA,NA,"-43.28939","-22.947934",NA,NA,"NY00003795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","594530","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea ferruginea",NA,"A. Euponino","South America","Brazil","Rod. BR-367, a 16 km a W de Porto Seguro. Folha SE-24 (16-39c). Prox. a Estaçao Ecológica do Pau Brasil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594530","Magnoliophyta","Fabales","ferruginea","(Schrad.) Schrad. ex DC.","R. C. Barneby","371","1978","11","03","Bahia","Porto Seguro","-39.1851076","-16.3961466",NA,NA,"NY00594530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00959187","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea ferruginea",NA,"A. F. Regnell","South America","Brazil","Caldas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959187","Magnoliophyta","Fabales","ferruginea","(Schrad.) Schrad. ex DC.","H. S. Irwin; R. C. Barneby","II:77",NA,NA,NA,"Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,"NY00959187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00959135","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea ferruginea",NA,"H. S. Irwin","South America","Brazil","Serra do Espinhaço, ca. 5 km N.E. of Francisco Sá, on road to Salinas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959135","Magnoliophyta","Fabales","ferruginea","(Schrad.) Schrad. ex DC.","H. S. Irwin; R. C. Barneby","23209","1969","02","13","Minas Gerais","Francisco Sá","-43.44565","-16.4661","950","950","NY00959135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01476913","PreservedSpecimen","Plantae","Fabaceae","Cassia","ferruginea","Cassia ferruginea",NA,"Y. E. J. Mexia","South America","Brazil","Viçosa. Road to São Miguel, about km 12.","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751673' target='other'> <mi>dwc_moreinfo</mi></a>","NY01476913","Magnoliophyta","Fabales",NA,"(Schrad.) Schrad. ex DC.","G. O. A. Malme","4356","1930","02","16","Minas Gerais","Viçosa","-42.8817","-20.7542","800","800","NY01476913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
