"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","locality","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2020-09-23 10:37:58-03","E","E","433294","PreservedSpecimen","Plantae","Compositae","Ophryosporus","freyreysii","Ophryosporus freyreysii","unspecified kind of","Gardner, George","4851","1905","01","13","E. Tropical South America","BR","Minas Geraes","herbarium specimen of unspecif","BGBASE:462138","<a href=http://data.rbge.org.uk/herb/E00433294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:23:00-03","NY","NYBG","895097","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"J. Schücht","138",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895097","Magnoliophyta","Asterales","B. L. R.","Brazil.","NY00895097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","801362","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"G. Gardner","4851","1840","08",NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801362","Magnoliophyta","Asterales",NA,"Seno do fais",NA,"(Thunb.) Baker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","801359","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"J. P. P. Carauta","1119","1970","07","22","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801359","Magnoliophyta","Asterales","H. E. Robinson","Correias, Serra dos Orgaos, caminho para a Gruta do Presidente",NA,"(Thunb.) Baker","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 15:36:00-03","NY","NYBG","801361","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Pohl","3015",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801361","Magnoliophyta","Asterales",NA,"Fay Viera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","801360","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"R. M. Harley","25330","1988","10","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801360","Magnoliophyta","Asterales",NA,"Pico das Almas. Vertente leste. Fazenda Silvina. 19km. ao N-O da cidade",NA,"(Thunb.) Baker","Rio de Contas","-41.97","-13.53","1420","1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 15:36:00-03","NY","NYBG","801363","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"L. Riedel","s.n.","1824","08","01","South America","Brazil",NA,"sheet",NA,"[collector number 356? - see specimen label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801363","Magnoliophyta","Asterales","I. M. Krascheninnikov","Pr. Marianna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:03-03","UFRJ","RFA","23074","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"F. Segadas-Vianna","23","1943","06","00",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"RFA18858",NA,NA,"Graziela M. Barroso","Macieiras",NA,"(Thunb.) Baker","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"1964","09","21","19648","auto",NA,NA,NA,NA,NA
"9","2019-11-19 15:43:23-03","UNEB","HUNEB","11612","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Almeida, G.S.S.","491","2006","07","25",NA,"Brasil","Minas Gerais",NA,NA,NA,"HUNEB0011612","Angiospermae","Florideophycidae",NA,"Parque Estadual do Itacolomi: Trilha da Estrada de Baixo.",NA,"(Thumb. & Dallm.) Baker","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"44599","auto","Dicotyledoneae",NA,NA,NA,NA
"10","2019-11-19 15:43:23-03","UNEB","HUNEB","11844","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Almeida, G.S.S.","482","2006","07","25",NA,"Brasil","Minas Gerais",NA,NA,NA,"HUNEB0011844","Angiospermae","Florideophycidae",NA,"Parque Estadual do Itacolomi: Trilha do Estrada de Cima.",NA,"(Thunb.) Baker","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"44599","auto","Dicotyledoneae",NA,NA,NA,NA
"11","2020-11-04 11:01:57-03","ESALQ","ESA","35198","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12162.0","1996","09","02",NA,"Brasil","Minas Gerais",NA,NA,"Erva subescandente; capítulos creme.","ESA035198","Magnoliophyta",NA,"Hind, N.","Parque Nacional do Caparaó. Caminho entre Tronqueira (1970 m.s.m.) e o Pico da Bandeira (2890 m.s.m.; 20º25'54.0S, 41º48'27.4W). Campo de altitude.","ESA035198",NA,"Alto Caparaó","-41.8683013916016","-20.4333000183105","1970","1970","2007","02","24","21645","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:01:57-03","ESALQ","ESA","76885","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Lombardi, J.A.","3127.0","1999","07","10",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA076885","Magnoliophyta",NA,"Robinson, H.",NA,"ESA076885","(Thunb.) Baker","Fervedouro","-42.2789001464844","-20.7255992889404",NA,NA,NA,NA,NA,"20038","auto",NA,NA,NA,NA,NA
"13","2020-11-04 11:01:57-03","ESALQ","ESA","35205","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12117.0","1996","09","01",NA,"Brasil","Minas Gerais",NA,NA,"Erva subescandente; flores alvas.","ESA035205","Magnoliophyta",NA,"Hind, N.","Parque Nacional do Caparaó. Estrada entre o alojamento e Vale Verde. Mata de altitude.","ESA035205",NA,"Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,"2007","02","24","21645","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:01:57-03","ESALQ","ESA","35202","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12088.0","1996","09","01",NA,"Brasil","Minas Gerais",NA,NA,"Arbusto subescandente; flores alvas.","ESA035202","Magnoliophyta",NA,"Hind, N.","Parque Nacional do Caparaó. Estrada entre o alojamento e Vale Verde. Mata de altitude.","ESA035202",NA,"Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,"2007","02","24","21645","auto",NA,NA,NA,NA,NA
"15","2020-11-04 11:01:57-03","ESALQ","ESA","72499","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Krieger, L. et al.",NA,"1988","09","18",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA072499","Magnoliophyta",NA,"Hind, N.","Parque Nacional do Caparaó. Tronqueira","ESA072499","Baker","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,"2007","02","24","21645","auto",NA,NA,NA,NA,NA
"16","2020-11-04 11:01:57-03","ESALQ","ESA","13541","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Miyagi, P.H.","18.0","1993","07","04",NA,"Brasil","São Paulo",NA,NA,NA,"ESA013541","Magnoliophyta",NA,"Nakajima, J.N.",NA,"ESA013541","(Thunb.) Baker","Arujá","-46.3199996948242","-23.3899993896484",NA,NA,NA,NA,NA,"7742","auto",NA,NA,NA,NA,NA
"17","2016-02-02 14:37:57-02","BGBM","B","B 10 0094217","S","Plantae","Compositae","Ophryosporus","freyreysii","Ophryosporus freyreysii","type ?","G. Gardner","4852",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100094217 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100094217",NA,NA,"R. M. King & H. Robinson","Minas Gerais.","B100094217 B100094217_1","Baker",NA,NA,NA,NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-20 21:15:59-03","UFV","VIC","29119","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Almeida, G.S.S.; et al.","491","2006","07","25",NA,"Brasil","Minas Gerais",NA,NA,"Subarbusto escandente, flores alvas, papilho de cerdas alvas.","VIC029119",NA,NA,NA,"Parque Estadual do Itacolomi, Trilha da estrada de baixo",NA,"(Thunb.) Baker","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"19","2020-12-20 21:15:58-03","UFV","VIC","21221","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Ferreira, S.C.; Eleiter, M.","18A","2004","10","01",NA,"Brasil","Minas Gerais",NA,NA,"Erva, c.a. de 1,5 metros de altura, com flores brancas.","VIC021221",NA,NA,"Nakajima, J.N.","EPTEA Mata do Paraíso, Mata do Paraíso. Próximo à trilha principal em área aberta.","VIC021221","(Thunb.) Baker","Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA
"20","2020-12-20 21:15:59-03","UFV","VIC","31317","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Ferreira, S.C.; Francino, D.M.T.","166","2005","08","25",NA,"Brasil","Minas Gerais",NA,NA,"Subarbusto escandente, flores brancas, brácteas verdes. Planta com aroma adocicado.","VIC031317",NA,NA,"Nakajima, J.N.","EPTEA Mata do Paraíso, Mata do Paraíso. Trilha dos gigantes.","VIC031317","(Thunb.) Baker","Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA
"21","2020-12-20 21:15:59-03","UFV","VIC","29118","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Almeida, G.S.S.; et al.","482","2006","07","25",NA,"Brasil","Minas Gerais",NA,NA,"Subarbusto de ca 1,5 m, escandente, brácteas involucras tomentosas, flores alvas, cipsela esparso setosa, papilho creme.","VIC029118",NA,NA,NA,"Parque Estadual do Itacolomi, Trilha da estrada de cima",NA,"(Thunb.) Baker","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"22","2020-12-20 21:15:59-03","UFV","VIC","31316","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Ferreira, S.C.; Eleiter, M.","16","2004","10","01",NA,"Brasil","Minas Gerais",NA,NA,"Erva com flores brancas e fruto.","VIC031316",NA,NA,"Nakajima, J.N.","EPTEA Mata do Paraíso, Mata do Paraíso. Próximo à trilha principal em área aberta.","VIC031316","(Thunb.) Baker","Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA
"23","2020-12-20 21:15:58-03","UFV","VIC","21154","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Ferreira, S.C.; Cabrini, E.C.","152","2005","08","05",NA,"Brasil","Minas Gerais",NA,NA,"Subarbusto escandente, flores brancas, ramos do estilete brancos, exsertos. Planta com aroma fortemente adocicado.","VIC021154",NA,NA,"Nakajima, J.N.","EPTEA Mata do Paraíso, Mata do Paraíso. Trilha principal.","VIC021154","(Thunb.) Baker","Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA
"24","2019-11-21 14:32:04-03","UFJF","CESJ","22566","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"L. Krieger","CESJ22566","1988","09","18","América do Sul","Brasil","Minas Gerais",NA,NA,"Arbusto, 2 a 3 m, meio cipó, capítulos creme-esverdeados, caule arroxeado.","CESJ022566","Angiosperma",NA,"J.N. Nakajima","Parque Nacional do Caparaó, Tronqueira",NA,"(Thunb.) Baker",NA,NA,NA,NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 14:32:04-03","UFJF","CESJ","26761","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"E. Ribeiro","30","1992","08","01","América do Sul","Brasil","Minas Gerais",NA,NA,"Cheiro muito agradável, flores brancas, ocorrendo em pasto sujo.","CESJ026761","Angiosperma",NA,"R.L.Esteves","São Francisco da Prata, Fazenda Cachoeirinha",NA,"(Thunb.) Baker","Olaria","-43.937198638916","-21.8607997894287",NA,NA,"2004","08","31","15222","auto",NA,NA,NA,NA,NA
"26","2019-11-21 14:32:04-03","UFJF","CESJ","26750","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"E. Ribeiro","17","1992","08","01","América do Sul","Brasil","Minas Gerais",NA,NA,"Erva de até 1,0 m, flores brancas, em pastagens abandonadas.","CESJ026750","Angiosperma",NA,"A.C. Fernandes","São Francisco do Prata, Fazenda do Prata",NA,"(Thunb.) Baker","Olaria","-43.937198638916","-21.8607997894287",NA,NA,"2013","05",NA,"15222","auto",NA,NA,NA,NA,NA
"27","2021-03-01 16:24:55-03","UNICAMP","UEC","128686","S","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Krieger, L; et al.","22566","1988","09","18",NA,"Brazil","Minas Gerais",NA,NA,"Arbusto, 2 a 3m, meio cipó, capítulos creme-esverdeados, caule arroxeado.","UEC120216","Magnoliopsida",NA,"Lopes, ITFV","Parque Nacional do Caparaó., Tronqueira.","UEC120216","(Thunb.) Baker",NA,NA,NA,"1970","1970","2017","01",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:24:55-03","UNICAMP","UEC","2242","S","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5805","1977","09","06",NA,"Brazil","Minas Gerais",NA,NA,"Trepadeira. Flores creme.; Beira de mata e campo aberto com pedras.","UEC126673","Magnoliopsida",NA,"Barros, F","Pico da Bandeira perto de Caparão. Beira de mata e campo aberto com pedras. Alt. 1800-2000m.","UEC126673","(Thunb.) Baker","Pico da Bandeira",NA,NA,NA,NA,"1980","01","08",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:24:55-03","UNICAMP","UEC","167191","S","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Leoni, BS","4230","1999","07",NA,NA,"Brazil","Minas Gerais",NA,NA,"Subarbusto, corola alva.","UEC035989","Magnoliopsida",NA,"Esteves, RL","Serra do Caparaó, Parque Nacional do Caparaó.","UEC035989","(Thunb.) Baker","Alto Caparaó","-41.8683013916016","-20.4333000183105","1800","1800","2018",NA,NA,"21645","auto",NA,NA,NA,NA,NA
"30","2019-11-05 16:45:16-03","UFOP","OUPR","16023","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"Beira de estrada. Erva. Flores pálidas",NA,NA,NA,"Badini, J.",NA,NA,"(Thunb.) Baker","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"1941",NA,NA,"44599","auto",NA,NA,NA,NA,NA
"31","2019-11-05 16:45:16-03","UFOP","OUPR","16014","PreservedSpecimen","Plantae","Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii",NA,"Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"Campo. Flores pálidas",NA,NA,NA,"Badini, J.","Cachoeira do Campo",NA,"(Thunb.) Baker","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"1976","09","09","44599","auto",NA,NA,NA,NA,NA
