"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","376850","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","G. Martinelli","C. Farney","390","1984","01","11","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Picada em direçao à Pedra da Gávea","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376850","NY00376850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376889","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","L. B. Smith","L. B. Smith","6428","1952","04","08","South America","Brazil","Rio de Janeiro",NA,"Pedra da Gavea, Distrito Federal.","-43.284653","-22.997401","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376889","NY00376889_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02171580","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Illegible collector name","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321452' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171580","NY02171580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376851","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","G. Martinelli","C. Angeli","590","1985","01","11","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estr. da Vista Chinesa no Alto da Pedra das Gutíferas em frente a guarita do Parque Nacional da Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376851","NY00376851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:40-03","UFRJ","RFA","43815","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","T. Wendt","T. Wendt","606","2009","06","18",NA,"Brasil","Rio de Janeiro","Niterói","Forte Imbuí","-43.1035995483398","-22.88330078125",NA,NA,"RFA56292",NA,NA,NA,"14785","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:40-03","UFRJ","RFA","43813","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","T. Wendt","T. Wendt","604","2009","06","18",NA,"Brasil","Rio de Janeiro","Niterói","Forte Imbuí","-43.1035995483398","-22.88330078125",NA,NA,"RFA56290",NA,NA,NA,"14785","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:29:40-03","UFRJ","RFA","24665","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","F. Tatagiba","F. Tatagiba; D. Mantuano; A. Lima","62","2000","04","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Reserva Florestal do Grajaú, Pedra Perdidos do Andaraí, vertente 145° N","-43.2075004577637","-22.9027996063232",NA,"Erva rupícola de folhas verdes escuras, frutos imaturos verdes. Ocorre em moitas associada a outras espécies; população com dezenas de indivíduos em início de frutificação","RFA51207",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:25:59-03","MN","R","105761","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Wendt, T.","Smith, L.B. 6428; Magnanini, A. & Egler, W.A.",NA,"1952","04","08",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006905",NA,NA,NA,"57442","auto","1987","01",NA,NA,NA,NA,NA
"9","2021-01-14 15:25:59-03","MN","R","116964","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Wendt, T.","Emmerich, M.","2","1957","06","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006906",NA,NA,NA,"57442","auto","1987","01",NA,NA,NA,NA,NA
"10","2021-01-14 15:25:59-03","MN","R","128865","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Tatagiba, F.","Carauta, J.P.P.","38","1957","07","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006898",NA,NA,NA,"57442","auto","2002","07","25",NA,NA,NA,NA
