"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:26:06-03","UNESC","CRI","1090","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1368","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009799","CRI009799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:09-03","UNESC","CRI","6875","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","R. Reitz","R. Reitz; R. M. Klein","14.489","1962","12","22","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.130278","-27.689722","51º7'49''W","27º41'23''S",NA,NA,"CRI009797","CRI009797","1979","12","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:06-03","UNESC","CRI","1091","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1369","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009826","CRI009826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:09-03","UNESC","CRI","2882","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","R. Reitz","R. Reitz; R. M. Klein",NA,"1962","12","22","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.130278","-27.689722","51º7'49''W","27º41'23''S","503","503","CRI009690","CRI009690","1979","10","24","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","1345","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","Jairo Jose Zocche","Jairo Jose Zocche",NA,"1990","06","15","Brasil","Rio Grande do Sul","Torres",NA,"-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,NA,"CRI009801","CRI009801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:06-03","UNESC","CRI","1155","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Ricardo Ribeiro Rodrigues","1405","1992","04","07","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009802","CRI009802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:08-03","UNESC","CRI","11619","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","A. Stival-Santos","A. Stival-Santos; D. Meyer & S. Silveira","3200","2010","07","06","Brasil","Santa Catarina","Biguaçu",NA,"-48.759722","-27.367778","48º45'35''W","27º22'4''S","6","6","CRI008274","CRI008274","2010","07","06","Floresta Ombrófila Densa Habitat: beira da Estrada Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:09-03","UNESC","CRI","7053","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","F. Silva Filho","F. Silva Filho; K. Frutstsugi e S. Pugues","111","2001","10","05","Brasil","Santa Catarina","Ipuaçu",NA,"-52.467778","-26.695278","52º28'4''W","26º41'43''S",NA,NA,"CRI009825","CRI009825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:09-03","UNESC","CRI","6921","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","R. Reitz","Reitz; Klein","14.768","1963","04","13","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.125278","-27.685556","51º7'31''W","27º41'8''S",NA,NA,"CRI009800","CRI009800","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:06-03","UNESC","CRI","12015","PreservedSpecimen","Plantae","Sapindaceae","Cupania","vernalis","Cupania vernalis","Cambess.","Stival-Santos, A","Stival-Santos, A; Legal, E & Silveira, S","2239","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","CRI010161","CRI010161","2010","03","30","Doação Herbário FURB (23184)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
