"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","phylum","order","locality","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","class","previousCatalogNumber","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:34:14-03","UNESC","CRI","520","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) P.Brack","F.S. Cabral","2017","04","11","Marlize Martinello","1990","10","29","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S","CRI007736","CRI007736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","1681","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) P.Brack","Marcos Sobral","1993","08","12","Vanilde Citadini-Zanette; C. M. Martinello e Robson dos Santos","1993","03","26","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI007733","CRI007733","1592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1758","S","Plantae","Urticaceae","Urera","cf. nitida","Urera cf. nitida","(Vell.) P.Brack","Lívia Andrade Echternacht; Leandro Lacerda Giacomin","2005","08",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","06","Brasil","Minas Gerais","Marliéria","-42.7322006225586","-19.7122001647949","19º45'a19º30'","42º38' a 48º28'",NA,NA,"Ordones939","Magnoliophyta","Rosales","Campolina","28215","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777774","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) P.Brack","S. Romaniuc Neto",NA,NA,NA,"S. Romaniuc Neto","1992","03","22","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00777774","NY00777774_01","1284","Magnoliophyta","Rosales","Caucaia do Alto",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327198' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","441438","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) P.Brack","S. M. Silva",NA,NA,NA,"S. B. Mikich","1996","02","13","Brazil","Paraná","Fênix","-52.45","-23.4",NA,NA,"NY00441438","NY00441438_01",NA,"Magnoliophyta","Rosales","Fazenda Cagibi",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327199' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:11:07-03","UTFPR","DVPR","3548","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) P.Brack","Caxambu, MG","2014","05","28","Caxambu, MG; et al.","2014","05","16","Brasil","Paraná","Fênix","-51.5749","-23.5226","-51.5749","-23.5226","DVPR003548",NA,"5230","Magnoliophyta",NA,"RPPN Vila Rica - Propriedade de Bernard Philippe Marie Phillibert de Laguiche.",NA,NA,"arvoreta ca. 1 m, semi-ciófila. Frutos maduros alvos e inflorescência rosas.; Relevo: suave-ondulado - Vegetação: Floresta Estacional Semidecidual Submomtana - Solo: Latossolo vermelho",NA,NA,NA,"334","334",NA,NA,NA,NA,NA
"7","2020-11-24 17:11:07-03","UTFPR","DVPR","3575","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) P.Brack","Caxambu, MG","2010","08","11","Caxambu, MG; et al.","2010","07","09","Brasil","Paraná","Luiziana","-52.2657","-24.32162","-52.2657","-24.32162","DVPR003575",NA,"3099","Magnoliophyta",NA,"Estação Ecológica Luiziana.",NA,NA,"subarbusto heliófito, ca. 1 m. Frutos alvos. Flores avermelhadas.; Relevo: suave-ondulado - Solo: Latossolo vermelho.",NA,NA,NA,"681","681",NA,NA,NA,NA,NA
"8","2020-01-20 14:40:53-03","UPM","MACK","985","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","Brack","A. L. Gaglioti","2011","08","02","P. L. R. Moraes; et al.","1994","04","22","Brasil","SP","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"918",NA,NA,"Parque Estadual de Carlos Botelho","27904",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:25:26-03","UFBA","ALCB","07774","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) Brack","Brack, P","1987","04",NA,"Grupo Pedra do Cavalo","1980","06",NA,"Brasil","Bahia","Cachoeira","-39.083333","-12.533333","-39.083333","-12.533333","ALCB035597","ALCB035597","287","Dicotyledon",NA,"Recôncavo Sul, Estação da Mata. Vale dos Rios Paraguaçu e Jacuípe",NA,NA,"Planta até 3m. Flores alvas em racemos axilares.",NA,"Southern America",NA,"40","40",NA,NA,NA,NA,NA
"10","2019-10-09 11:25:26-03","UFBA","ALCB","7775","PreservedSpecimen","Plantae","Urticaceae","Urera","nitida","Urera nitida","(Vell.) Brack","Brack, P","1987","03",NA,"Grupo Pedra do Cavalo","1980","07",NA,"Brasil","Bahia","Cachoeira","-39.083333","-12.533333","-39.083333","-12.533333","ALCB035608","ALCB035608","406","Dicotyledon",NA,"Recôncavo Sul, Estação da Mata. Vale dos Rios Paraguaçu e Jacuípe",NA,NA,"Planta com 3m. Flores em racemos axilares vermelhos.",NA,"Southern America",NA,"40","40",NA,NA,NA,NA,NA
