"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","order","individualCount"
"1","2019-11-21 14:31:42-03","UFJF","CESJ","65126","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H.Rob.","O.S. Ribas","2013","O.S. Ribas; J.M. Silva; C.B. Poliquesi","8605","2012","03","30","América do Sul","Brasil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.7057991027832","-24.2511005401611","44368","Herbácea 70 cm, capítulos lilases. Campo cerrado.","CESJ065126","CESJ065126","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:31:42-03","UFJF","CESJ","65127","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H.Rob.","O.S. Ribas","2013","O.S. Ribas; J.M. Silva; C.B. Poliquesi","8531","2012","03","30","América do Sul","Brasil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.7057991027832","-24.2511005401611","44368","Herbácea 1,30 m, capítulos lilases. Campo cerrado.","CESJ065127","CESJ065127 CESJ065127_1 CESJ065127_2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:31:41-03","UFJF","CESJ","59291","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H.Rob.",NA,NA,"J.M. Silva; J. Cordeiro; C.B. Poliquesi","6214","2007","11","24","América do Sul","Brasil","Paraná","Ponta Grossa","Cachoeira da Mariquinha","-50.1618995666504","-25.0949993133545","46557","Xilopodífera, capítulo lilás. Campo recém queimado.","CESJ059291","CESJ059291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 09:59:03-03","FURB","FURB","40818","PreservedSpecimen","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H.Rob.","Ribas, OS","2013","Ribas, O.S.; Silva, J.M. & Poliquesi, C.B.","8531","2012","03","30",NA,"Brasil","Paraná","Jaguariaíva","Parque Estadual do Cerrado.","-49.7057991027832","-24.2511005401611","44368",NA,"FURB04285","FURB04285","auto","02","14",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 09:59:03-03","FURB","FURB","40819","PreservedSpecimen","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H.Rob.","Ribas, OS","2013","Ribas, O.S.; Silva, J.M. & Poliquesi, C.B.","8605","2012","03","30",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual do Cerrado.","-50.1618995666504","-25.0949993133545","46557",NA,"FURB17355","FURB17355","auto","02","14",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-16 08:38:29-03","UTFPR","HCF","19335","S","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H. Rob.","O.S. Ribas","2013","M.L. Brotto","963","2013","02","15",NA,"Brasil","PR","Piraí do Sul","Fazenda Nova Era","-49.855764","-24.398889",NA,"subarbusto, 85 cm, capítulos lilases.",NA,NA,NA,"02","16","49°51'20,75 W","24°23'56 S","1190","1190",NA,NA,NA,NA
"7","2019-08-16 08:38:29-03","UTFPR","HCF","787","S","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H. Rob.","J. Cordeiro & E. Barboza","2008","A.E. Bianek","182","2004","01","29",NA,"Brasil","PR","Campo Mourão","Cerrado","-52.3830986022949","-24.0456008911133","28572","planta herbácea, ereta, com folhas pilosas. Inflorescências axilares de flores brancas.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:15:33-03","MBM","MBM","205610","PreservedSpecimen","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H. Rob.","Ribas, O.S.",NA,"Ribas, O.S.; Pereira, L.B.S.; Pereira, L.B.S.","1655","1997","02","09","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Barros","-49.7057991027832","-24.2511005401611","44368",NA,"MBM205610","MBM205610","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:15:33-03","MBM","MBM","66356","PreservedSpecimen","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H. Rob.","Robinson, H.","1993","Hatschbach, G.","7543","1960","12","18","Southern America","Brazil","Paraná","Campo Largo","Rio dos Papagaios","-49.5283012390137","-25.4585990905762","53742","Capítulos lilás, campo limpo. Unicata; Capítulos lilás.; Campo limpo.","MBM066356","MBM066356","auto",NA,NA,NA,NA,NA,NA,"PARATYPE",NA,NA,NA
"10","2020-12-21 16:15:33-03","MBM","MBM","134121","PreservedSpecimen","Plantae",NA,"Asteraceae","Chrysolaena","nicolackii","Chrysolaena nicolackii","H. Rob.",NA,NA,"Cordeiro, J.; Nicolack, V.; Nicolack, V.","682","1990","01","12","Southern America","Brazil","Paraná","Campo Largo","Serra São Luiz do Purunã","-49.5283012390137","-25.4585990905762","53742","Subarbusto, 90 cm, capítulo lilás. Afloramento de arenito (borda da Cuesta Devoniana); Subarbusto, 90cm, capítulo lilás.; Afloramento de arenito (borda da Cuesta Devoniana).","MBM134121","MBM134121","auto",NA,NA,NA,NA,NA,NA,"HOLOTYPE",NA,NA,NA
