"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","relationshipType","relatedCatalogItem","phylum","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","sex"
"1","2015-07-02 14:00:12-03","JBP","HPL","12098","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","Rav.","Julie Dutilh","2007","10","02","H. Lorenzi","6347","2007","10","02","Brasil","SP","Mogi Mirim","Coletado em Biritiba-Ussu, cultivado no Sítio de propriedade de Mauro Peixoto.","-46.95","-22.43","19575","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 08:15:05-03","FPS","FPS","403","MachineObservation","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(Koch & Bouché) Ravenna","Schwirkowski, P.","2014","11","16","Schwirkowski, P.","633","2014","11","16","Brasil","Santa Catarina","São Bento do Sul","Rio Natal, trilha do Parque das Aves","-49.309584","-26.322003",NA,NA,"-49.309584","-26.322003","<ll>dwc_commonname:</ll> Mini-amarílis","FPS00403","FPS00403_v01 FPS00403_v02 FPS00403_v03",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-19 08:15:05-03","FPS","FPS","2622","MachineObservation","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(Koch & Bouché) Ravenna","Schwirkowski, P.","2016","11","12","Schwirkowski, P.","2050","2014","11","12","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Trilha do Parque das Aves. Do outro lado do rio","-49.276775","-26.3629281",NA,NA,"-49.276775","-26.3629281","<ll>dwc_commonname:</ll> Mini-amarílis","FPS02622,FURB52154","FPS02622_v01 FPS02622_v02 FPS02622_v03 FPS02622_v04 FPS02622_v05 FPS02622_v06 FPS02622_v07 FPS02622_v08 FPS02622_v09 FPS02622_v10 FPS02622_v11 FPS02622_v12 FPS02622_v13 FURB52154","voucher","FURB 52154",NA,NA,NA,NA,NA,NA
"4","2019-08-20 09:58:56-03","UNICAMP","UEC","170478","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2001","09","25","Brazil","Paraná","Castro",NA,"-50.0119018554688","-24.7910995483398","50779","auto",NA,NA,NA,"UEC010278","UEC010278",NA,NA,"Liliopsida",NA,NA,NA,NA,NA
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","170544","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2008","09","11","Brazil","Paraná","Castro",NA,"-50.0119018554688","-24.7910995483398","50779","auto",NA,NA,"Coletada e cultivada por M. Peixoto, em Mogi das Cruzes.","UEC010194","UEC010194",NA,NA,"Liliopsida",NA,NA,NA,NA,NA
"6","2019-08-20 09:58:56-03","UNICAMP","UEC","171095","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2001","10","15","Brazil","São Paulo","Campinas","Cultivada no IAC, sem procedência.","-47.060001373291","-22.8999996185303","23900","auto",NA,NA,NA,"UEC045174","UEC045174",NA,NA,"Liliopsida",NA,NA,NA,NA,NA
"7","2021-03-01 16:18:54-03","UNICAMP","UEC","137418","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna",NA,NA,NA,NA,"Torres, RB; Tombolato, AFC; Azevedo, C","s.n.","1990","11","09","Brazil","São Paulo","Iporanga","Petar.","-48.5900001525879","-24.5799999237061","38740","auto",NA,NA,"Erva, 0,25 m, flores com tépalas branco-rosadas, local úmido, solo orgânico.","UEC010159","UEC010159",NA,NA,"Liliopsida",NA,NA,NA,NA,NA
"8","2021-03-01 16:18:54-03","UNICAMP","UEC","185364","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna","Dutilh, JHA","2007","10","02","Lorenzi, H","6347","2007","10","02","Brazil","São Paulo","Mogi Mirim","Brasil - SP- Mogi Mirim - Coletado em Biritiba-Ussu, cultivado no Sítio de propriedade de Mauro Peixoto.","-46.9500007629395","-22.4300003051758","19575","auto",NA,NA,"Herbácea, bulbosa, ca.20 cm de altura. Flores brancas com riscos vináceos. Frutos.","UEC105956","UEC105956",NA,NA,"Liliopsida",NA,NA,NA,NA,NA
"9","2020-10-14 09:58:02-03","FURB","FURB","43114","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(Koch & Bouché) Ravenna","Ferreira Junior, CA","2014","01","14","Gasper, A.L. de; Funez, L.A. & Bittencourt, F.","3371","2013","12","13","Brasil","Santa Catarina","Ibirama","Rio Hercílio, prox. a PCH Ibirama.","-49.5591667","-27.0369444",NA,NA,"-49.5591667","-27.0369444","Projeto REFLORA FAPESC 14843/2011-1. Habitat: margem do rio Habito: erva terrícola; flor branca com rosa","FURB14205","FURB14205",NA,NA,NA,"229","229",NA,NA,NA
"10","2020-10-14 09:58:02-03","FURB","FURB","52154","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(Koch & Bouché) Ravenna","Schwirkowski, P.","2016","11","12","Schwirkowski, P.","2050","2016","11","12","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Trilha do Parque das Aves. Do outro lado do rio.","-49.2766667","-26.3630556",NA,NA,"-49.2766667","-26.3630556","Herbácea, 30 cm alt, heliófita e tmb ciófita, flores branco-rosadas","FURB52154","FURB52154",NA,NA,NA,"150","150",NA,NA,NA
"11","2020-12-21 16:11:33-03","MBM","MBM","17357","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(C. Koch. ex Carr. & Bouche) Ravenna","Ravenna, P.",NA,NA,NA,"Hatschbach, G.","4211","1957","10","10","Brazil","Paraná","Guaratuba","Garuva","-48.5746994018555","-25.8827991485596","41937","auto",NA,NA,NA,"MBM017357","MBM017357",NA,NA,NA,NA,NA,"Southern America",NA,NA
"12","2020-12-21 16:11:33-03","MBM","MBM","204076","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(C. Koch. ex Carr. & Bouche) Ravenna","Hatschbach, G.",NA,NA,NA,"Silva, J.M.; Saldanha, J.; Saldanha, J.","1751","1996","10","30","Brazil","Paraná","São José dos Pinhais","Rio Arraial, Castelhanos","-49.2064018249512","-25.5347003936768","45291","auto",NA,NA,NA,"MBM204076","MBM204076",NA,NA,NA,NA,NA,"Southern America",NA,NA
"13","2020-12-21 16:11:33-03","MBM","MBM","19157","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(C. Koch. ex Carr. & Bouche) Ravenna","Ravenna, P.",NA,NA,NA,"Hatschbach, G.","27589","1971","10","27","Brazil","Paraná","Guaraqueçaba","Rio Bananal","-48.3288993835449","-25.3066997528076","37295","auto",NA,NA,NA,"MBM019157","MBM019157",NA,NA,NA,NA,NA,"Southern America",NA,NA
