"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1187662","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","J. A. Lombardi","M. Silveira","610","1993","10","21","South America","Brazil","Acre","Sena Madureira","Bacia do Rio Purus, Faz. Nova Olinda, Carreador do Poti, Ramal do Cumaru, ca. 12 km da sede","-69.22","-10.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187662","NY01187662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02899292","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","J. A. Lombardi","D. C. Daly","7071","1991","11","01","South America","Brazil","Acre","Brasiléia","Serringal Poromgaba, Colocação São José, 25km N of km4 Brasiléia-Assis Brasil road","-68.75","-10.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530685' target='other'> <mi>dwc_moreinfo</mi></a>","NY02899292","NY02899292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1488071","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","J. A. Lombardi","P. Acevedo-Rodríguez","13612","2003","10","01","South America","Brazil","Acre","Capixaba","Basin of Rio Acre, Projeto de Assentamento Extrativista São Luiz do Remanso, Colocação Estrangeiro, 30 km W of Capixaba, then 15-21 km N on new unpaved access road.","-67.90325","-10.49367","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198305' target='other'> <mi>dwc_moreinfo</mi></a>","NY01488071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626430","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","A. M. W. Mennega","L. R. Landrum","4099","1982","01","06","South America","Brazil","Paraná","Cerro Azul","Road from Cerro Azul to Mato Preto.","-49.17","-24.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626430","NY00626430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","565148","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","J. A. Lombardi","J. G. Jardim","698","1995","10","25","South America","Brazil","Bahia","Jacobina","Cachoeira do Aníbal, na saída da cidade no sentido Jacobina/Capim Grosso","-40.5181","-11.1808","sheet","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=653273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565148","NY00565148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885550","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","J. A. Lombardi","J. Y. Tamashiro","4181","1976","12","13","South America","Brazil","São Paulo","Santa Maria da Serra","Nativo no inferior de mata da Fazenda Barreiro - Rico.","-48.1469","-22.6647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885550","NY00885550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","337514","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Hippocratea","campestris","Hippocratea campestris","Peyr.",NA,"Martii Herbar. Florae Brasil.","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00337514","NY00337514_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:37:48-03","EAO","IAN","41429","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Hippocratea","festiva","Hippocratea festiva","Miers",NA,"Burchell, WJ","4965",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN041429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:57:12-03","NBC","NL-BOTANY","U.1196574","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi JA","Ganev W",NA,"1993","01","02","Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1196574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1196574","NL-U1196574",NA,"Magnoliopsidae","2004","07","01","U 0022276",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:57:12-03","NBC","NL-BOTANY","U.1196590","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.",NA,"Hatschbach GG",NA,"1974","01","24","Southern America","Brazil",NA,NA,"Barra rio Bom Sucesso, (mun. Cerro Azul), Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1196590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1196590","NL-U1196590",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:04:42-03","ESALQ","ESA","13468","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Smith.","Lombardi, J.A.","Bernacci, L.C.","24458.0","1990","01","12",NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,"ESA013468","ESA013468",NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:04:42-03","ESALQ","ESA","1915","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Smith.","Lombardi, J.A.","Oliveira Neto",NA,"1933","12","23",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,"ESA001915",NA,NA,NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:31:46-03","UNICAMP","UEC","108353","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Guaratini, MTG; Galvão, JC; Belinello, R","35","1997","01","02",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.109167","-22.829167",NA,"Lianas.; Mata.","UEC092632","UEC092632",NA,NA,"2009","06",NA,NA,NA,NA,"-47.109167","-22.829167",NA,NA,NA,NA,NA
"14","2021-03-01 16:31:46-03","UNICAMP","UEC","108354","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Guaratini, MTG; Galvão, JC; Belinello, R","35","1997","01","02",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.109167","-22.829167",NA,"Lianas.; Mata.","UEC092631","UEC092631",NA,NA,"2009","06",NA,NA,NA,NA,"-47.109167","-22.829167",NA,NA,NA,NA,NA
"15","2021-03-01 16:31:46-03","UNICAMP","UEC","162944","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Guaratini, MTG; Galvão, JC; Belinello, R","35","1997","01","02",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.109167","-22.829167",NA,"Lianas.; Mata.","UEC092629","UEC092629",NA,NA,"2009","06",NA,NA,NA,NA,"-47.109167","-22.829167",NA,NA,NA,NA,NA
"16","2021-03-01 16:31:46-03","UNICAMP","UEC","168602","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Melis, JV; Sfair, JC; Lopes, C","962",NA,NA,NA,NA,"Brazil","São Paulo","Campinas","Ribeirão Cachoeira, Parcela 8.","-46.916667","-22.833333",NA,"DAP= 1.94 cm. Tronco oval.","UEC035373","UEC035373",NA,NA,"2010","10",NA,NA,NA,NA,"-46.916667","-22.833333","660","756",NA,NA,NA
"17","2021-03-01 16:31:46-03","UNICAMP","UEC","62448","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Bernacci, LC","24458","1990","01","12",NA,"Brazil","São Paulo","Campinas","Fazenda São Vicente","-47.060001373291","-22.8999996185303",NA,"Liana lenhosa, flores brancas a amareladas.; Interior da Mata.","UEC092635","UEC092635",NA,NA,"1999","06",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:31:46-03","UNICAMP","UEC","60181","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Leitão Filho, HF; Morellato, LPC","22918","1988","12","06",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Arbusto; flores verdes.; Interior de mata.","UEC092636","UEC092636",NA,NA,"1999","06",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:31:46-03","UNICAMP","UEC","15743","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Leitão Filho, HF; Stubblebine, WH; Gabrielli, AC; Taroda, N; Ratter, JA; Tamashiro, JY","8636","1978","11","14",NA,"Brazil","São Paulo","Campinas","Souzas","-47.060001373291","-22.8999996185303",NA,"Flores amarelas.","UEC092633","UEC092633",NA,NA,"1999","06",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:31:46-03","UNICAMP","UEC","5574","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Elachyptera","festiva","Elachyptera festiva","(Miers) A.C.Sm.","Lombardi, JA","Tamashiro, JY","4181","1976","12","13",NA,"Brazil","São Paulo","Santa Maria da Serra","Fazenda Barreiro Rico","-48.1599998474121","-22.5599994659424",NA,"Árvore até 10m; flores creme-claras.; Interior de mata.","UEC092634","UEC092634",NA,NA,"1999","06",NA,NA,"12628","auto",NA,NA,NA,NA,NA,NA,NA
