"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:34:14-03","UNESC","CRI","8292","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","Vanilde Citadini-Zanette","2006","Tanise Boeira Pelegrine Bertolin","2006","02","25","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","CRI007754","CRI007754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:11-03","UNESC","CRI","11638","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","L. A. Funez",NA,"L.A. Funez; K. Kemmelmeier","2013","01","07","Brasil","Santa Catarina","Navegantes","-48.655278","-26.899444","48º39'19''W","26º53'58''S","CRI007783","CRI007783","1474","Rua Adolfo Antônio Cabral (fundos).","7","7","Floresta Ombrófila Densa de Terras Baixas Habitat: capoeira Habito: erva terrícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:11-03","UNESC","CRI","13728","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","Renato Colares","2018","Renato Colares","2016","11",NA,"Brasil","Santa Catarina","Siderópolis","-49.453611","-28.570278","49º27'13''W","28º34'13''S","CRI012335",NA,NA,"Lote 42.","120","120","Habito: Arbustivo","05","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:13-03","E","E","269215","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,NA,NA,"Hassler, E.","1905","03","27","PY","Central","Ypacaray.",NA,NA,NA,NA,"E00269215",NA,"11504",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00269215 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:284792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:13-03","E","E","334667","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,NA,NA,"Tweedie, John",NA,NA,NA,"UY",NA,NA,NA,NA,NA,NA,"E00334667",NA,NA,"Islands of the Uruguay",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:353316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 12:38:00-03","NY","NYBG","441271","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"L. B. Smith",NA,"R. M. Klein","1955","03","10","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00441271","NY00441271_01","1197","Cunhas, Itajaí","10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414406' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","441285","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.",NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00441285","NY00441285_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414416' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","441281","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","I. Friis; C. M. Wilmot-Dear",NA,"L. Riedel","1832",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00441281","NY00441281_01","3",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414395' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","631939","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","S. F. Smith",NA,"L. Scur","2000","03","18","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00631939","NY00631939_01","659","Ana Rech","780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414403' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 12:38:00-03","NY","NYBG","441266","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,NA,NA,"G. Gardner",NA,NA,NA,"Brazil","Alagoas",NA,NA,NA,NA,NA,"NY00441266","NY00441266_01",NA,"In provinica Dos Alagoas",NA,NA,"Collection number [illegible]: 1403 or 1405? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414414' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","441270","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","S. F. Smith",NA,"R. A. Wasum","1990","01","05","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00441270","NY00441270_01","6410","Caxias do Sul. Ana Rech. Faxinal","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414402' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
