"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","recordNumber","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","fieldNumber","year","month","day","class"
"1","2020-09-23 10:40:40-03","E","E","199560","PreservedSpecimen","Plantae","Leguminosae","Exostyles","glabra","Exostyles glabra","possible type","Sellow, Friedrich","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:206404","<a href=http://data.rbge.org.uk/herb/E00199560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00199560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:39-03","EAO","IAN","1690","PreservedSpecimen","Plantae","Leguminosae-Pap.","Exostyles","glabra","Exostyles glabra",NA,"Sellow, F","Southern America","Brasil",NA,NA,NA,NA,"IAN001690","Dicotiledônea","Vogel","s.n.","IAN001690_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:41:39-03","EAO","IAN","93189","PreservedSpecimen","Plantae","Leguminosae-Pap.","Exostyles","glabra","Exostyles glabra",NA,"sc",NA,NA,NA,NA,NA,NA,"IAN093189","Dicotiledônea","Vogel","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:29-02","BGBM","B","B 10 0367802","S","Plantae","Leguminosae","Exostyles","glabra","Exostyles glabra","isotype","F. Sellow?","Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100367802 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100367802",NA,"Vogel",NA,"B100367802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:26:31-03","MBM","MBM","150559","PreservedSpecimen","Plantae","Fabaceae","Exostyles","glabra","Exostyles glabra",NA,"Carvalho, A.M. de; et al.; et al.","Southern America","Brazil","16km na estrada Caravelas - Alcobaça",NA,NA,"Árvore com ca. 6m de altura. Frutos imaturo verde palido","MBM150559",NA,"Vogel","2473","MBM150559","Bahia","Caravelas","-39.2658004760742","-17.7318992614746","106553","auto",NA,NA,NA,NA,NA,NA
"6","2008-09-08 17:56:12-03","MNHN","RECOLNAT_MNHN_P","P01817988","PreservedSpecimen",NA,"Fabaceae","Exostyles","glabra","Exostyles glabra","isotype","Sellow, F.",NA,"Brésil","Brasilia","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01817988' target='other'> <mi>dwc_moreinfo</mi></a>","P01817988",NA,"Vogel",NA,"P01817988_01",NA,NA,NA,NA,NA,NA,"Mansano et al.",NA,NA,NA,NA,NA
"7","2017-03-10 15:12:39-03","MNHN","RECOLNAT_MNHN_P","P03104677","PreservedSpecimen",NA,"Fabaceae","Exostyles","glabra","Exostyles glabra",NA,"Wittig|Glaziou, A.",NA,"Brésil","(R. J.) Valance","hb",NA,"Donné par Mme SIMART, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03104677' target='other'> <mi>dwc_moreinfo</mi></a>","P03104677",NA,"Vogel",NA,"P03104677_01","Rio de Janeiro",NA,NA,NA,NA,NA,"Mansano","9410","1878","9","17",NA
"8","2015-09-04 02:38:46-03","MNHN","RECOLNAT_MNHN_P","P03104678","PreservedSpecimen",NA,"Fabaceae","Exostyles","glabra","Exostyles glabra",NA,"Wittig|Glaziou, A.",NA,"Brésil","(R. J.) Valance","hb",NA,"Donné par Mme SIMART, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03104678' target='other'> <mi>dwc_moreinfo</mi></a>","P03104678",NA,"Vogel",NA,"P03104678_01","Rio de Janeiro",NA,NA,NA,NA,NA,"Mansano","9410","1878","9","17",NA
"9","2020-07-10 09:46:53-03","MBML","MBML-HERBARIO","41498",NA,"Plantae","Leguminosae Faboideae","Exostyles","glabra","Exostyles glabra",NA,"R.R. Vervloet; W. Desanti",NA,"Brasil","Barra do Riacho",NA,NA,"Arvoreta 4m alt., frutos imaturos de cor verde. Vegetação de restinga","MBML041498",NA,"Vogel","3541","MBML041498","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","auto",NA,NA,"2010","09","28",NA
"10","2019-09-04 18:49:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Fabaceae","Exostyles","glabra","Exostyles glabra","Type [status unknown]","F. Sellow","South America","Brazil",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"1836",NA,NA,"Dicotyledoneae"
"11","2017-09-11 17:09:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Fabaceae","Exostyles","glabra","Exostyles glabra",NA,"Sello, HL","Southern America","Brazil","ad Engenho do Parahiba in via a Rio de Janeiro ad Minas",NA,NA,NA,NA,NA,"Vogel","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
