"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","locality","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","788493","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","R. Reitz","5360","1953","01","27","South America","Brazil","Santa Catarina","Mafra","-49.8053","-26.1117","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788493","NY00788493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","787963","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","N. I. Matzenbacher","s.n.","1976","04","06","South America","Brazil","Rio Grande do Sul","Guaíba","-51.325","-30.1142",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787963","NY00787963_01","G. M. Barroso","BR 116, km 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788490","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","L. B. Smith","13639","1964","12","05","South America","Brazil","Santa Catarina","Agua Doce","-51.53","-26.78","1100","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788490","NY00788490_01",NA,"Campos de Palmas, 3km north-west of Herciliópolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788496","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","G. Tessmann","s.n.","1948","10","08","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788496","NY00788496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788494","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","G. G. Hatschbach","32316","1973","08","15","South America","Brazil","Paraná","Castro","-50.0117","-24.7911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788494","NY00788494_01",NA,"Volta Grande.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","787957","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","C. Kozera","263","1996","10","18","South America","Brazil","Paraná","Curitiba","-49.22","-25.37",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787957","NY00787957_01","C. Kozera","Parque Barigui.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788489","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","L. B. Smith","7471","1956","11","09","South America","Brazil","Santa Catarina","Campo Alegre","-49.2656","-26.1925","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788489","NY00788489_01",NA,"Lower fazenda of Ernesto Scheide, Campo Alegre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","788495","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","G. G. Hatschbach","22718","1969","10","26","South America","Brazil","Paraná","Clevelândia","-52.4706","-26.3958",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788495","NY00788495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","788491","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","R. Reitz","5325","1957","10","19","South America","Brazil","Santa Catarina","Campo Alegre","-49.2656","-26.1925","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788491","NY00788491_01",NA,"Faz. Ernesto Scheide.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","788498","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","M. Rossato","3218","1987","09","13","South America","Brazil","Rio Grande do Sul","Esmeralda","-51.1903","-28.0536","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788498","NY00788498_01",NA,"Fazenda da Guabiroba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","788492","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","R. Reitz","7706","1958","12","10","South America","Brazil","Santa Catarina","Sao Joaquim","-49.9317","-28.2942","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788492","NY00788492_01",NA,"Fazenda da Laranja, Bom Retiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","788497","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Baker) G.M.Barroso","P. K. H. Dusén","6789","1908","10","07","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788497","NY00788497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:09:58-03","UFBA","ALCB","128855","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Gozzanti, F","1856","2015","04","21","Southern America","Brasil","Rio Grande do Sul","Osório","-50.212778","-29.976944","8","8",NA,"Arbusto em meio a moitas de vegetação com capítulos densos e amarelados; Banhado em sucessão","ALCB046599","ALCB046599","Gaio, J","Santa Luzia, Fazenda do Arroio","2015","07","-50.212778","-29.976944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:09:58-03","UFBA","ALCB","87090","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Roque, N; Ritter, MR; Matzenbacher, N","1947","2009","02","25","Southern America","Brasil","Rio Grande do Sul","Guaíba","-51.3925","-30.179722","198","198",NA,"ca. 50cm alt., folhas discolores. Brácteas involucrais verde-claras, corola creme. Planta feminina.; Domínio Mata Atlântica.",NA,NA,"Matzenbacher, N","Fazenda São Maximiano","2009","02","-51.3925","-30.179722",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:09:58-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Silva, JM","4195","2004","11","02","Southern America","Brasil","Paraná","São José dos Pinhais","-49.2","-25.533333",NA,NA,NA,"60 cm. capítulo creme.",NA,NA,"Hatschbach, G","Rio Pequeno","2004",NA,"-49.2","-25.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:09:58-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Costa, EF; Barbosa, E","01","2004","09","29","Southern America","Brasil","Paraná","Piraquara","-48.966667","-25.5",NA,NA,NA,"50 cm. Capítulo alvacento, flor masculina.; solo turfoso e úmido.",NA,NA,"Hatschbach, G","Medianeira","2004",NA,"-48.966667","-25.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 08:48:01-03","NBC","NL-BOTANY","U.1110821","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Dwyer) Dwyer","Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110821","NL-U1110821","Barroso GM",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0107850",NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:48:01-03","NBC","NL-BOTANY","U.1110822","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Dwyer) Dwyer","Schinini A; Vanni RO; Cáceres S",NA,"1993","03","26","Southern America","Paraguay","Guairá",NA,"-56.2","-25.666667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110822","NL-U1110822","Barroso GM",NA,NA,NA,"-56.2","-25.666667","Magnoliopsidae","U 0107849",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 08:48:01-03","NBC","NL-BOTANY","U.1110823","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","megapotamica","weirii","Baccharis megapotamica weirii","(Dwyer) Dwyer","Maas PJM; Martinelli G",NA,"1986","10","11","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110823","NL-U1110823","Barroso GM",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0107848",NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 08:48:13-03","NBC","NL-BOTANY","L.3014973","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Reitz R; Klein RM",NA,"1958","12","10","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3014973 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3014973","NL-L3014973",NA,"Plantas de Santa Catarina- Brasil. Fazonda da Laranja, BOm Retiro, S. Joaquim.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 08:48:13-03","NBC","NL-BOTANY","L.3014974","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Reitz R; Klein RM",NA,"1957","10","19","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3014974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3014974","NL-L3014974",NA,"Plantas de Santa Catarina- Brasil. Faz. Ernesto Scheide, Campo Alegre.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 08:48:13-03","NBC","NL-BOTANY","L.3014975","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","weirii",NA,"Baccharis weirii","Baker","Hatschbach GG",NA,"1958","10","03","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3014975 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3014975","NL-L3014975",NA,"Parana (Brasil). Mun. Campo Largo arredores.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
