"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","5366","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(O.Berg) Sobral","Marcos Sobral","1992","12","05","J. A. Jarenkow","1992","12","05","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","CRI005214","CRI005214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886378","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(O.Berg) Sobral","M. Sobral",NA,NA,NA,"M. Sobral","1984","01",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","-50.1444","-29.0481",NA,NA,"NY00886378","NY00886378_01","Magnoliophyta","Myrtales","2861","South America","Faxinal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022761' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1546326","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","leptocalyx","Myrceugenia leptocalyx","D.Legrand",NA,NA,NA,NA,"A. de Mattos","1949","02","13","Brazil","Rio Grande do Sul","São Francisco de Paula","-50.576516","-29.448498",NA,NA,"NY01546326","NY01546326_01","Magnoliophyta","Myrtales","s.n. [=herb. RB 63329]","South America","São Francisco de Paula","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1835109' target='other'> <mi>dwc_moreinfo</mi></a>","isotype",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","778805","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","leptocalyx","Myrceugenia leptocalyx","D.Legrand","S. F. Smith",NA,NA,NA,"R. A. Wasum","1995","12","14","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00778805","NY00778805_01","Magnoliophyta","Myrtales","s.n.","South America","Floresta Nacional","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798803' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"830","830",NA,NA,NA,NA,NA
"5","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.4149989","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","leptocalyx","Myrceugenia leptocalyx","D.Legrand",NA,NA,NA,NA,"Wasum R","1995","12","14","Brazil",NA,NA,NA,NA,NA,NA,"NL-L4149989","NL-L4149989",NA,"Myrtales",NA,"Southern America","RS-Mun. São Francisco de Paula-Floresta Nacional.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4149989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"6","2020-11-04 11:14:43-03","ESALQ","ESA","35149","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(Berg) Sobral","Sobral, M.",NA,NA,NA,"Jarenkow, J.A.","1992","12","05","Brasil","Rio Grande do Sul","Torres","-49.7268981933594","-29.3353004455566",NA,NA,"ESA035149",NA,"Magnoliophyta",NA,"2233.0",NA,NA,NA,NA,NA,NA,NA,NA,"20837","auto",NA,NA
"7","2019-08-27 13:31:26-03","IAP","PACA-AGP","86218","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(O. Berg) Sobral","Molz, M.","2047","03","17","Sehnem, A.","1947","01","13","Brasil","RS","Caxias do Sul","-51.1794013977051","-29.1681003570557",NA,NA,"PACA086218",NA,"Magnoliophyta","Myrtales","2494",NA,"Vila Oliva",NA,"Habitat: in dumeto Hábito: arbusto",NA,"650","650","Magnoliatae","49662","auto",NA,NA
"8","2019-12-04 11:51:28-03","IAP","PACA-AGP","56296","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(O. Berg) Sobral","Molz, M.","2017","03","17","Rambo, B.","1955","01","02","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA056296","PACA056296","Magnoliophyta","Myrtales",NA,NA,"Fazenda Englert",NA,"LECTOPARATYPUS de Myrceugenia leptocalyx Legr. Habitat: in araucarieto Fenofase: flor","Lectoparatipo",NA,NA,"Magnoliatae","76715","auto",NA,NA
"9","2019-08-27 13:31:26-03","IAP","PACA-AGP","102491","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(O. Berg) Sobral",NA,NA,NA,NA,"Sonego, R.C. et al.","2004","08","30","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA102491",NA,"Magnoliophyta","Myrtales",NA,NA,"FLONA.",NA,"parcela 7, planta 102&nf;alt.: 1,13 m&nf;juvenil Habitat: interior de floresta Ecossistema: FLORESTA OMBRÓFILA MISTA",NA,NA,NA,"Magnoliatae","76715","auto",NA,NA
"10","2019-08-27 13:31:26-03","IAP","PACA-AGP","102494","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","foveolata","Myrceugenia foveolata","(O. Berg) Sobral","Molz, M.","2017","04","03","Sonego, R.C. et al.","2004","08","24","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA102494",NA,"Magnoliophyta","Myrtales",NA,NA,"FLONA.",NA,"parcela 5, planta 22&nf;alt.: 1,15 Habitat: interior de mata Ecossistema: FLORESTA OMBRÓFILA MISTA",NA,NA,NA,"Magnoliatae","76715","auto",NA,NA
