"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","class","order","individualCount","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:25:45-03","UNESC","CRI","12366","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Aline Votri Guislon & Peterson T. Padilha","2017","06","08","Alexandre Medeiros","2017","05","02","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.6347007751465","-26.9906005859375","8793","Coleta 256. Habito: Epífita","CRI010573","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2071","S","Plantae","Orchidaceae","Miltonia","cf. regnellii","Miltonia cf. regnellii","Rchb.f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4306","S","Plantae","Orchidaceae","Miltonia","regnelli","Miltonia regnelli",NA,"Carlos Alberto Ferreira Júnior","2018","01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1844012","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"J. C. Lindeman","1967","03","30","Brazil","Paraná",NA,"From Serra do Mar.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134418' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844012",NA,"Magnoliophyta",NA,"Asparagales",NA,"5123","South America","sheet","NY01844012_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1844011","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"J. B. Arantes","1922","02","22","Brazil","São Paulo","Itatiba","Cult. na Estufa em Butantan.","-46.8300018310547","-23","17442","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134416' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844011","auto","Magnoliophyta",NA,"Asparagales",NA,"5349","South America","sheet","NY01844011_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1032184","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"R. Reitz","1954","03","18","Brazil","Santa Catarina",NA,"Morro da Fazenda, Itajaí",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032184",NA,"Magnoliophyta",NA,"Asparagales",NA,"1757","South America","sheet","NY01032184_01","250","250",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1032144","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032144",NA,"Magnoliophyta",NA,"Asparagales",NA,"II:65","South America","sheet","NY01032144_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1032183","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1970","01","15","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092","-25.5203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191846' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032183",NA,"Magnoliophyta",NA,"Asparagales",NA,"23347","South America","sheet","NY01032183_01","300","300",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1844010","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"P. K. H. Dusén","1916","04","06","Brazil","Paraná",NA,"Jacarehy, in silva primaeva. Cult.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844010",NA,"Magnoliophyta",NA,"Asparagales",NA,"18077","South America","sheet","NY01844010_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1032185","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"R. Reitz","1959","01","27","Brazil","Santa Catarina",NA,"Matador, Rio do Sul",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191849' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032185",NA,"Magnoliophyta",NA,"Asparagales",NA,"8332","South America","sheet","NY01032185_01","350","350",NA,NA,NA,NA,NA
