"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","infraspecificEpithet","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:25:08-03","UNESC","CRI","11590","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","A. Korte","2010","03","30","A. Korte; A. Kniess","1991","2010","02","22","Brasil","Brasil","Anta Branca (Antigo Alto do Rio do Oeste).","-50.220278","-26.91","50º13'13''W","26º54'36''S","786","786","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI008636","CRI008636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","4370","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","V. C. Zanette",NA,NA,NA,"Valdemar Boff","401","1996","01","10","Brasil","Fraiburgo","Taquarussu.","-50.921667","-27.026667","50º55'18''W","27º1'36''S","12","12",NA,"CRI006542","CRI006542","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","12407","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Verdi, M","2009","01","27","Verdi, M; Hasckel, RP & Klemz, G",NA,"2009","01","27","Brasil","Correia Pinto","Araça","-50.44","-27.63","50º26'24''W","27º37'48''S","877","877","Flor Branca. Doação Herbário FURB (11736)","CRI010614","CRI010614","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:08-03","UNESC","CRI","11996","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Stival-Santos, A","2010","02","05","Stival-Santos, A; Legal, E & Silveira, S","1711","2010","02","05","Brasil","Antônio Carlos","Santa Maria.","-48.870278","-27.539444","48º52'13''W","27º32'22''S","220","220","Habito: Arbóreo","CRI010142","CRI010142","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:08-03","UNESC","CRI","1125","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1375","1992","03","13","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI006545","CRI006545","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:08-03","UNESC","CRI","7947","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Vanilde Citadini- Zanette","2008","01","12","Beatriz Wessler; Bruna Alberton",NA,"2008","01","11","Brasil","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46",NA,"CRI006531","CRI006531","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","146","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","B. E. Irgang",NA,NA,NA,"V. Citadini-Zanette; A. Bortot","584","1982","03","10","Brasil","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI006546","CRI006546","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:08-03","UNESC","CRI","659","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra venosa","(Meisn.) Sleumer","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1009","1991","04","10","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI006547","CRI006547","Santa Catarina","venosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:08-03","UNESC","CRI","7932","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Vanilde Citadini- Zanette","2008","01","15","Jaqueline Bonazza Rodrigues",NA,"2007","12","14","Brasil","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112",NA,"CRI006537","CRI006537","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:08-03","UNESC","CRI","12413","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Schmitt, J","2010","04","07","Schmitt, JL","1630","2010","03","16","Brasil","Presidente Nereu","Braço do Solão","-49.231389","-27.181389","49º13'53''W","27º10'53''S","533","533","Fruto amarelo. Doação Herbário FURB (22804) Habito: Arbóreo","CRI010620","CRI010620","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:08-03","UNESC","CRI","8123","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","M. Verdi",NA,NA,NA,"G. Klemz; M. Verdi",NA,"2009","01","21","Brasil","Anita Garibaldi","Arrozal.","-51.162778","-27.633333","51º9'46''W","27º38'0''S",NA,NA,NA,"CRI006533","CRI006533","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:25-03","UNESC","CRI","1461","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","R. Negrelle",NA,NA,NA,"R. Negrelle",NA,"1992","03","11","Brasil","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9",NA,"CRI006534","CRI006534","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:25-03","UNESC","CRI","12408","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Gasper, AL de",NA,NA,NA,"Souza, NL de; Brogni, E & Farage-Freitas, R","102","2009","01","15","Brasil","São Pedro de Alcântara","RPPN Rio das Lontras","-48.884167","-27.625833","48º53'3''W","27º37'33''S",NA,NA,"Doação Herbário FURB (10162) Habito: Arbóreo","CRI010615","CRI010615","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:08-03","UNESC","CRI","1157","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1407","1992","04","30","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI006539","CRI006539","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:08-03","UNESC","CRI","3528","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Marcos Sobral",NA,NA,NA,"Robson dos Santos","174","1994","12","08","Brasil","Siderópolis",NA,"-49.416667","-28.583333","49º25'0''W","28º35'0''S","147","147",NA,"CRI006540","CRI006540","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:08-03","UNESC","CRI","12391","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Verdi, M","2010","02","19","Verdi, M; Klettenberg, DH & Klemz, G","3653","2010","02","19","Brasil","Lauro Muller","Rio Oratório/ Cabo Aéreo","-49.499722","-28.35","49º29'59''W","28º21'0''S","449","449","Doação Herbário FURB (21824) Habito: Arbóreo","CRI010598","CRI010598","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:08-03","UNESC","CRI","12412","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Stival-Santos, A","2010","04","24","Stival-Santos, A; Legal, E; Meyer, D & Silveira, S","2532","2010","04","24","Brasil","Angelina","Barra Clara.","-49.14","-27.54","49º8'24''W","27º32'24''S","630","630","Doação Herbário FURB (24685) Habito: Arbóreo","CRI010619","CRI010619","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:33:25-03","UNESC","CRI","1460","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","R. Negrelle",NA,NA,NA,"R. Negrelle; C. Fava","626","1993","01","21","Brasil","Itapoá","Reserva Volta Velha. Área aberta, final da trilha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: restinga Habito: árvore","CRI006541","CRI006541","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:08-03","UNESC","CRI","3148","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello & Zenaide Pais Topanotti","1814","1993","01","21","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI006548","CRI006548","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:25-03","UNESC","CRI","11591","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","M. Verdi","2009","01","21","M. Verdi; R.P. Hasckel & G. Klemz","1357","2009","01","21","Brasil","Anita Garibaldi","Arrozal.","-51.162778","-27.633333","51º9'46''W","27º38'0''S","762","762","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual","CRI008633","CRI008633","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:08-03","UNESC","CRI","11522","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","A. Korte","2011","03","22","A. Korte","6168","2011","03","09","Brasil","Brusque",NA,"-48.96","-27.18","48º57'36''W","27º10'48''S","150","150","Floresta Ombrófila Densa","CRI006538","CRI006538","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:08-03","UNESC","CRI","10252","PreservedSpecimen","Plantae","Clethraceae","Clethra","scabra","Clethra scabra","Pers.","M. G. Caxambu","2012","03","30","M. G. Caxambu; E.L. Siqueira","3916","2012","03","21","Brasil","Luiziana","Estação Ecológica Luiziana.","-52.276111","-24.286667","52º16'34''W","24º17'12''S","627","627",NA,"CRI006536","CRI006536","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
