"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007680","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Zappi DC; Taylor NP","1991","10","01","holotype","Ritter F","1966","10","01","Southern America","Brazil","Minas Gerais","omgeving Diamantina, Minas Gerais","in de bergenvaak tesamen met vertegenwoordigers van de soort Uebelmannia.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007680","NL-U0007680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007681","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Zappi DC; Taylor NP","1991","10","01",NA,"Ritter F","1966","10","01","Southern America","Brazil","Minas Gerais","omgeving Diamantina, Minas Gerais","in de bergenvaak tesamen met vertegenwoordigers van de soort Uebelmannia.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U.1601731","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Zappi DC; Taylor NP","1991","10","01",NA,"Ritter F","1959","01","01","Southern America","Brazil","Minas Gerais","Serra do Ambrosio.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1601731 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1601731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:31-03","UFV","VIC","39924","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining e Bredore) Zappi & N.P","Santos, M.R.","2011","07","15",NA,"Santos, M.R.","2011","07","15",NA,"Brasil","Minas Gerais","Campo rupestre.","Colunar, sobre areia, cascalho ou rocha.","VIC039924","VIC039924","130","Penha do França",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","39925","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining e Bredore) Zappi & N.P","Santos, M.R.","2011","05","15",NA,"Santos, M.R.","2011","05","15",NA,"Brasil","Minas Gerais","P.E. do Biribiri, Campo rupestre","Colunar, sobre areia , cascalho ou rocha.","VIC039925","VIC039925","103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:31-03","UFV","VIC","39934","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining e Bredore) Zappi & N.P","Santos, M.R.","2010","11","28",NA,"Santos, M.R.","2010","11","28",NA,"Brasil","Minas Gerais","P.E do Rio Preto, Campo rupestre.","colunar, sobre areia cascalho ou rocha.","VIC039934","VIC039934","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:46:30-03","UFOP","OUPR","25600","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor",NA,NA,NA,NA,NA,"Martins, C.","2011","08","14",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Preto","Arbusto, 2m, fruto imaturo azul esverdeado. Cerrado.",NA,NA,"134","São Gonçalo do Rio Preto","-43.343583","-18.12025","-43.343583","-18.12025","800","800",NA,NA,NA
"8","2019-11-05 16:46:30-03","UFOP","OUPR","25601","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor",NA,NA,NA,NA,NA,"Martins, C.","2011","08","14",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Preto","Arbusto, 2m, botão floral verde (após a abertura da flor). Cerrado.",NA,NA,"135","São Gonçalo do Rio Preto","-43.343583","-18.12025","-43.343583","-18.12025","800","800",NA,NA,NA
"9","2020-12-11 11:34:14-03","UFMG","BHCB","178553","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P. Taylor",NA,"2015","11",NA,NA,"Paiva, JAM; Tomich, S; Nascimento, L","2015","08","13","Southern America","Brasil","Minas Gerais","RPPN Horto Alegria","Erva rupícola; frutos e botões florais azuis.; Campo Rupestre Quartzítico",NA,NA,"552","Mariana","-43.436667","-20.153611","-43.436667","-20.153611",NA,NA,"Dicotyledon",NA,NA
"10","2020-12-11 11:34:14-03","UFMG","BHCB","179079","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P. Taylor",NA,"2015","11",NA,NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2015","09","25","Southern America","Brasil","Minas Gerais","RPPN Capanema","Prensado em álcool; Erva rupícola; ca. 1,0m alt; frutos azuis.; Campo Rupestre Quartzítico",NA,NA,"2623","Ouro Preto","-43.605","-20.197222","-43.605","-20.197222",NA,NA,"Dicotyledon",NA,NA
