"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","locality","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00862188","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. J. Killeen","H. S. Irwin","10274","1965","11","13","South America","Brazil","Distrito Federal","Brasília","-47.9167","-15.7833","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862188","NY00862188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00862163","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. J. Killeen","H. S. Irwin","9885","1965","11","03","South America","Brazil","Goiás","Cristalina","-47.6","-16.80422","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862163","NY00862163_01","Serra dos Cristais, ca. 6 km S. of Cristalina",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00862189","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. J. Killeen","H. S. Irwin","9690","1965","10","29","South America","Brazil","Distrito Federal","Brasília","-47.9","-15.8","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862189","NY00862189_01","vicinity of city dump and TV tower.",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00862164","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. J. Killeen","H. S. Irwin","9265","1965","10","16","South America","Brazil","Distrito Federal","Brasília","-47.6667","-15.57151","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862164","NY00862164_01","Ca. 5 km N. of Planaltina, on road to São Gabriela",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00862190","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. J. Killeen","G. G. Hatschbach","32999","1973","11","10","South America","Brazil","Mato Grosso do Sul","Nova Andradina","-53.3431","-22.2333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862190","NY00862190_01","Casa Branca",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00862191","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. de S. Filgueiras","H. S. Irwin","10254","1965","11","13","South America","Brazil","Distrito Federal","Brasília","-47.9167","-15.7833","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862191","NY00862191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00862165","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","G. Davidse","H. S. Irwin","10091","1965","11","08","South America","Brazil","Distrito Federal","Brasília","-47.8167","-15.62426","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862165","NY00862165_01","1 km N. of Sobradinho",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00862166","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","T. de S. Filgueiras","H. S. Irwin","9523","1965","10","25","South America","Brazil","Distrito Federal","Brasília","-47.7647222","-15.61995","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862166","NY00862166_01","Ca. 25 km E. of Brasília, road to Planaltina",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:15-03","EAO","IAN","44158","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","Canto-Dorow, T","sc","134",NA,NA,NA,"Southern America","Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"IAN044158",NA,"Norte do estado.","2001","07",NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:15-03","EAO","IAN","65882","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","neesiana","Digitaria neesiana","Henrard","Nascimento, EAP","Hoehne","4563","1911","09",NA,"Southern America","Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"IAN065882",NA,NA,"2015","06","18",NA,NA,NA,NA,NA
