"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","imagecode","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","225","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Sm.","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:35-03","UFRJ","RFA","28233","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Sm.",NA,NA,NA,NA,NA,"T. Wendt; A.P.G. Faria; T. Evans; G.K. Brown","417","2002","10","01","Brasil","Espírito Santo","Domingos Martins","Coleção de Roberto Kautsky","-40.6591987609863","-20.3633003234863","48150","RFA52384","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:35-03","UFRJ","RFA","28978","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Sm.",NA,NA,NA,NA,"Floresceu em cultivo em 19/01/2004","T. Wendt; A.P.G. Faria; T. Evans; G.K. Brown","417","2002","10","01","Brasil","Espírito Santo","Domingos Martins","Coleção de Roberto Kautsky. Material em cultivo","-40.6591987609863","-20.3633003234863","48150","RFA52386","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:26-03","MN","R","186993","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B. Sm.",NA,NA,NA,NA,NA,"Costa, A.F.","540","1995","10","21","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818","32447","R010000080","auto","R010000080",NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:09:01-03","UFES","VIES","26360","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Sm.","Wendt, T.; Sousa, L.O.F.","2004","04",NA,NA,"Martinelli, G.; Heron, L.; Kautsky, R. & Azoury, R.","15679","1999","08","11","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818","32447","VIES026360","auto","VIES026360","27",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:16-03","MBM","MBM","181559","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Sm.","Leme, E.M.C.",NA,NA,NA,"Cultivada na Reserva Biológica de Sapitanduva sob nº 485. Original de Kautzki","Hatschbach, G.","62854","1995","05","22","Brazil","Espírito Santo",NA,NA,NA,NA,NA,"MBM181559",NA,"MBM181559",NA,"Southern America",NA,NA,NA,NA,NA
"7","2020-12-21 16:19:16-03","MBM","MBM","195468","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Sm.","Leme, E.M.C.",NA,NA,NA,"Cultivada na Reserva Biológica de Sapitanduva sob nº 485","Hatschbach, G.","65187","1996","06","23","Brazil","Espírito Santo",NA,"s",NA,NA,NA,"MBM195468",NA,"MBM195468",NA,"Southern America",NA,NA,NA,NA,NA
"8","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","25697",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Smith","L. Kollmann/03-02-2006",NA,NA,NA,"Epífita em mata de brejo, brácteas vermelhas e flores azuis.","L. Kollmann; et al","8630","2006","02","03","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"MBML025697",NA,"MBML025697",NA,NA,"41W6'2","20S31'9",NA,NA,NA
"9","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","26652",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Smith","T. Wendt & L. O. F. Sousa/2004",NA,NA,NA,"Erva epífita ou terrestre, ciófila, folhas de cor verde, concolores; bainha alvacenta; infl.com escapo vermelho, brácteas escapais vermelhas, raque vermelho; brácteas primárias vermelhas; brácteas florais verdes; flores com ovário verd","G. Martinelli; et al","15679","1999","08","11","Brasil","Espírito Santo","Alfredo Chaves","7 km da Vila São Bento de Urânia","-40.925833","-20.500833",NA,"MBML026652",NA,"MBML026652",NA,NA,"40W55'33","20S30'3",NA,NA,NA
"10","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","35383",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","azurea","Aechmea azurea","L.B.Smith","Ludovic Kollmann","2008","01",NA,"Saxícola. Inflorescencia de escapo com brácteas florais secas, em estado de frutificação; cálice vermelho; corola seca, Folha de lâmina verde e bainha bege.","V.C. Manhães","48","2007","10","12","Brasil","Espírito Santo","Alegre","Caveira da Anta","-41.389444","-20.658056",NA,"MBML035383",NA,"MBML035383_1 MBML035383_2","14",NA,"41W23'22","20S39'29",NA,NA,NA
