"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:44:28-03","E","E","304834","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","Krapovickas, A.; Harley, R.M.; Cristobal, C.L.; Schinini, A.","46017","1994","10","25","E. Tropical South America","PY","Amambay","herbarium specimen of unspecif","BGBASE:315114","<a href=http://data.rbge.org.uk/herb/E00304834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:28-03","E","E","167760","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","Rodrigues, C.E.; Silva, M.R.;",NA,"1993","12","18","E. Tropical South America","BR","Goias","herbarium specimen of unspecif","BGBASE:177006","<a href=http://data.rbge.org.uk/herb/E00167760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:28-03","E","E","80096","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","Gottsberger, G.",NA,"1982","07","28","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:88876","<a href=http://data.rbge.org.uk/herb/E00080096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","923119","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","C. H. Franciscon","s.n.","1984","10","26","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923119","Magnoliophyta","Myrtales","Mart.","G. H. Shimizu","Estrada Uberlândia - Monte Carmelo, 50 km de Uberlândia","NY00923119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1018864","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","B. M. T. Walter","2945","1995","11","16","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018864","Magnoliophyta","Myrtales","Mart.",NA,"Projeto Ouro-Verde. Rodovia anel da Soja. Reservas de cerrado entre pantios de Soja.","NY01018864_01","Formosa do Rio Preto","-46","-11.45","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018841","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","B. M. T. Walter","1377","1992","04","15","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262920' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018841","Magnoliophyta","Myrtales","Mart.",NA,"Fazenda aroeira, ao lado da Codemin. Lado direito do Rio Bagagem.","NY01018841_01","Niquelândia","-48.37","-14.17","470","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00923102","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","R. M. Harley","10950","1968","11","08","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923102","Magnoliophyta","Myrtales","Mart.",NA,"c. 10 km. S. of base camp.","NY00923102_01",NA,"-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00923123","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","J. A. Ratter","R4021","1976","12","12","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923123","Magnoliophyta","Myrtales","Mart.",NA,"Fazenda Lagoa Santa","NY00923123_01","Padre Bernardo","-48.58","-15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00923176","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","T. C. Plowman","8351","1980","02","03","South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923176","Magnoliophyta","Myrtales","Mart.","H. Balslev","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","NY00923176_01","Presidente Kennedy","-48.6008","-8.5006","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424441","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","R. M. Harley","15035","1974","01","15","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424441","Magnoliophyta","Myrtales","Mart.","C. Grey-Wilson","Serra do Rio de Contas. Ca. 1 km S. of Rio de Contas on side road to W. of the road to Livramento do Brumado","NY00424441_01",NA,"-41.82","-13.58","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00923115","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","E. P. Heringer","5861","1957","12","21","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923115","Magnoliophyta","Myrtales","Mart.",NA,"Hôrto Florestal de Paraopeba","NY00923115_01","Paraopeba","-44.4042","-19.2744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00923353","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","E. P. Heringer","5843","1980","12","09","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923353","Magnoliophyta","Myrtales","Mart.",NA,"Bacia do Rio São Bartolomeu.","NY00923353_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","424450","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. Eiten","5077","1962","12","13","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424450","Magnoliophyta","Myrtales","Mart.","L. B. Smith","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 3.7 km NNW of PADUA SALES. (About 27 km NW of city of MOJI-MIRIM.)","NY00424450_01","Moji-Guaçu",NA,NA,"575","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00923105","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. Schaller","9","1977","05","16","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923105","Magnoliophyta","Myrtales","Mart.","S. H. K. Keel","Fazenda Acurizal. Rio Paraguai; Pantanal.","NY00923105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00923180","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","J. A. Rizzo","8629","1972","11","29","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923180","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","Serra Topázio, 20 km antes de Cristalina. Rod. Brasília-Belo Horizonte","NY00923180_01","Cristalina","-47.6133","-16.7686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2026758","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","U. N. Maciel","371","1978","12","15","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2171135' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026758","Magnoliophyta","Myrtales","Mart.",NA,"Arredores de Alter do Chão","NY02026758_01","Santarém","-54.9567032","-2.5192198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
