"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","decimalLatitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","county","decimalLongitude","identifiedBy","imagecode","verbatimLongitude","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:45-03","E","E","373538","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis","isotype","Buchtien, Otto","1270","W. Tropical South America","BO","Charopampal Mapiri [Bricta/Bânman?]","15","15.000000","570","570","herbarium specimen of unspecif","BGBASE:432706","<a href=http://data.rbge.org.uk/herb/E00373538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3877805","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"M. H. Nee","47868a","South America","Bolivia","eastermonst rocky foothills of the Andes, above narrowest point at La Angustura on highway from Santa Cruz to Samaipata","-18.16744",NA,"700",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189248' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877805","Magnoliophyta","Poales","Baker","1998","01","09","Santa Cruz","Florida","-63.51922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3877809","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"M. H. Nee","51206","South America","Bolivia","2.5 km E of Comunidad Salinas from turnoff of the Camiri-Cuevo highway","-20.22",NA,"880",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189252' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877809","Magnoliophyta","Poales","Baker","2000","11","06","Santa Cruz","Cordillera","-63.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400386","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"T. J. Killeen","2507A","South America","Bolivia","5 km E of Saipina on road to San Isidro","-18.08",NA,"1800","1800","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400386","Magnoliophyta","Poales","Baker","1987","06","07","Santa Cruz","Manuel María Caballero","-64.5","E. J. Gouda","NY00400386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3877812","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"I. G. Vargas Caballero","986","South America","Bolivia","La Angostura, 5 km NO del pueblo, carretera a Cochabamba","-18.25",NA,"800",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189255' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877812","Magnoliophyta","Poales","Baker","1991","05","21","Santa Cruz","Andrés Ibáñez","-63.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400385","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Á. L. Cabrera","32194","South America","Argentina","Sta. Bárbara: De Sta. Clara a Abra de los Morteros",NA,NA,NA,NA,"sheet",NA,"label says A. L. Cabrera <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400385","Magnoliophyta","Poales","Baker","1980","11","21","Jujuy",NA,NA,"E. J. Gouda","NY00400385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","400330","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"M. Poloni","5085","South America","Brazil","Estrela","-29.5019",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400330","Magnoliophyta","Poales","Baker","1989","01","04","Rio Grande do Sul","Estrela","-51.9664","L. B. Smith","NY00400330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3877811","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"M. H. Nee","51247","South America","Bolivia","2.7 km NW of Ipatí, at highpoint on road from Ipatí to Lagunillas","-19.75",NA,"1175",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189254' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877811","Magnoliophyta","Poales","Baker","2000","11","07","Santa Cruz","Cordillera","-63.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3877810","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"M. H. Nee","51282","South America","Bolivia","0.8 km by road W of the highest point on the road from Eytí to the Ipatí-Camiri road","-19.85",NA,"1125",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189253' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877810","Magnoliophyta","Poales","Baker","2000","11","08","Santa Cruz","Cordillera","-63.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3877807","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"J. C. Solomon","6612","South America","Bolivia","26 km S (above) of Consata","-15.42",NA,"1780",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189250' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877807","Magnoliophyta","Poales","Baker","1981","12","16","La Paz",NA,"-68.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
