"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordedBy","county","decimalLongitude","decimalLatitude","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","infraspecificEpithet","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","440002","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek","A. Rapini","645","1945","03","01","South America","Argentina","Entre Ríos","Chopari","sheet","Collname [illegible] ..Schultz? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440002","NY00440002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","440001","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek","G. O. A. Malme","10966","1910","12","06","South America","Brazil","Paraná","Jaguariaíva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440001","NY00440001_01","P. K. H. Dusén","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687473","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek","M. A. Farinaccio","490","2001","12","27","South America","Brazil","São Paulo","Jardim Floridiana. Terrenos baldios próximos ao SESI.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687473","NY00687473_01","M. A. Farinaccio","Rio Claro","-47.56","-22.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440000","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek","G. G. Hatschbach","23228","1969","12","13","South America","Brazil","Paraná","Fortaleza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440000","NY00440000_01","G. G. Hatschbach","Ponta Grossa","-49.986549","-25.226264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","10408","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","BueK.","Pereira, F.J.","301072","1972","10","30",NA,"Brasil","São Paulo","Distrito de Rubião Júnior; 5km da Faculdade de Ciências Médicas e Biológicas de Botucatu.",NA,"Morro coberto por vegetação aberta. Cerrado anualmente queimado. No plano a vegetação é mais densa, com árvores finas de até 3m de altura. Pétalas pretas, latex branco.; Coleção: Cerrado Estação 13 de Maio","BOTU010408","BOTU010408","Gottsberger, I.S.","Botucatu",NA,NA,"1979","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:18:51-03","UFRJ","RFA","9606","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek ex E.Fourn.","G.G. Hatschbach","23228","1969","12","13",NA,"Brasil","Paraná","Fortaleza",NA,"Lacticifera, pétalas bordeaux, corona creme","RFA28146",NA,"G.G. Hatschbach","Ponta Grossa","-50.1618995666504","-25.0949993133545","1970",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:28:57-03","UFRJ","RFA","8118","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek ex E.Fourn.","G. Hatschbach","3452","1966","11","09",NA,"Brasil","Paraná","Parque Estadual de Vila Velha",NA,"Flor bordeau, ginostenio creme","RFA27387",NA,"P. Occhioni","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:19:58-03","NBC","NL-BOTANY","L.2726238","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek",NA,NA,"1952","11","24","Southern America","Brazil",NA,"Brasiliae australis. RGS, Caaró p. S.Luiz. In campestribus graminosis.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2726238 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2726238","NL-L2726238","Rambo B",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:19:58-03","NBC","NL-BOTANY","L.2726239","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek",NA,NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2726239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2726239","NL-L2726239","Herb Lugd Bat",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:19:58-03","NBC","NL-BOTANY","L.2726240","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","arnottianum","Oxypetalum arnottianum","H.Buek",NA,NA,"1908","11","01","Southern America","Paraguay",NA,"Trorkner, Steiniger Loma-Camp swischen Grasern. N. Paraguay: Zwischen Rio Apa und Rio Aquidaban.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2726240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2726240","NL-L2726240","Fiebrig K",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
