"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","503208","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","R. Kral","R. Kummrow","2431","1983","11","18","South America","Brazil","Paraná","Campo Largo","Serra do Puruna","-49.5281","-25.4586","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=64740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503208","NY00503208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503207","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","L. B. Smith","R. Reitz","17483","1965","12","12","South America","Brazil","Paraná","Ponta Grossa","Rodovia do Café, Rio Tibagi","-49.891776","-25.299294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=64741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503207","NY00503207_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:53-03","UFRJ","RFA","11185","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","L.B. Smith; Downs","P. Occhioni","4762","1971","11","09",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,"25 cm altura, flor amarela","RFA32058",NA,NA,NA,"1975","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:21:02-03","NBC","NL-BOTANY","L.1429569","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs",NA,"Düsen P",NA,"1906","02","11","Southern America","Brazil",NA,NA,"Sao Paulo - Campos de Bocains i la Vacca Cahio.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1429569 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1429569","NL-L1429569",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:26:43-03","IAP","PACA-AGP","36939","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","Smith & Downs","Smith & Downs","Hatschbach, G.","828","1948","01","06",NA,"Brasil","PR","Campo Largo","Purunã","-49.5283012390137","-25.4585990905762",NA,"Há possibilidade de ser um Typus. Aguardar referências.&nf;Lozano: In. Proc. Ciol. Soc. Wash, 73:248(1960) Habitat: in paludosis Fenofase: flor","PACA036939","PACA036939",NA,NA,"1960","53742","auto","Liliopsida","Holotipo",NA,NA,NA,NA,NA,NA
"6","2021-03-16 17:54:43-03","UCS","HUCS","28342","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L. B. Sm. & Downs","Lozano, E.D.","Dombrowski, L.T.","14013","1989","11","22",NA,"Brasil","Paraná","Palmeira","Fazenda Santa Rita","-50.0064010620117","-25.4293994903564",NA,"Herbário MBM; rupestre",NA,NA,NA,NA,"2015","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-16 08:41:25-03","UTFPR","HCF","20982","S","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","E.D. Lozano","E.D. Lozano","2198","2013","12","10",NA,"Brasil","PR","Palmeira","Recanto dos Papagaios","-49.768056","-25.465833",NA,"isolada. 30 cm, flores amarelas murchas, afloramentos rochosos, pouco frequente.",NA,NA,NA,NA,"2014",NA,NA,NA,NA,"49°46'05 W","25°27'57 S",NA,NA,NA,NA
"8","2019-08-16 08:41:25-03","UTFPR","HCF","20981","S","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","E.D. Lozano","E.D. Lozano","2447","2013","12","18",NA,"Brasil","PR","Ponta Grossa","Parque Estadual de Vila Velha","-49.991667","-25.2475",NA,"Isolada e cespitosa, 20-50 cm, flores amarelas, campo semi-hidromórfico.",NA,NA,NA,NA,"2014",NA,NA,NA,NA,"49°59'30 W","25°14'51 S",NA,NA,NA,NA
"9","2019-08-16 08:41:25-03","UTFPR","HCF","20980","S","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","E.D. Lozano","E.D. Lozano","2357","2013","12","14",NA,"Brasil","PR","Lapa","Parque Estadual da Gruta do Monge","-49.700278","-25.7725",NA,"isolada ou cespitosa, 40 cm, flores amarelas, campo higrófilo, solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49°42'01 W","25°46'21 S",NA,NA,NA,NA
"10","2019-08-16 08:41:25-03","UTFPR","HCF","5175","S","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","E.D. Lozano","L.T. Dombrowski","14444","1990","12","20",NA,"Brasil","PR","Palmeira","Fazenda Santa Rita","-50.0064010620117","-25.4293994903564",NA,"nas depressões úmidas, próximas aos afloramentos de arenito.",NA,NA,NA,NA,"2015","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-15 20:23:39-03","UTFPR","HCF","29641","S","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B.Sm. & Downs","O.A. Guimarães","A.C. Cervi","4014","1992","12","23",NA,"Brasil","PR","Tibagi","Guartelá","-50.4136009216309","-24.5093994140625",NA,"erva ereta. Flores amarelas. Lugares úmidos.",NA,NA,NA,NA,"1998","56988","auto",NA,NA,NA,NA,"10",NA,NA,NA
"12","2020-12-21 16:47:46-03","MBM","MBM","401633","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.","2151","2013","12","04","Southern America","Brazil","Paraná","Balsa Nova","São Luís do Purunã, Próximo a Pousada Cainã","-49.724444","-25.438611",NA,"Isolada, 30 cm, flores amarelas, Próximo a afloramento rochoso, população pequena.; Campos Gerais.","MBM401633","MBM401633",NA,NA,"2014",NA,NA,NA,NA,"-49.724444","-25.438611",NA,NA,NA,NA
"13","2020-12-21 16:47:46-03","MBM","MBM","401636","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2357","2013","12","14","Southern America","Brazil","Paraná","Lapa","Parque Estadual do Monge, arredores","-49.700278","-25.7725",NA,"Isolada ou cespitosa, 40 cm, flores amarelas, campo higrófilo, solo arenoso.; Campos Gerais.","MBM401636","MBM401636",NA,NA,"2014",NA,NA,NA,NA,"-49.700278","-25.7725",NA,NA,NA,NA
"14","2020-12-21 16:47:46-03","MBM","MBM","401638","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.","2478","2013","12","19","Southern America","Brazil","Paraná","Palmeira","Fazenda Boiada","-49.8625","-25.285556",NA,"Isolada ou cespitosa, 25-40 cm, flores amarelas, campo semi-hidromorfico, solo arenoso.; Campos Gerais.","MBM401638","MBM401638",NA,NA,"2014",NA,NA,NA,NA,"-49.8625","-25.285556",NA,NA,NA,NA
"15","2020-12-21 16:47:46-03","MBM","MBM","401641","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","1886","2013","11","26","Southern America","Brazil","Paraná","Piraí do Sul","Chácara Santa Rita da Serra","-50.028333","-24.466389",NA,"Isolada, 40 cm, espiga jovem, flores amarelas, campo úmido.; Campos Gerais.","MBM401641","MBM401641",NA,NA,"2014",NA,NA,NA,NA,"-50.028333","-24.466389",NA,NA,NA,NA
"16","2020-12-21 16:47:46-03","MBM","MBM","401643","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","1969","2013","11","27","Southern America","Brazil","Paraná","Piraí do Sul","Pousada Pirahy da Serra, no entorno","-50.020278","-24.466944",NA,"Isolada, 40 cm, flores amarelas, campo úmido, pouco frequente.; Campos Gerais.","MBM401643","MBM401643",NA,NA,"2014",NA,NA,NA,NA,"-50.020278","-24.466944",NA,NA,NA,NA
"17","2020-12-21 16:47:46-03","MBM","MBM","401644","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","1993","2013","11","28","Southern America","Brazil","Paraná","Piraí do Sul","Fazenda Esterco, Propriedade da Iguaçu Celulose","-50.008056","-24.425833",NA,"Isolada, 30 cm, espiga jovem, campo úmido, solo arenoso.; Campos Gerais.","MBM401644","MBM401644",NA,NA,"2014",NA,NA,NA,NA,"-50.008056","-24.425833",NA,NA,NA,NA
"18","2020-12-21 16:47:46-03","MBM","MBM","401646","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Damasceno, B.; Damasceno, B.","2522","2013","12","20","Southern America","Brazil","Paraná","Ponta Grossa","PARNA dos Campos Gerais, Cachoeira da Mariquinha","-49.9525","-25.195",NA,"Isolada, 40 cm, flores amarelas, local úmido em afloramento rochoso.; Campos Gerais.","MBM401646","MBM401646",NA,NA,"2014",NA,NA,NA,NA,"-49.9525","-25.195",NA,NA,NA,NA
"19","2020-12-21 16:47:46-03","MBM","MBM","401647","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Damasceno, B.; Damasceno, B.","2500","2013","12","20","Southern America","Brazil","Paraná","Ponta Grossa","PARNA dos Campos Gerais, Cachoeira São Jorge","-50.055556","-25.034444",NA,"Isolada ou cespitosa, 50 cm, fores amarelas, campo semi-hidromorfico, margem do Rio São Jorge.; Campos Gerais.","MBM401647","MBM401647",NA,NA,"2014",NA,NA,NA,NA,"-50.055556","-25.034444",NA,NA,NA,NA
"20","2020-12-21 16:47:46-03","MBM","MBM","401649","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Damasceno, B.; Damasceno, B.","2537","2013","12","21","Southern America","Brazil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.259722","-24.5675",NA,"Cespitosa, 30 cm, flores amarelas, em afloramento rochoso.; Campos Gerais.","MBM401649","MBM401649",NA,NA,"2014",NA,NA,NA,NA,"-50.259722","-24.5675",NA,NA,NA,NA
"21","2020-12-21 16:47:46-03","MBM","MBM","412854","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Völtz, R.R.; Nunes, M.G.; Nunes, M.G.","1473","2017","12","19","Southern America","Brazil","Paraná","Jaguariaíva","Parque Estadual Vale do Codó","-49.694444","-24.268889",NA,"Erva cespitosa formando pequena população em solo arenoso próximo ao canal de drenagem; flores com brácteas marrons e pétalas amarelas.; Estepe Gramíneo-Lenhosa.","MBM412854","MBM412854","840","840","2018",NA,NA,NA,NA,"-49.694444","-24.268889","03","29",NA,NA
"22","2020-12-21 16:47:46-03","MBM","MBM","429471","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Barboza, E.; Canestraro, B.K.; Barboza, E.; Canestraro, B.K.","4629","2020","01","22","Southern America","Brazil","Santa Catarina","Campo Alegre","Campos do Quiriri","-48.975861","-26.024861",NA,"Herbácea, cespitosa com poucos indivíduos, 30 cm, em campo limpo.; Campo de Altitude.","MBM429471",NA,NA,NA,"2020",NA,NA,NA,NA,"-48.975861","-26.024861",NA,NA,NA,NA
"23","2020-12-21 16:47:46-03","MBM","MBM","429494","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Martins-Filho, V.S.; Oliveira, A.A.; Silva, A.A.; Martins-Filho, V.S.; Oliveira, A.A.; Silva, A.A.","3608","2017","03","14","Southern America","Brazil","Paraná","Ponta Grossa","Sítio da Família Martins","-50.035444","-25.060333",NA,"Herbácea, isolada, 60 cm, flor amarela, em campo úmido.; Campos Gerais.","MBM429494",NA,NA,NA,"2017",NA,NA,NA,NA,"-50.035444","-25.060333",NA,NA,NA,NA
"24","2020-12-21 16:47:46-03","MBM","MBM","429495","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hatschbachii","Xyris hatschbachii","L.B. Sm. & Downs","Lozano, E.D.","Lozano, E.D.; Silva, J.M.; Reis-Silva, G.A.; Silva, J.M.; Reis-Silva, G.A.","4088","2018","01","02","Southern America","Brazil","Paraná","Porto Amazonas","Recanto dos Papagaios, no entorno","-49.768806","-25.468361",NA,"Herbácea, cespitosa com poucos indivíduos, 30 cm, flor amarela, em campo úmido próximo a afloramento rochoso. Material fértil coletada de espécime em cultivo. Coletada estéril em campo no dia 23.XI.2017.; Campos Gerais.","MBM429495",NA,NA,NA,"2017",NA,NA,NA,NA,"-49.768806","-25.468361",NA,NA,NA,NA
