"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","03376783","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","trichophila","Dalechampia trichophila","Pax & K.Hoffm.","syntype","E. Hassler","4476","South America","Paraguay","In campo pr. fl. Capibary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3808803' target='other'> <mi>dwc_moreinfo</mi></a>","NY03376783","NY03376783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03376784","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","trichophila","Dalechampia trichophila","Pax & K.Hoffm.","syntype","E. Hassler","5918","South America","Paraguay","In arenesis pr. fl. Capibary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3808847' target='other'> <mi>dwc_moreinfo</mi></a>","NY03376784","NY03376784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1281249","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","trichophila","Dalechampia trichophila","Pax & K.Hoffm.",NA,"A. C. Cervi","6282","South America","Brazil","Parque Estadual do Cerrado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1681236' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281249","NY01281249_01","A. C. Cervi","1997","05","27","Paraná","Jaguariaíva","-49.65","-24.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03376785","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","weddelliana","Dalechampia weddelliana","Baill.",NA,"E. Hassler","4336","South America","Paraguay",NA,"sheet","The collection number written on the label could be 4336 or 4536 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3808858' target='other'> <mi>dwc_moreinfo</mi></a>","NY03376785","NY03376785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","822999","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","weddelliana","Dalechampia weddelliana","Baill.",NA,"P. K. H. Dusén","16970","South America","Brazil","Opp., Casa Nova.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822999","NY00822999_01",NA,"1915","04","04","Paraná","Jaguariaíva","-49.7056","-24.2511","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","879078","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","weddelliana","Dalechampia weddelliana","Baill.",NA,"G. L. Webster","25365","South America","Brazil","Serra Urucum.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00879078","NY00879078_01",NA,"1984","10","04","Mato Grosso do Sul","Ladário","-57.58","-19.2","970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1027995","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","weddelliana","Dalechampia weddelliana","Baill.",NA,"R. Kral","75021","South America","Brazil","10 Kms WNW Alto Araguaia toward Rondonopolis. Along BR 364","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027995","NY01027995_01","G. L. Webster","1988","09","22","Mato Grosso","Alto Araguaia","-53.2153","-17.3147","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:08:30-03","UNESP-IBB","BOTU","30397","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","weddelliana","Dalechampia weddelliana","Baill.",NA,"Kellermann, B.D.","70",NA,"Brasil",NA,NA,"Subarbusto","BOTU030397",NA,"Snak, C.","2009","09","25","Paraná","Jaguariaíva","-49.648611","-24.133333",NA,NA,"2009","10","49°38'55w","24°08'00s",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:39-03","UFRJ","RFA","9588","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","trichophila","Dalechampia trichophila","Pax & K. Hoffm.",NA,"G.G. Hatschbach; O. Guimarães","21775",NA,"Brasil",NA,NA,"Reptante; flor creme","RFA28138",NA,"G.G. Hatschbach","1969","07","12","Mato Grosso do Sul","Rio Brilhante","-54.5463981628418","-21.8019008636475",NA,NA,"1970",NA,NA,NA,"65544","auto",NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:38:21-03","EAO","IAN","5800","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Dalechampia","amambayensis","Dalechampia amambayensis","Pax & K.Hoffm.",NA,"Rojas, T","9763",NA,"Paraguai",NA,NA,NA,"IAN005800","IAN005800_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:38:22-03","EAO","IAN","5798","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Dalechampia","trichophila","Dalechampia trichophila","Pax & K.Hoffm.",NA,"Hassler, E","4476",NA,"Paraguai",NA,NA,NA,"IAN005798","IAN005798_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:48:16-03","NBC","NL-BOTANY","L.2211499","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Dalechampia","amambayensis","Dalechampia amambayensis","Pax & K.Hoffm.",NA,"Pedersen TM",NA,"Southern America","Paraguay",NA,NA,"Very rough grassland with numerous shrublets and dwarf palms, on dry, sandy soil<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2211499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2211499","NL-L2211499","Pedersen TM","1969","11","22","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0146297 | 405790",NA,NA,NA,NA
"13","2020-02-08 09:48:22-03","NBC","NL-BOTANY","L.2211997","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Dalechampia","trichophila","Dalechampia trichophila","Pax & K.Hoffm.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,NA,"Do cerrado<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2211997 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2211997","NL-L2211997","Smith LB","1962","02","02","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0146426 | 135323",NA,NA,NA,NA
