"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00933223","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","R. Riina","1351","2004","01","23","South America","Brazil","Minas Gerais","Diamantina","Mendanha. Ca. de Mendanha na estrada para Inhaí (BR 367). Na saida de Mendanha, ca da cancha de futebol","-43.5575","-18.0425","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933223","NY00933223_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","870810","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","23132","1969","02","11","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 35 km N.E. of Francisco Sá, on road to Salinas","-43.21845","-16.40385","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870810","NY00870810_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02591421","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"M. O. D. Pivari","1649","2012","12","07","South America","Brazil","Pará","Canaã dos Carajás","Racha Placa, Floresta","-50.322828","-6.4583475","330",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2887621' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591421","NY02591421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","870838","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","I. Cordeiro","I. Cordeiro","CFSC7066","1981","03","01","South America","Brazil","Minas Gerais","Santana do Riacho","km 117 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870838","NY00870838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","777944","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","I. Cordeiro","M. Kirizawa","3114","1995","05","17","South America","Brazil","São Paulo","Presidente Epitácio","Reserva Estadual Lagoa Sao Paulo, ca. 10 km da cidade. Próximo ao Rio Paraná","-52.11","-21.7603","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777944","NY00777944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886247","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","J. L. Paixão","2002","2004","03","04","South America","Brazil","Espírito Santo","Linhares","Estrada de Linhares para o Pontal do Vale, ca. 8.1 km após o viaduto, ramal à direita para Povoação. Ca. 27.8 km da estrada.","-39.8875","-19.5061",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886247","NY00886247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","870809","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","27340","1970","03","10","South America","Brazil","Minas Gerais","Joaquim Felício","Ca. 2 km N. of Joaquim Felício","-44.1708333","-17.7588","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870809","NY00870809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540790","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","A. R. S. de Oliveira","271","1994","06","22","South America","Brazil","Acre","Porto Acre","Reserva Florestal do Humaitá-UFAC, linha 09.","-67.63","-9.75",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=275390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","380609","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana genuinus","Müll.Arg.",NA,"J. F. Widgren","346","1846","05","08","South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380609","NY00380609_01","genuinus","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","870817","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","17128","1966","06","14","South America","Brazil","Mato Grosso",NA,"Ca. 78 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.33","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870817","NY00870817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
