"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","521733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli","paratype","S. A. Mori","13400","1980","03","04","South America","Brazil","Bahia","Mucugê","A 6 km ao SW de Mucujê","-41.3706","-13.0056","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521733","NY00521733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521732","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli","isotype","G. G. Hatschbach","47984","1984","06","16","South America","Brazil","Bahia","Mucugê","Rod. p/ Andarai","-41.3706","-13.0056",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521732","NY00521732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522425","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli",NA,"R. M. Harley","15939","1974","02","04","South America","Brazil","Bahia","Mucugê","By Rio Cumbuca ca. 3 km S of Mucugé, near site of dam road to Cascavel","-41.35","-13.02","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522425","NY00522425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522423","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli",NA,"R. M. Harley","18747","1977","02","16","South America","Brazil","Bahia","Mucugê","Serra do Sincorá; 22 km S of Andaraí on road to Mucugé.","-41.33","-12.95","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522423","NY00522423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522424","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli",NA,"R. M. Harley","16043","1974","02","06","South America","Brazil","Bahia","Mucugê","Serra do Sincorá; 4 km. S of Mucugé, on road from Cascavel by the Rio Cumbuca","-41.38","-13","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522424","NY00522424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02499386","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli",NA,"R. Goldenberg","1813","2014","02","24","South America","Brazil","Bahia","Mucugê","Parque das Sempre-Vivas, trilha do Tiburtino","-41.34167","-12.99653","925","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2299338' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499386","NY02499386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01856089","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli",NA,"M. J. R. Rocha","286","2012","02","10","South America","Brazil","Bahia","Mucugê","Parque Municipal de Mucugê-Projeto Sempre Viva. Trilha Tiburtino","-41.3417","-12.9964",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190304' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856089","NY01856089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01096561","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea johnwurdackiana","(Baumgratz & D'El Rei Souza) Michelang., Almeda & R.Goldenb.","F. A. Michelangeli","not a type","A. K. A. dos Santos","431","2001","08","15","South America","Brazil","Bahia","Mucugê","Trilha para o Gobira.","-41.3761","-13.0825",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1240558' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096561","NY01096561_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-07 00:49:52-03","UFBA","ALCB","100631","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","johnwurdackiana","Miconia johnwurdackiana","J.F.A. Baumgratz & D'El Rei Souza","Pataro, L",NA,"Pataro, L; Ogasawara, HA","114","2011","05","21","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para Fumacinha","-41.326667","-13.278611",NA,NA,NA,"Ca. 2m alt. Folhas cartáceas discolores; flores com hipanto avermelhado, corola magenta e anteras amarelas.","ALCB070551",NA,"2011","05","-41.326667","-13.278611",NA,NA,NA,NA,NA,NA
"10","2020-07-07 00:49:52-03","UFBA","ALCB","94740","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","johnwurdackiana","Miconia johnwurdackiana","J.F.A. Baumgratz & D'El Rei Souza","Aguiar, LGPA",NA,"Roque, N; Alunos de Botânica III","2812","2010","05","22","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para o Rio Paraguaçu, início na estação de tratamento de água","-41.391389","-13.000278","941","941",NA,"ca 1.3m de alt.; folhas discolores; sépalas vináceas; corola lilás.","ALCB070558",NA,"2010","07","-41.391389","-13.000278",NA,NA,NA,NA,NA,NA
