"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order","coordinatePrecision","individualCount","geoFlag","typeStatus"
"1","2019-09-23 10:16:56-03","UNICAMP","UEC","149882","S","Plantae","Magnoliopsida","Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero","Versiane, AFA","2012","08","Kinoshita, LS; Martins, AB; Galvão, JC; Fanton, JCM; Shimizu, GH; Morokawa, R","08-61","2008","11","04","Brazil","Minas Gerais","Capitólio","Pousada do Rio Turvo., Trilha para Cachoeira do Fecho.","-46.293333","-20.636389","-46.293333","-20.636389","Subarbusto, 0,5 m. Flores amarelas.","UEC096887","UEC096887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:38:31-03","UFMG","BHCB","163830","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero",NA,"2013","05","Rocha, MJR; Pena, RPM","981","2013","05","18","Brasil","Minas Gerais","Capitólio","Região de Furnas, Campo rupestre; estrada de acesso à Cachoeira do Fecho","-46.229194","-20.635833","-46.229194","-20.635833","Subarbusto, cerca de 60 cm de altura; pétalas e estames amarelos, anteras quando maduras apresentam-se alaranjadas; frutos imaturos",NA,NA,"18","Southern America","820","820",NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","3591690","PreservedSpecimen","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R. Romero",NA,NA,NA,"J. N. Nakajima, P. Bernardes, K. Castro & A. L. Oliveira","4523","2007","5","25","Brazil","Minas Gerais","Capitólio","Estrada para cachoeira feixo da serra, Região de Furnas","-46.0499992370605","-20.6152992248535",NA,NA,NA,"US01896756","US01896756_01 US01896756_02",NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Myrtales","29474","1","auto",NA
"4","2021-03-15 18:28:49-03","USP","SPF","232824","PreservedSpecimen","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero","Pacífico, RB","2017","04","Pacífico, RB","279","2017","01","13","Brasil","Minas Gerais","Capitólio","Serra da Canastra, Estrada para a Cachoeira Feixo da Serra.","-46.0499992370605","-20.6152992248535",NA,NA,"Arbusto ereto, esguio, apenas uma flor, com pétalas e estames amarelos.; Paredão rochoso.","SPF00232824",NA,"13",NA,NA,NA,NA,NA,"29474",NA,"auto",NA
"5","2019-10-07 09:34:35-03","UEFS","HUEFS","221514","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero",NA,NA,NA,"Romero, R.","7518","2006","02","15","Brasil","Minas Gerais",NA,"Estrada para Cachoeira Feixo da Serra, Rio Turvo, próximo ao trecho de asfalto. Regiaão da Repressa de Furnas.","-46.230833","-20.604444","46W13'51''","20S36'16''","Campo rupestre.","HUEFS0221514","HUEFS0221514",NA,NA,"786","786","Rosanae","Myrtales",NA,NA,NA,NA
"6","2019-07-02 15:55:59-03","UEM","HUEM","33000","S","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero","R.Pacifico","2017","01","R.Pacifico; V.E.Bressan","279","2017","01","13","Brasil","Minas Gerais","Capitólio","Serra da Canastra., Rio Turvo, estrada para a cachoeira Feixo da Serra, após trecho de asfalto.","-46.0499992370605","-20.6152992248535",NA,NA,"Arbusto pequeno, esguio. Apenas uma flor, com pétalas e estames amarelos. Encontrado em paredão rochoso.","HUEM000016760","HUEM000016760",NA,NA,NA,NA,NA,NA,"29474",NA,"auto",NA
"7","2020-08-04 12:48:37-03","UFU","HUFU","45700","S","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero","Romero, R.","2007","07","Arantes, A.A.A.; Romero, R.; Bernardes, P.H.N.; Silva, M.A.O.; Grisi, P.U.; et al.","1970","2006","07","13","Brasil","Minas Gerais","Capitólio","Estrada da cachoeira Feixo da Serra, Trilha de campo rupestre.","-46.0499992370605","-20.6152992248535",NA,NA,"Erva, ca. 0,3 m. Flor amarela.; Campo rupestre.","HUFU00064998","HUFU00064998",NA,NA,NA,NA,NA,NA,"29474",NA,"auto",NA
"8","2020-06-01 13:10:53-03","UFU","HUFU","55068","S","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero","Romero, R.","2010","01","Kinoshita, L.S.; Martins, A.B.; Galvão, J.C.; Ferreira, C.V.V.; Shimizu, G.H.; et al.","61","2008","11","04","Brasil","Minas Gerais","Capitólio","Pousada do Rio Turvo, Trilha para a cachoeira do Fecho.","-46.0499992370605","-20.6152992248535",NA,NA,"Subarbusto, ca. 0,5 m. Flores amarelas.","HUFU00038149",NA,NA,NA,NA,NA,NA,NA,"29474",NA,"auto",NA
"9","2020-06-01 13:10:53-03","UFU","HUFU","48185","S","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero",NA,NA,NA,"Nakajima, J.N.; Bernardes, P.H.N.; Melo, K.B.S.; Castro, W.S. & Oliveira, A.L.F.","4523","2007","05","24","Brasil","Minas Gerais","Capitólio","Região de Furnas, Estrada para cachoeira Feixo da Serra.","-46.0499992370605","-20.6152992248535",NA,NA,"Subarbusto, ca. 0,3m. Cálice verde, corola e estames amarelos.; Cerrado rupestre.","HUFU00038151",NA,NA,NA,NA,NA,NA,NA,"29474",NA,"auto",NA
"10","2020-06-01 13:10:53-03","UFU","HUFU","48327","S","Plantae",NA,"Melastomataceae","Microlicia","flava","Microlicia flava","R.Romero","Romero, R.","2007","08","Nakajima, J.N.; Bernardes, P.H.N.; Melo, K.B.S.; Castro, W.S. & Oliveira, A.L.F.","4445","2007","05","22","Brasil","Minas Gerais","Capitólio","Região de Furnas., Estrada para pereira, próximo a cachoeira da rodovia.","-46.0499992370605","-20.6152992248535",NA,NA,"Erva, ca. 0,3 m. Cálice verde, corola amarela e estames amarelos.; Cerrado rupestre.","HUFU00038150",NA,NA,NA,NA,NA,NA,NA,"29474",NA,"auto",NA
