"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","eventTime","sex"
"1","2021-04-05 14:25:25-03","UNESC","CRI","9652","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","M. Verdi","2008","11","29","M. Verdi; B.Grosh & G. Klemz","544","2008","11","29","Brasil","Santa Catarina","Peritiba","SC-471.","-51.885","-27.360278","51º53'6''W","27º21'37''S","611","611","Floresta Estacional Decidual","CRI003650","CRI003650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:25-03","UNESC","CRI","799","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1149","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003680","CRI003680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:25-03","UNESC","CRI","3177","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","Vanilde Citadini- Zanette","1994","01","01","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1828","1993","12","23","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","Habitat: mata atlântica secundária de encosta Habito: árvore","CRI003664","CRI003664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:25-03","UNESC","CRI","9441","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","A. Quinet","2010","09","15","M. Verdi; E. Caglioni & E.M. Martins","5364","2010","08","15","Brasil","Santa Catarina","Taió","Barragem Oeste de Taió.","-50.036667","-27.091389","50º2'12''W","27º5'29''S","374","374","Floresta Ombrófila Densa","CRI003624","CRI003624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","9439","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","A. Stival-Santos","2010","09","30","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2782","2010","05","20","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Rua Dom Pedro II.","-48.800833","-27.7025","48º48'3''W","27º42'9''S","44","44","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003647","CRI003647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:25-03","UNESC","CRI","13936","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","Aline Votri Guislon","2016","09","13","Aline Votri Guislon",NA,"2016","09","04","Brasil","Santa Catarina","Criciúma","Bairro Morro Estavão","-49.394722","-28.734167","49º23'41''W","28º44'3''S","55","55","Habitat: Terrestre Habito: Arbórea","CRI012547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:25-03","UNESC","CRI","9459","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","A. Stival-Santos","2010","03","15","A. Stival-Santos; E. Legal & S. Silveira","1541","2010","01","27","Brasil","Santa Catarina","Angelina","Coqueiral.","-49.049722","-27.568611","49º2'59''W","27º34'7''S","835","835","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: entorno do fragmento, beira de estrada Habito: árvore","CRI003656","CRI003656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:37-03","UNESC","CRI","8358","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","Vanilde Citadini- Zanette","2007",NA,NA,"Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva",NA,"2006",NA,NA,"Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI003672","CRI003672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:25-03","UNESC","CRI","9351","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","A. L. Gasper",NA,NA,NA,"M. Verdi; B. Grosch & G. Klemz","1062","2008","11","27","Brasil","Santa Catarina","Concórdia",NA,"-52.201111","-27.268889","52º12'4''W","27º16'8''S","608","608","Floresta Estacional Decidual","CRI003660","CRI003660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:37-03","UNESC","CRI","8528","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","A. Stival Santos","2009","06","02","A. Stival Santos; J. Schmitt e S. Silveira","727","2009","06","02","Brasil","Santa Catarina","Bom Jesus do Oeste",NA,"-53.097222","-26.693056","53º5'50''W","26º41'35''S",NA,NA,NA,"CRI003686","CRI003686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:25-03","UNESC","CRI","9577","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","A. Stival-Santos","2010","04","06","A. Stival-Santos; E. Legal & S. Silveira","2331","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves.","-48.96","-27.54","48º57'36''W","27º32'24''S","718","718","Floresta Ombrófila Densa Habitat: borda da mata Habito: arbórea","CRI003652","CRI003652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:25-03","UNESC","CRI","10289","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","M. Sobral","2009","07","21","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein",NA,"2009","07","21","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S","860","860",NA,"CRI003642","CRI003642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:25-03","UNESC","CRI","9524","PreservedSpecimen","Plantae","Lauraceae","Ocotea","puberula","Ocotea puberula","(Rich.) Nees","M. Verdi","2010","05","25","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4739","2010","05","25","Brasil","Santa Catarina","Praia Grande","Pedra Branca, PARNAs Aparados da Serra e Serra Geral.","-50.129722","-29.249722","50º7'47''W","29º14'59''S","466","466","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI003658","CRI003658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
