"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01420050","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Leucochloron","minarum","Leucochloron minarum","(Glaz. ex Harms) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","A. F. M. Glaziou","13789","South America","Brazil","Rio de Janeiro","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701775' target='other'> <mi>dwc_moreinfo</mi></a>","NY01420050","NY01420050_01 NY01420050_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:17:31-03","UFV","VIC","36593","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Leucochloron","minarum","Leucochloron minarum","(Glaz. ex Harms)","Fernandes, J.M.","Fernandes, J.M.","1326",NA,"Brasil","Minas Gerais","Reserva Ecológica de Sagarana",NA,"Floresta Estacional Decidual; Árvore de 14 m de altura; Frutos secos desenvolvidos. Primeiro registro dos frutos e semente para a espécie.","VIC036593",NA,"2010","08","24","2010","08","24","Arinos","-46.105598449707","-15.9168996810913","73882","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:17:31-03","UFV","VIC","36302","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Leucochloron","minarum","Leucochloron minarum","(Glaz. ex Harms)","Fernandes, J.M.","Fernandes, J.M.","1328",NA,"Brasil","Minas Gerais","Reserva Ecológica de Sagarana, Início da unidade de conservação, perto da porteira.",NA,"Floresta Estacional Decidual; árvore de 18m alt., frutos desenvolvidos, verde-amarelados, plano compressos. Primeiro registro do fruto para a espécie.","VIC036302",NA,"2010","08","24","2010","08","24","Arinos","-46.105598449707","-15.9168996810913","73882","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-11-06 17:02:17-02","MNHN","RECOLNAT_MNHN_P","P01818499","PreservedSpecimen",NA,NA,NA,"Fabaceae","Pithecellobium","minarum","Pithecellobium minarum","Glaz. ex Harms",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Minas. Sao Jose de Lagedo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818499' target='other'> <mi>dwc_moreinfo</mi></a>","P01818499","P01818499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","13790",NA,NA,NA,NA,NA,NA
"5","2015-11-06 17:02:19-02","MNHN","RECOLNAT_MNHN_P","P01818500","PreservedSpecimen",NA,NA,NA,"Fabaceae","Pithecellobium","minarum","Pithecellobium minarum","Glaz. ex Harms",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Minas. Sao Jose de Lagedo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818500' target='other'> <mi>dwc_moreinfo</mi></a>","P01818500","P01818500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","13790",NA,NA,NA,NA,NA,NA
"6","2018-01-15 11:23:27-02","MNHN","RECOLNAT_MNHN_P","P01818501","PreservedSpecimen",NA,NA,NA,"Fabaceae","Pithecellobium","minarum","Pithecellobium minarum","Glaz. ex Harms",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Minas. Sao Jose de Lagedo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818501' target='other'> <mi>dwc_moreinfo</mi></a>","P01818501","P01818501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype","13790",NA,NA,NA,NA,NA,NA
"7","2017-09-14 15:02:00-03","MO","MOBOT","100996870","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Leucochloron","minarum","Leucochloron minarum","(Glaz. ex Harms) Barneby & J.W. Grimes","R. Barneby & Grimes","Auguste F.M. Glaziou","Glaziou 13789","South America","Brazil",NA,"Rio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2019-11-13 11:22:30-03","USP","SPF","111363","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Leucochloron","minarum","Leucochloron minarum","(Glaz. ex Harms) Barneby & J.W.Grimes","Fernandes, JM","Pirani, JR","3756",NA,"Brasil","Minas Gerais",NA,NA,NA,"SPF00111363",NA,"2010","11",NA,"1996","04","04","Santo Hipólito","-44.183333","-18.283333",NA,NA,NA,NA,NA,"-44.183333","-18.283333","550","550",NA
"9","2020-05-08 11:10:32-03","UEFS","HUEFS","118277","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Leucochloron","minarum","Leucochloron minarum","(Glaz. ex Harms) Barneby & J.W.Grimes","P.G.C.Almeida","Queiroz, L.P.de","12780",NA,"Brasil","Bahia","Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'água, a 24,4 Km S de São Félix do Coribe na estrada para Coribe.",NA,"Floresta estacional.","HUEFS0118277","HUEFS0118277","2012","08",NA,"2007","04","11","Coribe","-44.32","-13.586111",NA,NA,NA,NA,NA,"44W19'12''","13S35'10''","545","545","Rosanae"
"10","2019-09-04 18:42:10-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","minarum","Pithecellobium minarum",NA,NA,"A. Glaziou","13789","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Syntype",NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"11","2019-01-23 12:58:32-02","F","FMNH-SEEDPLANTS","V0058734F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","minarum","Pithecellobium minarum",NA,NA,"A. Glaziou","13789","South America","Brazil",NA,NA,NA,NA,"V0058734F","V0058734F_01",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Lectotype",NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
