"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","locality","county","coordinatePrecision","geoFlag","verbatimLatitude","verbatimLongitude","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01192450","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","oligospira","Nitella oligospira","A.Braun","M. A. Howe","H. F. Pittier","11523","South America","Venezuela","-66.912216","10.501978","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1789079' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192450","NY01192450_01 NY01192450_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01192480","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","oligospira","Nitella oligospira","A.Braun","G. O. Allen","F. E. Drouet","1349","South America","Brazil","-38.681721","-3.890963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1789193' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192480","NY01192480_01","1935","08","05","Ceará","Kagado, in a shallow roadside pool",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01192477","PreservedSpecimen","Algae","Charophyta","Charophyceae","Charales","Characeae","Nitella","oligospira","Nitella oligospira","A.Braun","M. A. Howe","H. F. Pittier","11522","South America","Venezuela","-66.844064","10.511174","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1789136' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192477","NY01192477_01",NA,NA,NA,"Miranda",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:32:26-03","EAO","IAN","59459","PreservedSpecimen","Plantae",NA,NA,NA,NA,"Nitela","oligospira","Nitela oligospira","A.Braun",NA,"Sioli, H","38","Southern America","Brasil","-55.3316993713379","-3.6055600643158",NA,"Plantas aquáticas e algas.","IAN059459",NA,"1950","09","12","Pará","Fordlândia, Igarapé do acampamento 2, beira, água calma.","Aveiro","181858","auto",NA,NA,NA,NA
"5","2021-03-30 12:32:26-03","EAO","IAN","59458","PreservedSpecimen","Plantae",NA,NA,NA,NA,"Nitela","oligospira","Nitela oligospira","A.Braun",NA,"Sioli, H","37","Southern America","Brasil","-55.3316993713379","-3.6055600643158",NA,"Em água estagnada, plantas aquáticas.","IAN059458",NA,"1950","09","11","Pará","Fordlândia, Igarapé São João.","Aveiro","181858","auto",NA,NA,NA,NA
"6","2021-03-30 12:32:26-03","EAO","IAN","73810","PreservedSpecimen","Plantae",NA,NA,NA,NA,"Nitela","oligospira","Nitela oligospira","A.Braun","Henning, H","Sioli, H","46","Southern America","Brasil","-55.3316993713379","-3.6055600643158",NA,"Charophyta.","IAN073810",NA,"1952","07","23","Pará","Fordlândia, Rio Tapajós, vala do banheiro na Pedreira.","Aveiro","181858","auto",NA,NA,NA,NA
"7","2021-03-30 12:32:26-03","EAO","IAN","59462","PreservedSpecimen","Plantae",NA,NA,NA,NA,"Nitela","oligospira","Nitela oligospira","A.Braun",NA,"Sioli, H","41","Southern America","Brasil","-55.3316993713379","-3.6055600643158",NA,"Plantas aquáticas.","IAN059462",NA,"1950","09","25","Pará","Fordlândia, Valeta do banheiro na Pedreira.","Aveiro","181858","auto",NA,NA,NA,NA
"8","2019-11-08 15:45:30-03","UNESP-IBILCE","SJRP-ALGAE","32551","S",NA,"Charophyta","Charophyceae","Charales","Characeae","Nitella","oligospira","Nitella oligospira","A. Braun","Borges, F. R.","Borges, F. R.",NA,"América do Sul","Brasil",NA,"-17.91125",NA,NA,NA,NA,"2014","05","12","Mato Grosso do Sul","BR163 entre os municípios de Sonora e Coxim.","Sonora",NA,NA,"-17.91125",NA,NA,NA
"9","2019-11-08 15:45:30-03","UNESP-IBILCE","SJRP-ALGAE","32546","S",NA,"Charophyta","Charophyceae","Charales","Characeae","Nitella","oligospira","Nitella oligospira","A. Braun","Borges, F. R.",NA,NA,"América do Sul","Brasil",NA,"-20.950889",NA,NA,NA,NA,"2002","08","13","São Paulo","Ribeirão Borá, Avenida José Domingues Neto, estrada da Vila Azul.","Cedral",NA,NA,"-20.950889",NA,NA,NA
"10","2019-11-08 15:45:30-03","UNESP-IBILCE","SJRP-ALGAE","32547","S",NA,"Charophyta","Charophyceae","Charales","Characeae","Nitella","oligospira","Nitella oligospira","A. Braun","Borges, F. R.",NA,NA,"América do Sul","Brasil",NA,"-20.950889",NA,NA,NA,NA,"2002","08","13","São Paulo","Ribeirão Borá, Avenida José Domingues Neto, estrada da Vila Azul.","Cedral",NA,NA,"-20.950889",NA,NA,NA
