"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","806767","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée","E. B. Copeland","F. V. McConnell","568","1898","South America","Guyana","Summit - Roraima.","2621","2621","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806767","NY00806767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2063368","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée",NA,"J. B. S. Pereira","262","2008","South America","Brazil","Parque Estadual Pico Paraná.","1600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463805' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063368","NY02063368_01","05","22","Paraná","Campina Grande do Sul","-48.83","-25.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886633","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée","P. H. Labiak E.","P. H. Labiak E.","3921","2007","South America","Brazil","Serra do Capivari, subida para as torres da Embratel.","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886633","NY00886633_01","04","21","Paraná","Campina Grande do Sul","-48.8211","-25.1353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018533","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée","R. Y. Hirai","R. Y. Hirai","610","2008","South America","Brazil","Serra do Capivari, próximo a estação da Embratel da Serra do Carpivari.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1260185' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018533","NY01018533_01","12","26","Paraná","Campina Grande do Sul","-48.82","-25.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03984524","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée",NA,"G. S. Jenman","s.n.","1894","South America","Guyana","British Guiana. Roraima.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4282107' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984524","NY03984524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","144955","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée",NA,"A. F. M. Glaziou","2456",NA,"South America","Brazil","Brasilia",NA,NA,"sheet","This Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144955","NY00144955_01",NA,NA,NA,NA,NA,NA,"type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","563875","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée","P. H. Labiak E.","R. Schmalz","163","1904","South America","Brazil","At Joinville.","700","800","sheet","Albano Schmalz [written on label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00563875","NY00563875_01","04",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03984523","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée",NA,"A. Vasco","627","2007","South America","Colombia","Mun. Pueblo Rico. Vereda Montebello, cerca a Los Cajones, subiendo hacia la base militar.","2162",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4282106' target='other'> <mi>dwc_moreinfo</mi></a>","NY03984523",NA,"04","14","Risaralda",NA,"-76.10553","5.25081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-27 11:22:06-03","PUCPR","HUCP","25483","S","Plantae","Monilofita",NA,"Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée","Kersten, RA","Kersten, RA","1766","2019",NA,"Brasil","Morro dos Perdidos","1350","1350",NA,"Epífita em Floresta Ombrófila Densa Altomontana.","HUCP00025483","HUCP00025483","02","24","Parana","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:17-03","PUCPR","HUCP","20313","S","Plantae","Monilofita",NA,"Polypodiaceae","Grammitis","fluminensis","Grammitis fluminensis","Fée","Michelon, C","Michelon, C","457","2009",NA,"Brasil",NA,NA,NA,NA,NA,"HUCP00001430","HUCP00001430","05","22","Paraná","Piraquara","-49.0633010864258","-25.4416999816895",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
