"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02210502","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R.Goldenb. & Reginato","R. Goldenberg","884","2007","07","13","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lomardia. Terreno do Furlani","-40.5383","-19.8053","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2504353' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210502","NY02210502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1738452","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R.Goldenb. & Reginato","M. K. Caddah","845","2011","02","07","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani, subida para o alto do morro.","-40.53832","-19.8043","840","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738452","NY01738452_01","R. Goldenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1738493","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R.Goldenb. & Reginato","R. Goldenberg","1526","2011","02","07","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani","-40.53581","-19.79964","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738493","NY01738493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:01-03","UFPR","UPCB","84175","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","kollmanii","Miconia kollmanii","R. Goldenb. & Reginato","Kollmann, L.","5064","2001","11","28",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica Augusto Ruschi.","-40.6002998352051","-19.9356002807617","750",NA,"Arbusto 3m na sombra. Botões e flores brancas.","UPCB0002475","UPCB0002475",NA,"Isotype","23813","750","auto",NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:20:01-03","UFPR","UPCB","57417","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R.Goldenb. & Reginato","Goldenberg, R.","884","2007","07","13",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"950",NA,"Arvoreta, 1,5m, estéril (material em sílica) Mata Atlântica de encosta..","UPCB0002476","UPCB0002476","Goldenberg, R.","Paratype",NA,"950",NA,"2007","01","01","9999","9999",NA
"6","2021-02-11 17:20:01-03","UFPR","UPCB","71801","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R.Goldenb. & Reginato","Goldenberg, R.","1526","2011","02","07",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"900",NA,"Arvoreta 3m, em clareira. Frutos imaturos verdes Floresta.","UPCB0015632","UPCB0015632",NA,NA,NA,"900",NA,NA,NA,NA,"9999","9999",NA
"7","2021-02-11 17:20:01-03","UFPR","UPCB","71911","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R.Goldenb. & Reginato","Caddah, M.K.","845","2011","02","07",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"840",NA,"Arvoreta ca. 3m. Frutos imaturos com cálice persistente. Coleta em sílica..","UPCB0015645","UPCB0015645","Goldenberg, R.",NA,NA,"840",NA,"2011","02","07","9999","9999",NA
"8","2013-07-30 11:06:00-03","MO","MOBOT","100615792","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R. Goldenb. & Reginato","Ludovic Kollmann","Kollmann 5064",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","2013-07-01 09:58:00-03","MO","MOBOT","100607900","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R. Goldenb. & Reginato","Mayara K. Caddah|Marcelo Reginato|Renato Goldenberg|Fabián A. Michelangeli|Ludovic Kollmann","Caddah 845","2011","2","7","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani, subida para o alto do morro. (19° 80' 43 S; 40° 53' 83 W)","-40.6002998352051","-19.9356002807617","840.00000000",NA,NA,NA,NA,"R. Goldenberg",NA,"23813",NA,"auto",NA,NA,NA,NA,NA,"1"
"10","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","15604",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R. Goldenb. & Reginato","L. Kollmann; et al","5064","2001","11","28",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,"Arbusto 3m na sombra. Botões e flores brancas.","MBML015604","MBML015604","R. Goldenberg/2008","HOLOTIPO",NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27","3"
"11","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","25705",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R. Goldenb. & Reginato","L. Kollmann; et al","8470","2005","11","18",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia","-40.510556","-19.823611",NA,NA,"Arbusto 3m, flores marrons.","MBML025705","MBML025705","R. Goldenberg/Julho-2007","PARATIPO",NA,NA,NA,NA,NA,NA,"40W30'38","19S49'25","4"
"12","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","33373",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R. Goldenb. & Reginato","R. Goldenberg; et al","884","2007","07","13",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani","-40.537222","-19.804167",NA,NA,"Arvoreta, 1.5m. Estéril (material em sílica). PARÁTIPO.","MBML033373","MBML033373","R. Goldenberg/2007","PARATIPO",NA,NA,NA,NA,NA,NA,"40W32'14","19S48'15",NA
"13","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","46587",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","kollmannii","Miconia kollmannii","R. Goldenb. & Reginato","M.K. Caddah; R. Goldenberg, F.A. Michelangeli, M. Reginato & L. Kollmann","845","2011","02","07",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani, subida para o alto do morro","-40.5383","-19.8043","840",NA,"Arvoreta ca 3m. Frutos imaturos com cálice persistente. Coleta em sílica","MBML046587","MBML046587","R. Goldenberg/Fev.2011",NA,NA,"840",NA,NA,NA,NA,"40W32'17,88","19S48'15,48",NA
