"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","110671","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.","J. A. Kallunki","W. W. Thomas","10966","1995","05","22","South America","Brazil","Bahia","Ilhéus","2.2 km north of Banco da Vitória on road leading to west edge of Mata da Esperança","-39.0911111","-14.7772222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00110671","NY00110671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:14:49-03","UFBA","ALCB","76943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.","Oliveira, LSD de","Valadão, RM; Guedes, ML","413","2006","01","23","Southern America","Brasil","Bahia","Ituberá/Grapiúna","Litoral Sul, Mata da Pancada Grande",NA,NA,NA,"de ca. 8,0m de altura. Folhas cartáceas, discolores. Inflorescência masculina amarelo-avermelhada.; Arbórea.","ALCB054505",NA,"2011","10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:14:49-03","UFBA","ALCB","76944","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.","Oliveira, LSD de","Valadão, RM; Guedes, ML","414","2006","01","26","Southern America","Brasil","Bahia","Ituberá/Grapiúna","Litoral Sul, Mata do Corte Alto. Parcela 20, N° 763",NA,NA,NA,"de ca. 5,0m de altura, CAP de 18,5 cm. Folhas coriáceas discolores, com a face abaxial com nervação impressa. Caulifloria, flores masculinas e femininas imaturas.; Arbórea.","ALCB054504",NA,"2009","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-15 09:03:37-03","UESC","UESC","17002","S","Plantae","Angiospermae","Florideophycidae","Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Muell Arg.","J.Kallunki","Thomas, W.W.","10966","1995","05","22",NA,"Brasil","Bahia","Ilhéus",NA,"-39.091111","-14.777222",NA,"Disturbed Southern Bahian moist forest.; Tree, 7 m.; Latex white.","UESC0017002",NA,NA,NA,NA,"Dicotyledoneae","39W5'28''","14S46'38''",NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 12:39:35-03","MNHN","RECOLNAT_MNHN_P","P00716440","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","Reçu le 11 décembre 1901 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00716440' target='other'> <mi>dwc_moreinfo</mi></a>","P00716440","P00716440_01",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"6","2015-09-27 08:54:20-03","MNHN","RECOLNAT_MNHN_P","P00716441","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","Reçu le 3 janvier 1901 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00716441' target='other'> <mi>dwc_moreinfo</mi></a>","P00716441","P00716441_01 P00716441_02",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"7","2020-07-23 12:06:34-03","CEPLAC","CEPEC","68831","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes",NA,"L. Oliveira","W. W. Thomas","10966","1995","05","22",NA,"Brasil","Bahia","ILHÉUS","Mata da Esperança. 2.2Km ao N do Banco da Vitória, na estrada que corre ao oeste da Mata.","-39.091111","-14.777222",NA,NA,NA,NA,NA,NA,NA,NA,"39W5'28","14S46'38",NA,"20/10/2011",NA,NA,NA,NA,NA
"8","2016-08-23 11:12:09-03","NHMLondon","NHM-LONDON-BOT","BM000949929","S","Plantae",NA,NA,NA,"Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.","L. Oliveira","Ludwig Riedel; b.1790; d.1861; Riedel","775","1874",NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,"2012","08",NA,NA,"-53.08982","-10.773109","Holotype",NA,"NHMUK:ecatalogue:2607181",NA,NA,NA,NA
"9","2017-09-11 17:09:47-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.",NA,"Riedel, L","775",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Brasilia meridionali, in silvis umbrosis prope Esperança",NA,NA,NA,NA,NA,"P11P2N0103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:04:34-03","IBt","SP","369818","S","Plantae",NA,NA,"Euphorbiaceae","Ophthalmoblapton","crassipes","Ophthalmoblapton crassipes","Müll.Arg.","Cordeiro, I","Lombardi, JA; Stehmann, JR; Mota, RC; Temponi, LG","5487",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria do Salto","Fazenda Duas Barras","-40.056083","-16.405194",NA,NA,NA,NA,"2011","03",NA,NA,"-40.056083","-16.405194",NA,NA,NA,"776","776",NA,NA
