"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","985086","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.","D. C. Daly","E. T. Neto","2553","1997","09","27","South America","Brazil","Minas Gerais","Braúnas","UHE Porto Estrela.","-42.7156","-19.0558","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985086","NY00985086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2212791","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.",NA,"W. A. Ducke","s.n.","1921","09","28","South America","Brazil","Rio de Janeiro",NA,"Corcovado","-43.21217","-22.954858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355603' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212791","NY02212791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","629423","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.","D. C. Daly","E. P. Heringer","1108","1947","10","18","South America","Brazil","Minas Gerais",NA,"Joaquim Laures",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2212792","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.",NA,"H. C. de Lima","5954","2001","11","16","South America","Brazil","Rio de Janeiro","Nova Iguaçú","REBIO, Tinguá, Estrada do Ouro, Boa Esperança. Estrada p/a represa. Mata do Sopá da encosta.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355604' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212792","NY02212792_01","130","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","52488","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii puberulum","Swart",NA,"F. C. Hoehne","28320","1931","05","10","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico, S. Paulo","-46.618358","-23.646109","sheet","Planta viva, No. 109 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00052488","NY00052488_01",NA,NA,"puberulum","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","629429","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.","O. Handro","M. Kuhlmann","167","1942","12","18","South America","Brazil","São Paulo",NA,"Monte Alegre, Amparo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629429","NY00629429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","629430","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.","F. C. Hoehne","F. C. Hoehne","s.n.","1917","10","02","South America","Brazil","São Paulo","Sao Paulo","Buntantan","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629430","NY00629430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2212800","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.",NA,"G. F. Arbocz","751","1994","09","03","South America","Brazil","São Paulo","Lindóia","Estrada do ferro velho.","-46.65","-22.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355612' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212800","NY02212800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2212799","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.",NA,"W. Hoehne","s.n.","1946","10","30","South America","Brazil","São Paulo",NA,"Caieiras","-46.740798","-23.374672","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355611' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212799","NY02212799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","985085","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.","D. C. Daly","P. L. Krieger","16853","1979","11","18","South America","Brazil","Minas Gerais","São João del Rei",NA,"-44.2617","-21.1358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985085","NY00985085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
