"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","locality","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2020-09-23 10:43:49-03","E","E","164067","PreservedSpecimen","Plantae","Solanaceae","Solanum","violaefolium","Solanum violaefolium","Pott, V.J., Bezarra, A. & Isquierda, S.","536","1988","05","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171564","<a href=http://data.rbge.org.uk/herb/E00164067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","656110","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","repens","Lycianthes repens","P. K. H. Dusén","11315","1911","02","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656110","Magnoliophyta","Solanales","(Spreng.) Bitter","F. A. G. Bitter","Paraná","Prudentópolis","-50.9778","-25.2133","NY00656110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","656109","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","repens","Lycianthes repens","G. G. Hatschbach","21591","1969","05","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656109","Magnoliophyta","Solanales","(Spreng.) Bitter",NA,"Paraná","Cianorte","-52.6047","-23.6633","NY00656109_01","Fda. Agua do Indio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 21:43:00-03","NY","NYBG","911177","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","repens","Lycianthes repens","J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911177","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,"NY00911177_01","Ad Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 15:16:00-03","NY","NYBG","656111","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","repens","Lycianthes repens","L. Riedel",NA,"1820","02",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656111","Magnoliophyta","Solanales",NA,NA,"Bahia","Itacaré","-38.9967","-14.2778","NY00656111_01","Pr. Ytacaré.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","172243","PreservedSpecimen","Plantae","Solanaceae","Solanum","violifolium","Solanum violifolium decadontum","T. Morong","920","1888","02","12","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172243","Magnoliophyta","Solanales","Hassl.",NA,NA,NA,NA,NA,"NY00172243_01","Pilcomayo River","decadontum","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","172244","PreservedSpecimen","Plantae","Solanaceae","Solanum","violifolium","Solanum violifolium decadontum","T. Morong","920","1888","02","12","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172244","Magnoliophyta","Solanales","Hassl.",NA,NA,NA,NA,NA,"NY00172244_01","Pilcomayo River","decadontum","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-05-19 10:30:43-03","UFBA","ALCB","139102","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","repens","Lycianthes repens","Silva, WJ de J; Alunos de Botânica BIOC05","67","2019","12","19","Southern America","Brasil",NA,NA,"reptante. Folhas membranáceas, discolores.Flores axilares, corola creme, estames com anteras amarelas.","ALCB071068","Dicotyledon",NA,"(Spreng.) Bitter","Alunos de Botânica BIOC05","Bahia","Salvador","-38.504444","-13.0575",NA,"Campus Universitário de Ondina .",NA,NA,"2019","12","-38.504444","-13.0575",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:35:25-03","NBC","NL-BOTANY","L.2881347","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","repens","Lycianthes repens","Dusén PKH",NA,"1911","02","06","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2881347",NA,"Solanales","(Spreng.) Bitter",NA,NA,NA,NA,NA,"NL-L2881347","Parana; Prudentapolis, in silvula.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:36:41-03","NBC","NL-BOTANY","U.1750037","PreservedSpecimen","Plantae","Solanaceae","Solanum","violifolium","Solanum violifolium","Sello F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1750037 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1750037",NA,"Solanales","Schott ex Spreng.",NA,NA,NA,NA,NA,"NL-U1750037",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
