"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00102890","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","langsdorffii","caracensis","Paepalanthus langsdorffii caracensis","Moldenke","H. N. Moldenke","isotype","H. S. Irwin","29110","1971","01","25","South America","Brazil","Minas Gerais","Serra do Espinhaço; Sandstone summit of Serra da Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102890","NY00102890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00102890","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","langsdorffii","caracensis","Paepalanthus langsdorffii caracensis","Moldenke","H. N. Moldenke","isotype","H. S. Irwin","29110","1971","01","25","South America","Brazil","Minas Gerais","Serra do Espinhaço; Sandstone summit of Serra da Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102890","NY00102890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:23-03","EAO","IAN","35165","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","langsdorffi",NA,"Paepalanthus langsdorffi","Körn.",NA,NA,"Riedel, L","396",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN035165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:08-02","BGBM","B","B 10 0243948","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","langsdorffii",NA,"Paepalanthus langsdorffii","Körn.",NA,"type","L. Riedel","396",NA,NA,NA,"Middle and South America","Brazil",NA,"Serra Itacolumi.",NA,NA,NA,NA,NA,"Eriocaulon langsdorffii Bong. ined.; Paepalanthus langsdorffi <a href=http://herbarium.bgbm.org/object/B100243948 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243948","B100243948",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-12 10:29:07-03","UFOP","OUPR","34208","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","langsdorffii",NA,"Paepalanthus langsdorffii","(Bong.) Koern.","Pedrosa, L.G.",NA,"Pedrosa, L.G.","1684","2019","06","24",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"Erva, 25cm. Flores não observadas. Mata de encosta.",NA,NA,"2019","06","24","Ouro Preto/ Mariana",NA,NA,NA,NA,NA
"6","2016-05-09 11:36:00-03","MNHN","RECOLNAT_MNHN_P","P00570048","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","langsdorffii",NA,"Paepalanthus langsdorffii","(Bong.) Körn.","Hensold",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,"Serra Itacolumi",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00570048' target='other'> <mi>dwc_moreinfo</mi></a>","P00570048",NA,NA,NA,NA,NA,"306",NA,NA,NA,NA
"7","2015-09-17 17:17:50-03","MNHN","RECOLNAT_MNHN_P","P00570049","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","langsdorffii",NA,"Paepalanthus langsdorffii","(Bong.) Körn.",NA,NA,"Claussen",NA,"1841",NA,NA,NA,"Brésil",NA,"Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00570049' target='other'> <mi>dwc_moreinfo</mi></a>","P00570049","P00570049_01 P00570049_02 P00570049_03 P00570049_04 P00570049_05 P00570049_06 P00570049_07 P00570049_08 P00570049_09 P00570049_10 P00570049_11 P00570049_12 P00570049_13 P00570049_14 P00570049_15 P00570049_16 P00570049_17 P00570049_18 P00570049_19 P00570049_20 P00570049_21 P00570049_22 P00570049_23 P00570049_24 P00570049_25 P00570049_26 P00570049_27 P00570049_28 P00570049_29 P00570049_30 P00570049_31 P00570049_32 P00570049_33 P00570049_34 P00570049_35 P00570049_36 P00570049_37 P00570049_38 P00570049_39 P00570049_40 P00570049_41 P00570049_42 P00570049_43 P00570049_44 P00570049_45 P00570049_46 P00570049_47 P00570049_48 P00570049_49 P00570049_50 P00570049_51 P00570049_52 P00570049_53 P00570049_54",NA,NA,NA,NA,"1838",NA,NA,NA,NA
"8","2020-12-11 11:44:05-03","UFMG","BHCB","62729","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","langsdorffii",NA,"Paepalanthus langsdorffii","(Bong.) Körn.",NA,NA,"Silveira, A","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Serra do Lenheiro.",NA,NA,NA,NA,NA,"Coletada em 1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-10-26 23:35:00-02","MO","MOBOT","3052089","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","langsdorffii",NA,"Paepalanthus langsdorffii","(Bong.) Körn.","N. Hensold",NA,"Ludwig Riedel","Riedel 396",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2709887","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Paepalanthus","langsdorfii","caracensis","Paepalanthus langsdorfii caracensis","Moldenke",NA,"Isotype","H. S. Irwin","29110","1971","1","25","South America - Neotropics","Brazil","Minas Gerais","Serra Doespinhaco.",NA,NA,NA,NA,NA,NA,"US00088361","US00088361_01",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA
