"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","infraspecificEpithet","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2021-04-05 14:25:12-03","UNESC","CRI","1936","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","G. Pedralli","R. Reitz","1983","04","11","Brasil","Santa Catarina","Balneário Camboriú","Taquaras.","-48.635","-26.991111","48º38'6''W","26º59'28''S","CRI002111","CRI002111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","12697","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","Greta Aline Dettke","Alexandre Medeiros","2017","06","10","Brasil","Santa Catarina","Balneário Camboriú","Taquaras.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI010911","CRI010911","2017","06","10","10","10","Flor verde. Coleta 447. Habito: Trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:47-03","E","E","304748","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris",NA,NA,"Cervi, A.C.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"E00304748",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304748 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2529","E. Tropical South America","herbarium specimen of unspecif","BGBASE:314607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01922475","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","R. S. Couto; D. A. do Araújo","W. R. Anderson","1973","04","15","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 10 km by road SW of Rio Jequití and Mendanha on road to Diamantina","-43.56681","-18.16389",NA,NA,"NY01922475","NY01922475_01",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2177039' target='other'> <mi>dwc_moreinfo</mi></a>","8978","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 00:51:00-03","NY","NYBG","00617877","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris",NA,"C. C. Xifreda","A. Maranta","1983","01","24","Argentina","Salta","Rivadavia","Los Blancos, Barrio Mataco","-62.58","-23.6",NA,NA,"NY00617877",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701820' target='other'> <mi>dwc_moreinfo</mi></a>","177","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 17:34:00-03","NY","NYBG","00617876","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris",NA,NA,"B. Øllgaard","1976","08","09","Ecuador","Imbabura",NA,"Road Ibarra-Mariano Acosta, E of the pass","-78","0.33",NA,NA,"NY00617876",NA,NA,NA,NA,"3500","3600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701822' target='other'> <mi>dwc_moreinfo</mi></a>","8588","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01032574","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","R. S. Couto","H. S. Irwin","1965","12","17","Brazil","Distrito Federal","Brasília","Chapada da Contegem, ca. 10 km E. of Brasília","-47.82337","-15.7833",NA,NA,"NY01032574","NY01032574_01",NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201009' target='other'> <mi>dwc_moreinfo</mi></a>","11371","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01016816","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","G. Pedralli","J. M. Silva","1995","08","03","Brazil","Paraná","Morretes","Rod. BR-277, Rio dos Padres.","-48.8342","-25.4769",NA,NA,"NY01016816","NY01016816_01",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193469' target='other'> <mi>dwc_moreinfo</mi></a>","1483","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01032588","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","R. S. Couto","H. S. Irwin","1968","02","07","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2",NA,NA,"NY01032588","NY01032588_01",NA,NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201067' target='other'> <mi>dwc_moreinfo</mi></a>","19545","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01032571","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","campestris","Dioscorea campestris","Griseb.","R. S. Couto","E. P. Heringer","1980","02","29","Brazil","Distrito Federal","Brasília","Bacia do Rio S. Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY01032571","NY01032571_01",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201000' target='other'> <mi>dwc_moreinfo</mi></a>","3591","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
