"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","25344","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.","possible type","B. A. Krukoff","5686","1933","08","29","South America","Brazil","Acre","Sena Madureira","Near mouth of rio Macauhan (tributary of Rio Yaco)","-69","-9.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025344","NY00025344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","25343","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.","possible type","B. A. Krukoff","5686","1933","08","29","South America","Brazil","Acre","Sena Madureira","Near mouth of rio Macauhan (tributary of Rio Yaco)","-69","-9.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025343","NY00025343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:45:22-03","EAO","IAN","78448","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Fróes, RL","28863","1952","10","04","Southern America","Brasil","Amazonas",NA,"Uaupés, No declive da ladeira.",NA,NA,NA,"Árvore de 3m de altura, com látex.","IAN078448",NA,"Berg, CC","2001","03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:24:21-03","NBC","NL-BOTANY","U 0004694","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.","isotype","Krukoff BA",NA,"1933","08","29","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004694","NL-U0004694","Loo RP van","1950","10","01","Magnoliopsidae","-69.0","-9.333333","78149 B",NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:24:21-03","NBC","NL-BOTANY","U.1435273","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Plowman TC",NA,"1977","04","05","Southern America","Peru","Loreto",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1435273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1435273","NL-U1435273","Vázquez Avila MD",NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0024735",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:24:21-03","NBC","NL-BOTANY","U.1435274","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Tunqui S",NA,"1979","11","22","Southern America","Peru","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1435274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1435274","NL-U1435274","Vázquez Avila MD",NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0024736",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:24:21-03","NBC","NL-BOTANY","WAG.1109255","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Croat TB",NA,"1972","08","12","Southern America","Peru","Loreto",NA,"along road to Santo Tomas S of Iquitos.","-73.333333","-3.8",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1109255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1109255","NL-WAG1109255","Berg CC","2009","11","24","Magnoliopsidae","-73.333333","-3.8","WAG0404707",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:24:21-03","NBC","NL-BOTANY","U 0004695","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Krukoff BA",NA,"1933","08","29","Southern America","Brazil","Acre",NA,"Basin of Rio PurusTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"on terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004695 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004695",NA,"Loo RP van","1950","10","01","Magnoliopsidae","-69.0","-9.333333","20123",NA,NA,NA,NA,NA,NA
"9","2021-01-17 13:47:26-03","MN","R","216206","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Santos, M.R. 206; Rosa, N.A.",NA,"1977","05","31",NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,"Carauta, J.P.P.","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:35:59-03","MBM","MBM","35248","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standley",NA,"Croat, T.B.","19108",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,NA,"MBM035248","MBM035248","Berg, C.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-09-05 11:44:02-03","MNHN","RECOLNAT_MNHN_P","P06753439","PreservedSpecimen",NA,NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Croat, T.B.",NA,"1972","8","12",NA,"Peru",NA,NA,"Peru, Department of Loreto, along road to Santo Tomas S of Iquitos. Peru",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06753439' target='other'> <mi>dwc_moreinfo</mi></a>","P06753439","P06753439_01",NA,NA,NA,NA,NA,NA,NA,NA,"19108",NA,NA,NA,NA,NA
"12","2015-09-05 11:44:02-03","MNHN","RECOLNAT_MNHN_P","P06753440","PreservedSpecimen",NA,NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Spruce, R.",NA,"1852","7","1",NA,"Brésil",NA,NA,"San Gabriel",NA,NA,"hb",". VII/1852. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06753440' target='other'> <mi>dwc_moreinfo</mi></a>","P06753440","P06753440_01",NA,NA,NA,NA,NA,NA,NA,NA,"2390",NA,NA,NA,NA,NA
