"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:44:29-03","E","E","502178","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula","isolectotype","Dusén, P.","144","1902","05","19","E. Tropical South America","BR","Serra do Italiaia in paludosis","herbarium specimen of unspecif","BGBASE:547588","<a href=http://data.rbge.org.uk/herb/E00502178 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00502178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:29-03","E","E","293797","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula",NA,"Laessoe, T. & Silva, T.",NA,"1992","03","19","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:308564","<a href=http://data.rbge.org.uk/herb/E00293797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","22658","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula itatiayensis","isotype","P. K. H. Dusén","144","1902","05","19","South America","Brazil","Itatiaya, Serra da Pedra.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022658","Magnoliophyta","Poales","itatiayensis","Malme","Minas Gerais","2300","2300","NY00022658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872715","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula",NA,"M. das G. L. Wanderley","CFSC10983","1988","03","26","South America","Brazil","Antigo km 133. Fazenda Falacio. Conceição do Mato Dentro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872715","Magnoliophyta","Poales",NA,"L.A.Nilsson","Minas Gerais",NA,NA,"NY00872715_01","R. Kral","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","684934","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula",NA,"R. M. Harley","52572","1992","03","19","South America","Brazil","Encosta da Serra do rei.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684934","Magnoliophyta","Poales",NA,"L.A.Nilsson","Bahia","1500","1700","NY00684934_01","M. das G. L. Wanderley","Abaíra","-41.9","-13.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684927","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula",NA,"R. M. Harley","52590","1992","03","20","South America","Brazil","Encosta da Serra do Rei.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684927","Magnoliophyta","Poales",NA,"L.A.Nilsson","Bahia","1600","1800","NY00684927_01","M. das G. L. Wanderley","Abaíra","-41.9","-13.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","872714","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula",NA,"H. S. Irwin","28907","1971","01","23","South America","Brazil","Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 10 km W. of Barão de Cocais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872714","Magnoliophyta","Poales",NA,"L.A.Nilsson","Minas Gerais","1400","1400","NY00872714_01","L. B. Smith",NA,"-43.4927778","-20.1263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","643880","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula",NA,"R. M. Harley","52572","1992","03","19","South America","Brazil","Encosta da Serra do Rei","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00643880","Magnoliophyta","Poales",NA,"L.A.Nilsson","Bahia","1500","1700","NY00643880_01","M. das G. L. Wanderley","Abaíra","-41.9","-13.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","872505","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula itatiayensis",NA,"G. Eiten","6892","1965","11","25","South America","Brazil","Serra do Cipó. Along road at km 121.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872505","Magnoliophyta","Poales","itatiayensis","Malme","Minas Gerais","1200","1200","NY00872505_01","M. das G. L. Wanderley","Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","643875","PreservedSpecimen","Plantae","Xyridaceae","Xyris","obtusiuscula","Xyris obtusiuscula itatiayensis",NA,"R. M. Harley","50849","1992","01","28","South America","Brazil","Riacho da Taquara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00643875","Magnoliophyta","Poales","itatiayensis","Malme","Bahia","1800","1800","NY00643875_01","M. das G. L. Wanderley","Abaíra","-41.92","-13.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
