"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","locality","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","maximumElevationInMeters","minimumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:35:42-03","E","E","180480","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","germinans","Avicennia germinans","Ponce, S.","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:192049","<a href=http://data.rbge.org.uk/herb/E00180480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:42-03","E","E","180479","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","germinans","Avicennia germinans","Susana Ponce","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:173103","<a href=http://data.rbge.org.uk/herb/E00180479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180479","2002","02","04","A 10 m del Puesto de Control El Algarrobo. Provinicia Zarumilla. Departamento Tumbes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00955662","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica martii","R. de Lemos Fróes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955662","1932","08","16","Maracassumé River region, Praia do Murcego.","Magnoliophyta","Lamiales","martii","Moldenke","H. N. Moldenke","1818","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","542270","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica","J. Vasconcelos Sobrinho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542270","1937","07",NA,"Recife","Magnoliophyta","Lamiales",NA,"Holm","H. N. Moldenke","287","Pernambuco","Recife","-34.931635","-8.045763","NY00542270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","542274","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica","J. S. Blanchet","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542274","1832",NA,NA,NA,"Magnoliophyta","Lamiales",NA,"Holm","H. N. Moldenke","s.n.","Bahia",NA,"-39.039072","-15.159747","NY00542274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","542272","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica","G. Gardner","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542272","1836",NA,NA,"Brasilia","Magnoliophyta","Lamiales",NA,"Holm","H. N. Moldenke","1101",NA,NA,NA,NA,"NY00542272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","542271","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica","J. Vasconcelos Sobrinho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542271","1937","07",NA,"Recife","Magnoliophyta","Lamiales",NA,"Holm","H. N. Moldenke","287","Pernambuco","Recife","-34.931635","-8.045763","NY00542271_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","542275","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica","J. Vasconcelos Sobrinho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542275","1937","07",NA,"Recife","Magnoliophyta","Lamiales",NA,"Holm","H. N. Moldenke","287","Pernambuco","Recife","-34.931635","-8.045763","NY00542275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","542273","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica","G. Gardner","South America","Brazil","sheet",NA,"III <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542273","1837",NA,NA,NA,"Magnoliophyta","Lamiales",NA,"Holm","H. N. Moldenke","s.n.","Pernambuco",NA,NA,NA,"NY00542273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00955663","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","elliptica","Avicennia elliptica martii","A. Duke","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955663","1903","09","18","Sao Luiz do Maranhao.","Magnoliophyta","Lamiales","martii","Moldenke","H. N. Moldenke","s.n.","Maranhão","São Luís","-44.3028","-2.5297","NY00955663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
