"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","individualCount","geoFlag","minimumElevationInMeters","class","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","391181","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler, Ebinger & P.G.Ribeiro","Schott","1446","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391181","NY00391181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","391177","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler, Ebinger & P.G.Ribeiro","G. G. Hatschbach","13247","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391177","NY00391177_01","1965","12","07","Maringá","Orto Florestal","-51.9383","-23.4256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-08-01 20:36:00-03","MO","MOBOT","2879111","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler, Ebinger & P.G. Ribeiro","Gert G. Hatschbach|Luisa Z. Ahumada","Hatschbach 31392","South America","Brazil","Minas Gerais",NA,NA,NA,NA,"1973","2","9","Manhumirim","Manhumirim.","-41.9580993652344","-20.3577995300293","fide Seigler et al., (Typus)","14432","1","auto",NA,NA,NA,NA,NA,NA,NA
"4","2014-08-01 20:42:00-03","MO","MOBOT","100730203","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler, Ebinger & P.G. Ribeiro","Per Dusén","Dusén 16963","South America","Brazil","Paraná",NA,NA,NA,NA,"1915","4","1",NA,"Jaguariaiva.","-49.6441666","-24.1113889","fide Seigler et al.",NA,"1",NA,"740.00000000",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2563649","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler et al.","G. Hatschbach","13247","South America","Brazil","Paraná",NA,NA,"US02200692","US02200692_01","1965","12","7",NA,"Mun. Maringa, Orto Florestal",NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2561439","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler et al.","L. Smith & R. M. Klein","14887","South America","Brazil","Paraná",NA,NA,"US02200693","US02200693_01","1965","1","20",NA,"Mun. Ponta Grossa: base of sandstone cliffs, Vila Velha","-50.33","-25.22",NA,NA,"1",NA,"800","Dicotyledonae","920",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1280194","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler et al.","P. K. Dusén","7956","South America","Brazil","Paraná",NA,NA,"US02200694","US02200694_01","1909","4","14",NA,"Capão Grande",NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA
"8","2020-05-08 11:11:07-03","UEFS","HUEFS","239133","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler,Ebinger & P. G. Ribeiro","Cardoso, D.","3755",NA,"Brasil","Minas Gerais",NA,NA,"HUEFS0239133",NA,"2015","03","10","Leme do Prado","Distrito de Acauã, estrada em direção a Posses.","-42.777778","-17.121944",NA,NA,NA,NA,"820","Rosanae","820","42W46'40''","17S7'19''",NA,NA
"9","2020-05-08 11:11:07-03","UEFS","HUEFS","75652","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler,Ebinger & P. G. Ribeiro","Pavão, O.C.","FUEL26475",NA,"Brasil","Paraná",NA,NA,"HUEFS0075652",NA,"1998","11","06","Ortigueira","Bazilio - Km 367.","-50.9494018554688","-24.2082996368408","D.S.Seigler & P.G.Ribeiro","46016",NA,"auto",NA,"Rosanae",NA,NA,NA,"2018","02"
"10","2019-05-06 11:57:57-03","UFU","HUFU","76402","S","Plantae",NA,NA,"Fabaceae","Senegalia","hatschbachii","Senegalia hatschbachii","Seigler, Ebinger & Ribeiro","Quinet, A.","19/76",NA,"Brasil","Rio de Janeiro",NA,"Liana, comum no local, folhas verde discolor, flor com cálice verde e antera amarelas.; Mata de encosta sobre solo argiloso/arenoso, luminosidade intensa.","HUFU00074179","HUFU00074179","2001","03","03","Magé","Distrito de Piabetá, Estrada do Matão.","-43.125","-22.571667","Seigler, D.S.",NA,NA,NA,"300",NA,"300","-43.125","-22.571667","2018",NA
