"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","imagecode","continentOcean","individualCount","phylum"
"1","2020-11-13 09:20:27-03","UFRJ","RFA","9542","PreservedSpecimen","Plantae","Orchidaceae","Centrogenium","schlechterianum","Centrogenium schlechterianum","Porto & Brade","G.F.J. Pabst","1970","G.G. Hatschbach; O. Guimarães","19123","1968","04","23","Brasil","Paraná","Guaíra","Sete Quedas","-54.2557983398438","-24.0799999237061","33984","200","200","Terrícola, flor alva, folhas com salpicos espaços brancos.","RFA31564","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-07 17:49:54-03","FPS","FPS","1004","MachineObservation","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","Caetano, J.","2015","Schwirkowski, P.","1270","2015","11","10","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Trilha do Castelo dos Bugres","-49.054899","-26.224838",NA,NA,NA,NA,"FPS01004,FURB49338",NA,"11","27","-49.054899","-26.224838","voucher","FURB 49338","FPS01004_v01 FPS01004_v02 FPS01004_v03 FPS01004_v04 FPS01004_v05 FURB49338",NA,NA,NA
"3","2019-08-16 08:40:23-03","UTFPR","HCF","19878","S","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","G.A. Dettke","2016","M.G. Caxambu","7411","2016","04","22","Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, trilha do","-54.388972","-25.595111",NA,"188","188","erva terrestre, ca. 0,60 m, ripária, ciófila. Flores com cálice marrom e corola alva. Vegetação ciliar do Rio Iguaçu.",NA,NA,"05","28","54°23'20,3 W","25°35'42,4 S",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:23-03","MBM","MBM","405270","PreservedSpecimen","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","Lozano, E.D.","2015","Lozano, E.D.; Hase, L.; Hase, L.","958","2012","05","19","Brazil","Mato Grosso do Sul","Corumbá","Fazenda Santa Amalia","-57.6533012390137","-19.0091991424561","295160",NA,NA,"Herbácea, rupícola, 30 cm, flores verdes, interior da mata em fundo de vale.","MBM405270","auto",NA,NA,NA,NA,NA,NA,"MBM405270","Southern America",NA,NA
"5","2021-02-11 17:20:55-03","UFPR","UPCB","8141","PreservedSpecimen","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","Vieira, T.L.","2014","Hatschbach, G.","19123","1968","04","23","Brasil","Paraná","Guaíra","Sete Quedas","-54.2557983398438","-24.0799999237061","33984","200","200","Terrícola, flor alva, folhas com salpicos e espaços brancos. Mata pluvial, sombria, terreno algo úmido..",NA,"auto","05","14",NA,NA,NA,NA,NA,NA,NA,NA
"6","2013-01-28 05:13:00-02","MO","MOBOT","100245767","PreservedSpecimen","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","A. Johnson",NA,"Andres E. Johnson","Johnson 0386","1993","6","25","Argentina","Misiones","Iguazú","P.N. Iguazú, Camino a Pto. Canoas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1",NA
"7","2013-12-05 15:53:00-02","MO","MOBOT","100245783","PreservedSpecimen","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","A.E. Johnson",NA,"Andres E. Johnson","Johnson 536","1994",NA,NA,"Argentina","Misiones","Iguazú","P.N. Iguazú, Is. Paseos Sup. Flowering date: 20 Apr 1995. Fl. loc.: Pt. Bemberg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1",NA
"8","2013-12-05 15:55:00-02","MO","MOBOT","100658098","PreservedSpecimen","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","G. Carnevali",NA,"Gert G. Hatschbach|O. V. Guimarães","Hatschbach 19123","1968","4","23","Brazil","Paraíba",NA,"Mun. Guaíra. Sete Quedas.",NA,NA,NA,"200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1",NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","2411866","PreservedSpecimen","Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","Correa, M. N.",NA,"Maevia N. Correa|et al.","Correa 5965",NA,NA,NA,"Argentina","Misiones","San Ignacio","Teyúcuaré","-55.58333","-27.28333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"10","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","25178",NA,"Plantae","Orchidaceae","Eltroplectris","schlechteriana","Eltroplectris schlechteriana","(Porto & Brade) Pabst","C.R. Buzatto/Março-2014",NA,"A. P. Fontana; et al","119","2001","04","28","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556",NA,NA,NA,"Terrestre, folhas verdes escuras c/ parte abaxial verde claro brilhante, bráctea da inflorescência avermelhada.","MBML025178",NA,NA,NA,"40W40'53","19S48'20",NA,NA,"MBML025178",NA,NA,NA
