"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2003","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Zygopetalum","maculatum","Zygopetalum maculatum","(Kunth) Garay","Leda Martins;","Brasil","Minas Gerais","Brumadinho","Retiro das Pedras","-44.1996994018555","-20.1432991027832","26639","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2163","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Zygopetalum","maculatum","Zygopetalum maculatum","(Kunth) Garay","Paulo Eduardo C. Rocha;","Brasil","Minas Gerais","Barão de Cocais","Mina de Brucutu - CVRD","-43.4872016906738","-19.94580078125","21378","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910922","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","brachypetalum","Zygopetalum brachypetalum","Lindl.","H. S. Irwin","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989315' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19840","1968","02","11","South America","1750","1750","sheet","NY00910922","NY00910922_01 NY00910922_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625805","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","H. S. Irwin","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Summit of Serra da Piedade, ca 35km E of Belo Horizonte, near BR-31.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185153' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30658","1971","01","18","South America","2000","2000","sheet","NY00625805","NY00625805_01","G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625812","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","J. G. Jardim","Brazil","Bahia","Rio de Contas","Pico das Almas. Ca. 25km a W da cidade.","-41.95","-13.52",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185155' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"779","1996","03","23","South America",NA,NA,"sheet","NY00625812","NY00625812_01","G. A. Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625809","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","P. K. H. Dusén","Brazil","Paraná","Paranaguá",NA,"-48.5092","-25.5203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185147' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10224","1910","08","14","South America",NA,NA,"sheet","NY00625809","NY00625809_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","625810","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","P. K. H. Dusén","Brazil","Paraná",NA,"Jacareí",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185148' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"15347","1914","08","09","South America",NA,NA,"sheet","NY00625810","NY00625810_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","625807","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","F. C. Hoehne","Brazil","São Paulo",NA,"Alto da Serra. Estaçao Biologica.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185154' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2385","1918","08","27","South America",NA,NA,"sheet","NY00625807","NY00625807_01","F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","625811","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","R. M. Harley","Brazil","Bahia",NA,"Serra do Sincorá. NW face of Serra de Ouro, to the East of the Barra da Estiva-Ituaçú road, about 9km S of Barra da Estiva.","-41.27","-13.7",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185156' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20915","1980","03","24","South America","1300","1500","sheet","NY00625811","NY00625811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","625804","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Zygopetalum","mackaii","Zygopetalum mackaii","Hook.","H. S. Irwin","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Summit of Serra da Piedade, ca 35km E of Belo Horizonte, near BR-31.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185152' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30658","1971","01","18","South America","2000","2000","sheet","NY00625804","NY00625804_01","G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
