"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","663793","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","H. P. Bautista","S. A. Mori","13311","1980","02","29","South America","Brazil","Bahia","Palmeiras","Pai Inacio. BR 242, km 232 cerca de 15 km ao NE de Palmeiras","-41.5589","-12.5292","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663793","NY00663793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","663794","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","H. E. Robinson","S. A. Mori","14374","1981","06","12","South America","Brazil","Bahia","Palmeiras","Pai Inaçio, BR 242 W of Lençois at km 232","-41.5589","-12.5292",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663794","NY00663794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","663792","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","C. Jeffrey","R. M. Harley","22386","1980","05","22","South America","Brazil","Bahia","Lençóis","Serra dos Lençois. Serra do brejao ca. 14 km. N.W. of Lençois. E6","-41.45","-12.45","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663792","NY00663792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","585835","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","H. E. Robinson","A. M. Amorim","2128","1998","01","25","South America","Brazil","Bahia","Palmeiras","Morro do pai Inácio. Coletas efetuadas nos afloramentos próximos à torre de transmissao","-41.5589","-12.5292",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585835","NY00585835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","158118","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Ageratum","connatifolium","Ageratum connatifolium","Soar.Nunes",NA,"S. A. Mori","13221","1979","12","24","South America","Brazil","Bahia",NA,"Município de Palmeiras. Pai Inácio. BR 242, Km. 232, a cerca de 15 km. ao NE de Palmeiras",NA,NA,"1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158118","NY00158118_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:09:39-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Bautista, HP; Roque, N","Conceição, AA","737","2000","01","25","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro da Mãe Inácio","-41.55","-12.516667",NA,NA,NA,"ca. 80 cm alt., com coloração verde-azulada. Planta pegajosa. Brácteas verdes. Flores rosas.",NA,NA,NA,"2002","06","-41.55","-12.516667",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:09:39-03","UFBA","ALCB","04503","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Noblick, LR","Noblick, LR","1381","1979","06","29","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Vale da Cachoeira do Glass. Rio Capivara","-41.383333","-12.55",NA,NA,NA,"Flores rosas. Planta de 1,5m.",NA,NA,NA,"1983","10","-41.383333","-12.55",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:09:39-03","UFBA","ALCB","033916","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Hind, DJN","Hind, DJN; Bautista, HP; Giulietti, AM; Harley, RM; Smith, S","PCD&nf;3525","1996","07","11","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.45","-12.466667",NA,NA,NA,"até 1,5 m; copa com 1 m diâmetro, caule pubescente, verde-amarelado-acinzentado. Folhas viscosas, concolores. Inflorescência com filárias verde-acinzentadas, botões rosas passando a brancos, flores brancas a liláses; estilete branco. Frequente.",NA,NA,NA,"1996","07","-41.45","-12.466667",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:09:39-03","UFBA","ALCB","048825","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Bautista, HP","Guedes, ML; Orlandi, RP; Stradmann, MTS; Poveda, A","PCD598","1994","08","30","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio, lado oposto da torre de repetição","-41.472222","-12.45","1090","1090",NA,"folhas simples. Inflorescência em capítulos. frutos do tipo aquênio. Ocasional.; Vegetação rupícola em terreno plano. Afloramento rochoso de arenito.",NA,NA,NA,"1999","05","-41.472222","-12.45","20",NA,NA,NA,NA,NA
"10","2019-10-09 11:09:39-03","UFBA","ALCB","048826","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Bautista, HP","Melo, E; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1262","1994","11","23","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.452778","-12.456667","1000","1000",NA,"1,50 m. Folhas simples, discolores, pegajosas. Inflorescência com brácteas involucrais verdes, capítulos com flores liláses, estigma branco. Ocasional.; Vegetação de campo rupestre. Afloramento rochoso.",NA,NA,NA,"1999","05","-41.452778","-12.456667","20",NA,NA,NA,NA,NA
