"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","class","order","individualCount","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","coordinatePrecision","geoFlag","fieldNumber","infraspecificEpithet","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:44-03","UNESC","CRI","13796","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams","Alexandre Medeiros","2018","02","04","Alexandre Medeiros","2018","02","04","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Coleta 1042. Flores brancas. Habito: Epífita","CRI012406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2181","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Equisetopsida","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4284","S","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans",NA,"Carlos Alberto Ferreira Júnior","2018","01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625718","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","K. S. Walter",NA,NA,NA,"O. Handro","1975","05","10","Brazil","São Paulo",NA,"Paranapiacaba, (linha Sao Paulo-Santos) Estaçao Biológica.","-46.3","-23.75",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625718","Magnoliophyta",NA,"Asparagales",NA,"2274","South America","900","900","sheet","NY00625718_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625721","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","K. S. Walter",NA,NA,NA,"G. G. Hatschbach","1968","02","26","Brazil","Paraná","Guaratuba","Rio S. Joao, Porto Miranda.","-48.5744","-25.8831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625721","Magnoliophyta",NA,"Asparagales",NA,"18636","South America",NA,NA,"sheet","NY00625721_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625719","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","K. S. Walter",NA,NA,NA,"R. Reitz","1959","03","14","Brazil","Rio Grande do Sul",NA,"Salto do Pilao, Lontras.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625719","Magnoliophyta",NA,"Asparagales",NA,"8.638","South America","350","350","sheet","NY00625719_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","776809","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","M. Borgo",NA,NA,NA,"M. Borgo","2001","03","06","Brazil","Paraná","Curitiba","Bosque Municipal Reinhard Maack, bairro Hauer","-49.22","-25.27",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776809","Magnoliophyta",NA,"Asparagales",NA,"973","South America",NA,NA,"sheet","NY00776809_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","625717","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","K. S. Walter",NA,NA,NA,"P. K. H. Dusén","1910","03","08","Brazil","Paraná",NA,"Capao La Restinga Secca. Cult. in Langes Sammlung.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625717","Magnoliophyta",NA,"Asparagales",NA,"s.n.","South America",NA,NA,"sheet","NY00625717_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","625720","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","K. S. Walter",NA,NA,NA,"A. Gehrt","1922","03","04","Brazil","São Paulo",NA,"Pirajussára.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625720","Magnoliophyta",NA,"Asparagales",NA,"7593","South America",NA,NA,"sheet","NY00625720_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","625722","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.","E. A. Christenson",NA,NA,NA,"R. Reitz","1956","02","16","Brazil","Santa Catarina","Itajaí","Luis Alves.","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625722","Magnoliophyta",NA,"Asparagales",NA,"2675","South America","200","200","sheet","NY00625722_01",NA,NA,NA,NA,NA,NA,NA
