"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","identifiedBy","yearIdentified","month","day","stateProvince","class","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","387819","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","possible type","M. Weddell","2320","South America","Brazil","Rio Tocantins.","-47.4832079","-7.3428216","sheet","Herb. Mus. Paris <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387819","NY00387819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","387820","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","possible type","M. Weddell","2320","South America","Brazil","Bords du Rio Tocantins.","-47.4832079","-7.3428216","sheet","Herb. Mus. Paris <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387820","NY00387820_01","1844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","387818","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","possible type","M. Weddell","2320","South America","Brazil","In [sp?] fluminis Tocantins.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387818","NY00387818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:46:56-03","EAO","IAN","150345","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Podostemaceae","Mourera","wedelliana","Mourera wedelliana","Tul.",NA,"Cordeiro, MR","681","Southern America","Brasil","Sub-base do projeto RADAM SC-20-XD, ponto 22, margem do rio Preto, próximo da cachoeira.",NA,NA,NA,"Planta sobre pedra na corredeira da cachoeira.","IAN150345",NA,"1975","Tavares, AS","1999","08","30","Rondônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:46:56-03","EAO","IAN","50298","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Podostemaceae","Mourera","wedelliana","Mourera wedelliana","Tul.",NA,"Pires, JM; Black, GA","1717","Southern America","Brasil","Santo Antônio do Maranhão, perto da cachoeira da serra Quebrada.",NA,NA,NA,"Erva, em pedras; flor pink, (encarnada-clara).","IAN050298",NA,"1949","Tavares, AS","1999","08","04","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0204579","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","type","Weddell HA",NA,"Southern America","Brazil","Gran Para Tocantin River",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200204579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0204579","NL-L0204579",NA,"Philbrick CT","2003",NA,NA,"Pará","Magnoliopsidae","07","15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:33:07-03","MN","R","211344","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Bove, C.P.; Costa, W. & Costa, B.B.","2297",NA,"Brasil",NA,"-47.485167","-11.017639",NA,NA,NA,NA,"2011",NA,NA,"07","20","Tocantins",NA,NA,NA,"Pindorama do Tocantins","47°29'6,6W","11°1'3,5S",NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:33:07-03","MN","R","217183","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Bove, C.P.; Philbrick, C.T. & Katz, A.","2369",NA,"Brasil",NA,"-47.485858","-11.018078",NA,NA,NA,NA,"2013",NA,NA,"07","04","Tocantins",NA,NA,NA,"Pindorama do Tocantins","47°29'9,09W","11°1'5,08S","324","324",NA,NA,NA,NA
"9","2021-01-14 15:33:07-03","MN","R","62575","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Netto, A.","70",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"1883",NA,NA,NA,NA,"Piauí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:33:07-03","MN","R","62588","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Freire Allemão, F.",NA,NA,"Brasil",NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010052953","R010052953_001",NA,NA,NA,NA,NA,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-06 09:57:08-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Rapallo, J.A.","s.n.",NA,"Brasil",NA,"-50.5435981750488","-18.9911003112793",NA,"Erva, flores avermelhadas. Aderente a rochas nas corredeiras",NA,NA,"1976","Badini, J.","1976","04","07","Goiás",NA,"09","10","São Simão",NA,NA,NA,NA,"18770","auto",NA,NA
"12","2019-11-06 09:57:08-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Badini, J.","s.n.",NA,"Brasil",NA,"-50.5435981750488","-18.9911003112793",NA,"Ex Herb. Escola de Minas n. 4849",NA,NA,"1976","Badini, J.","1976","09","14","Goiás",NA,"09","14","São Simão",NA,NA,NA,NA,"18770","auto",NA,NA
"13","2020-12-21 16:41:08-03","MBM","MBM","393539","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Larcher, L.","s.n.","Southern America","Brazil","Rio Teles Pires","-55.335194","-11.044083",NA,"Rochas expostas.","MBM393539","MBM393539","2014","Ribas, O.S.","2014","07","30","Mato Grosso",NA,"12","01","Colíder","-55.335194","-11.044083","90","90",NA,NA,NA,NA
"14","2020-12-21 16:41:08-03","MBM","MBM","393539","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Larcher, L.","s.n.","Southern America","Brazil","Rio Teles Pires","-55.335194","-11.044083",NA,"Rochas expostas.","MBM393539","MBM393539","2014","Ribas, O.S.","2014","07","30","Mato Grosso",NA,"12","01","Colíder","-55.335194","-11.044083","90","90",NA,NA,NA,NA
