"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","565366","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","F. E. Wimmer","P. K. H. Dusén","15602","1914","10","08","South America","Brazil","Paraná","Contenda","Serrinha","-49.5344","-25.6758","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565366","NY00565366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565369","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","G. G. Hatschbach","R. Kummrow","973","1975","11","03","South America","Brazil","Paraná","Palmeira","Rod. do Café, Rio Tibagi","-49.891776","-25.299294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565369","NY00565369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1006439","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","G. G. Hatschbach","G. G. Hatschbach","43846","1981","04","12","South America","Brazil","Goiás","Cristalina","5 km O","-47.6133","-16.7686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112210' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006439","NY01006439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565368","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","G. G. Hatschbach","G. G. Hatschbach","35463","1974","11","13","South America","Brazil","Paraná","Jaguariaíva","Fda. Samambaía","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565368","NY00565368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017618","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","G. G. Hatschbach","A. C. Cervi","3016","1989","09","09","South America","Brazil","Paraná","Ponta Grossa","Rio São Jorge.","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217764' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017618","NY01017618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565370","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","R. McVaugh","H. S. Irwin","5195","1964","08","16","South America","Brazil","Distrito Federal","Distrito Federal","Chapada da Contagem, ca. 20 km E of Brasília",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565370","NY00565370_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565367","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","F. E. Wimmer","P. K. H. Dusén","6950","1908","10","22","South America","Brazil","Paraná","Contenda","Serrinha","-49.5344","-25.6758","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565367","NY00565367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1006440","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","J. L. Luteyn","H. S. Irwin","8468","1965","09","19","South America","Brazil","Distrito Federal","Brasília","Chapada do Contagem, ca. 30 km N.E. of Brasília","-47.71872","-15.5916","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112213' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006440","NY01006440_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1006441","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) Don","R. McVaugh","H. S. Irwin","11510","1966","01","09","South America","Brazil","Distrito Federal","Brasília","Córrego Paranoazinho, near Sobradinho.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006441","NY01006441_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:47:14-03","NBC","NL-BOTANY","L.3000570","PreservedSpecimen","Plantae",NA,"Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don",NA,"Hatschbach GG",NA,"1968","10","10","Southern America","Brazil",NA,NA,"Est Parana (Brasil) Mun Arapoti, Rio das Cinzas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3000570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3000570","NL-L3000570",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:47:14-03","NBC","NL-BOTANY","L.3000571","PreservedSpecimen","Plantae",NA,"Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don",NA,"Hatschbach GG; Fontella Pereira J",NA,"1967","11","05","Southern America","Brazil",NA,NA,"Est. Paraná (Brasil) Mun Palmeira, Fda, Sta. Amélia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3000571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3000571","NL-L3000571",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:04:28-03","ESALQ","ESA","40681","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G. Don.",NA,"Torezan, J.M.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","526.0","1997","12","11",NA,"Brasil","São Paulo","Bom Sucesso de Itararé","Descida da Serra, 10 Km de Bom Sucesso. Floresta Estacional Transição Montana-Submontana. Beira de estrada","-490.939","-241.628",NA,"Erva do solo, 0, 5m de alt.; caule avermelhado, flores com corola vermelha e extremidade esverdeada no início da antese, com látex","ESA040681","ESA040681",NA,NA,NA,"-490,939","-241,628",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:04:28-03","ESALQ","ESA","93990","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don","Souza, V.C.","Souza, V.C.; Romão, G.O.; Rodrigues, C.D.N.; Dantas, A.P.T.","32036.0","2006","02","15",NA,"Brasil","Paraná","Palmeira","Rodovia do Café (BR 376) , km 552, 55 km de Ponta Grossa. Próximo ao Rio dos Papagaios. Campo geral.","-50.0064010620117","-25.4293994903564",NA,"Erva, ca. 30 cm alt.; corola vermelho-alaranjada com fauce amarela. Local alagável.","ESA093990","ESA093990",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:04:28-03","ESALQ","ESA","86309","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D.Don","Hatschbach, G.","Silva, J.M.","3787.0","2003","10","28",NA,"Brasil","Paraná","Palmeira",NA,"-50.0064010620117","-25.4293994903564",NA,NA,"ESA086309","ESA086309",NA,NA,NA,NA,NA,"35166","auto","2003","01","01",NA,NA,NA
"15","2020-11-04 11:04:28-03","ESALQ","ESA","62900","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G. Don.","Godoy, S.A.P.","Francisco, I.A. et al.","44.0","1994","10","08",NA,"Brasil","Paraná","Tibagi",NA,"-50.4136009216309","-24.5093994140625",NA,NA,"ESA062900","ESA062900",NA,NA,NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:04:28-03","ESALQ","ESA","8954","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G. Don.","Godoy, S.A.P.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1989","09","24",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA008954","ESA008954",NA,NA,NA,NA,NA,"27729","auto","2003","01","01",NA,NA,NA
"17","2020-11-04 11:04:28-03","ESALQ","ESA","16667","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G. Don.","Godoy, S.A.P.","Souza, V.C. et al.","4001.0","1993","04","21",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA016667","ESA016667",NA,NA,NA,NA,NA,"27729","auto","2003","01","01",NA,NA,NA
"18","2015-07-02 14:01:21-03","JBP","HPL","8045","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides",NA,"R. Tsuji","H. Lorenzi","3228","2002","03","11",NA,"Brasil","SP","Salesópolis","Coletado na beira da estrada da Petrobrás (km 39); na descida da serra.","-45.84","-23.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18032","auto","2004","05","25",NA,NA,NA
"19","2019-08-27 13:28:13-03","IAP","PACA-AGP","36914","PreservedSpecimen","Plantae","Magnoliophyta","Campanulales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G. Don","Emrich-Rambo","Hatschbach, G.",NA,"1948","01","06",NA,"Brasil","PR","Palmeira das Missões","Rio das Pombas",NA,NA,NA,"Habitat: ad rivum in dumetosis Fenofase: flor","PACA036914",NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:16:31-03","UFV","VIC","10271","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G. Don","Hatschbach, G.","Soares, A.A.","s.n.","1987","12","15",NA,"Brasil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"VIC010271","VIC010271",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"21","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0037990","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don",NA,"J. M. Silva; J. Cordiero, C.B. Poliquesi","6071","2007","10","4",NA,"Brazil","Parana",NA,"Cachoeira de Mariquinha (Mun. Ponta Grossa).","-50.15","-25.0833",NA,"Ereta, flor vermelha, apice amarelo. Margem arenosa do rio encachoeirado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:33:09-03","UFJF","CESJ","43806","PreservedSpecimen","Plantae","Angiosperma",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D.Don","G. Hatschbach","J.M. Silva; et al.","3787","2003","10","28","América do Sul","Brasil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"Flor avermelhada. Beira do rio.","CESJ043806",NA,NA,NA,NA,NA,NA,"35166","auto","2003",NA,NA,NA,NA,NA
"23","2021-04-07 11:42:06-03","UFMS","CGMS","76520","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don",NA,"A.C. Cervi; Schell & Fiedler","2204","1983","10","28",NA,"Brasil","Paraná","Ponta Grossa","Rio dos Papagaios.","-50.1618995666504","-25.0949993133545",NA,"Flores avermelhadas. Dentro do tubo amareladas. Doação UPCB 16466.","CGMS1109508",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
