"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","typeStatus","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:24:48-03","UNESC","CRI","14802","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Schwirkowski, P.","2019","02","07","Schwirkowski, P.","3344","2019","02","07","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Serra Alta. Linha férrea, próximo à Rua José Augustin.","-49.370278","-26.278611","49º22'13''W","26º16'43''S","900","900","FOM. Área antropizada. Cálice verde, corola esverdeada Habitat: Borda de mata Habito: Liana","CRI014119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2073427","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"M. H. Nee","50459","1999","11","03","Bolivia","Santa Cruz","Florida","along highway from Bermejo to Samaipata, 7.2 km (by road) SW of bridge over Río Lajas, ca. 5.5 km (by road) NE of Estancia Cuevas","-63.72","-18.15",NA,NA,"1260",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512040' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073427","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","318638","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","G. N. Morillo",NA,NA,NA,"E. F. Poeppig","2318","1830",NA,NA,"Peru",NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318638","Magnoliophyta","Gentianales","South America","sheet","type","NY00318638_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2073438","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"J. R. I. Wood","12865","1997","11","22","Bolivia","Cochabamba","Chapare","On the descent to the Rio Espirito Santo below the UMOPAR checkpoint",NA,NA,NA,NA,"1800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512051' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073438","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2073431","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"M. H. Nee","36137","1988","01","30","Bolivia","Santa Cruz","Ichilo","9 km (by air) NE of Buena Vista on road to Portachuelo, La Arboleda","-63.6","-17.4",NA,NA,"300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512044' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073431","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2073429","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"M. H. Nee","33864","1987","01","28","Bolivia","Santa Cruz","Ignacio Warnes","E side of the village of Colonia Okinawa 1.","-62.88","-17.23",NA,NA,"250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512042' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073429","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2073430","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"M. H. Nee","46726","1996","01","07","Bolivia","Santa Cruz","Ignacio Warnes","above floodplain of the rio Grande, Puerto Macdonald, end of the Montero to Colonia Okinawa No. 1 road, at ferry crossing to Los Troncos and San Ramon","-62.78","-17.175",NA,NA,"250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512043' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073430","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01212438","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","G. N. Morillo",NA,NA,NA,"S. A. Mori","9005","1977","02","16","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461290' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212438","Magnoliophyta","Gentianales","South America","sheet",NA,"NY01212438_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2073428","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"M. H. Nee","33736","1987","01","23","Bolivia","Santa Cruz","Andrés Ibáñez","Santa Cruz","-63.2","-17.78",NA,NA,"420",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512041' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073428","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2073426","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"M. H. Nee","44421","1994","01","08","Bolivia","Santa Cruz","Florida","Quebrada La Coca, 7 km (by air) SW of Bermejo, new road along petroleum pipeline","-63.6889","-18.1611",NA,NA,"1150","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512039' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073426","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
