"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","scientificNameAuthorship","recordedBy","year","month","country","stateProvince","recordNumber","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","day","locality","verbatimLongitude","verbatimLatitude","preparationType","continentOcean"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4508","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Carlos Alberto Ferreira Júnior","2018","12","07","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:48-03","MN","R","16473","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Catalão","1928","01","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-28 09:14:57-03","MN","R","2971","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Rodrigues, J.B.","1881","04",NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","Bateman ex Lindl.","Freire Allemão, F.; Cysneiros, M.",NA,NA,"Brasil","Ceará","1494","R000002971","R000002971_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:48-03","MN","R","2973","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Sampaio, A.J.",NA,NA,NA,NA,NA,"Bateman ex Lindl.","Sampaio, A.J.","1909","10","Brasil","Rio de Janeiro","1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:48-03","MN","R","35646","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Sampaio, A.J.","1939","12","Brasil","Rio de Janeiro","8706",NA,NA,"Campos dos Goytacazes","-41.3244018554688","-21.7541999816895","62761","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:48-03","MN","R","35648","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Sampaio, A.J.","1940","02","Brasil","Rio de Janeiro","8764",NA,NA,"Campos dos Goytacazes","-41.3244018554688","-21.7541999816895","62761","auto",NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:16-03","FFCLRP","LBMBP","419","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","E.R. Pansarin",NA,NA,NA,NA,NA,"Bateman ex Lindl.","E.R. Pansarin",NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-24 17:09:42-03","UFES","SAMES","4414","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Zampirollo,J.B.","2011",NA,NA,NA,"Planta com sépalas e pétalas roxo escuro; labelo branco com uma faixa central amarela partindo da base até próximo ao ápice, cortorno das bordas e ápice em rosa claro.","Batem. ex Lindl.","Zampirollo,J.B.","2010","10","Brasil","Espírito Santo","8","SAMES04414",NA,"São Mateus","-39.8588981628418","-18.716100692749","56510","auto","05","Bairro Ideal. Orquidário do Sr. Roberson Maia.",NA,NA,NA,NA
"9","2021-03-24 17:09:42-03","UFES","SAMES","4415","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,"Petálas e sépalas de cor lilás, labelo lilás com nervura central branca com ápice amarelo, nervuras laterias adaxias amarelas e parte abaxial lilás, folhas comprimento 14 cm e de largura 3,5 cm, tubo floral 4 cm.","Batem. ex Lindl.","Souza,A.F.C.","2013","03","Brasil","Espírito Santo","1","SAMES04415",NA,"São Mateus","-39.8588981628418","-18.716100692749","56510","auto","01","Bairro Litorâneo. Orquidário do CEUNES.",NA,NA,NA,NA
"10","2019-11-06 09:56:49-03","UFOP","OUPR","9631","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Badini, J.","1972","05",NA,NA,"Cultivada. Erva. Flores roseas","Batem. ex Lindl.","Pinheiro, M.E.S.",NA,NA,"Brasil","Minas Gerais","s.n.",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"Antônio Pereira",NA,NA,NA,NA
