"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","decimalLongitude","decimalLatitude","phylum","order","continentOcean","coordinatePrecision","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus"
"1","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9197","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","mirandaianum","Bulbophyllum mirandaianum","Hoehne","Pabst, G.","1973","02","12","Amaral Jr., A.","1415/1419","1973","01","29","Brasil","São Paulo","Botucatu","A 13 km de Rubião Jr., pela estrada de Monte Alegre, na entrada da fazenda São José","9999","9999","BOTU009197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9198","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","mirandaianum","Bulbophyllum mirandaianum","Hoehne","Pabst, G.",NA,NA,NA,"Amaral Jr., A.","1139","1972","09","29","Brasil","São Paulo","São Manuel","Pavuna, póximo ao limite de Botucatu com S. Manuel pela rod. Marechal Rondon","9999","9999","BOTU009198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-06 19:30:04-03","UFES","VIES","44630","S","Plantae","Orchidaceae","Bulbophyllum","cantagallense","Bulbophyllum cantagallense","(Barb.Rodr.) Cogn.","Silva, H.L.","2018",NA,NA,"Silva, H.L.; Lieven, L.J","189","2018","11","15","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Mata da Chave Inglesa.","40º35'25''W","19º58'19''S","VIES044630","-40.590278","-19.971944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-08-31 09:19:26-03","INPA","INPA","43430","S","Plantae","Orchidaceae","Bulbophyllum","mirandaianum","Bulbophyllum mirandaianum","Hoehne",NA,NA,NA,NA,"Amaral Junior, A","1415","1973","01","29","Brasil","São Paulo","Botucatu","A 13 Km de Rubião Jr., pela estrada de Monte Alegre, árvore isolada na margem da estrada, na entrada da Faz. São José.",NA,NA,"INPA0043430","-48.439998626709","-22.8799991607666","Monocotyledon","Asparagales","Southern America","40412","INPA0043430 INPA0043430_e","auto",NA,NA,NA,NA
"5","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","38805",NA,"Plantae","Orchidaceae","Bulbophyllum","cantagallense","Bulbophyllum cantagallense","(Barb. Rodr.) Cogn.","D.R.Couto- 12/3/2005","2005","03","12","D.R. Couto; Manhães, V.C.","255","2005","03","12","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões",NA,NA,"MBML038805","-41.3664016723633","-21.0641994476318",NA,NA,NA,"29430","MBML038805","auto","700","700","Epífita. Flores brancas amareladas com listas vinho. Vegetando sobre Pseudobombax sp; Fragmento do Toti.",NA
"6","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","38804",NA,"Plantae","Orchidaceae","Bulbophyllum","cantagallense","Bulbophyllum cantagallense","(Barb.Rodr.)Cogn.","L. Kollmann - 30/04/04","2004","04","30","D.R. Couto","14","2004","02","15","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões",NA,NA,"MBML038804","-41.3664016723633","-21.0641994476318",NA,NA,NA,"29430","MBML038804","auto","700","700","Holoepífita Característica sobre Bombacaceae. Flores se abrem todas de uma só vez. Petalos e sépalos claros com listas vinhos nas peças florais. O centro do labelo possui lista vinho. Fragmento do Toti.",NA
"7","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","49346",NA,"Plantae","Orchidaceae","Bulbophyllum","cf. cantagallense","Bulbophyllum cf. cantagallense","Cogn.","D.R. Couto/15-12-2008",NA,NA,NA,"D.R. Couto","2082","2008","12","15","Brasil","Espírito Santo","Mimoso do Sul","Conceição de Muqui: Santa Luzia","41W28'50","20S54'10","MBML049346","-41.480556","-20.902778",NA,NA,NA,NA,"MBML049346",NA,"836","836","Holoepífita; flores alvas com listras longitudinais vinosas; labelo amarelado. Propriedade do Sr. Carlos Demartini.",NA
"8","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","49912",NA,"Plantae","Orchidaceae","Bulbophyllum","mirandaianum","Bulbophyllum mirandaianum","Hoehne",NA,NA,NA,NA,"N. Sanson",NA,NA,NA,NA,"Brasil","Espírito Santo","Conceição do Castelo",NA,NA,NA,"MBML049912","-41.2439002990723","-20.3682994842529",NA,NA,NA,"17824",NA,"auto",NA,NA,"Guy Chiron nº 12036",NA
"9","2021-02-12 15:02:21-03","UFSCar","SPSC","7312","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","cantagallense","Bulbophyllum cantagallense","(Barb.Rodr.) Cogn.","A.W.C. Ferreira",NA,NA,NA,"A.W.C. Ferreira",NA,"2007","03","07","Brasil","São Paulo","Analândia",NA,NA,NA,NA,"-47.6599998474121","-22.1200008392334",NA,NA,NA,"14271",NA,"auto",NA,NA,"Ripicola de cachoeira",NA
"10","2021-02-23 13:22:55-03","MN","R-TIPOS","3060","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","cantagallense","Bulbophyllum cantagallense","(Barb. Rodr.) Cogn.","Smidt, E.C.","2007","08",NA,"Schreiner, C.","3","1881","04",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Cantagalo",NA,NA,"R000003060","-43.2075004577637","-22.9027996063232",NA,NA,NA,"57442","R000003060_001","auto",NA,NA,NA,"Holotypus de Didactyle cantagallense Barb. Rodr."
