"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","01193328","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.","R. C. Barneby","E. Lleras","P16685","1973","07","20","South America","Brazil","Amazonas","Tabatinga Military Base","-69.9358","-4.2444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420279' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193328","NY01193328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02108784","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.",NA,"L. A. Mattos Silva","3171","1995","08","02","South America","Brazil","Bahia","Campus da Universidad Estadual da Santa Cruz (UESC), km 16 da Rof. Ilheus/tabuna (BR415)","-39.17","-14.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2267915' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108784","NY02108784_01","Ilhéus","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","813695","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.",NA,"Grupo Pedra do Cavalo","646","1980","08",NA,"South America","Brazil","Bahia","Vale dos Rios - Paraguaçu e Jacuipe.","-39.08","-12.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813695","NY00813695_01","Cachoeira","40","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","931589","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.","A. H. Gentry","R. H. Santos","7","1982","03","28","South America","Brazil","Distrito Federal",NA,"-47.97","-15.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931589","NY00931589_01","Brasília","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","720638","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.",NA,"W. Hoehne","3130","1949","05","16","South America","Brazil","São Paulo","Parque do Estado. Cultura do litora. Origem África tropical.","-46.6300010681152","-23.5400009155273","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720638","NY00720638_01","São Paulo",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","931588","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.","A. H. Gentry","R. Pinto","11","1982","04","08","South America","Brazil","Distrito Federal",NA,"-47.87","-15.85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931588","NY00931588_01","Brasília","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01193327","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P.Beauv.","L. M. M. Carreira","L. M. M. Carreira","983","1983","05","30","South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420270' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193327","NY01193327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-11 10:01:15-03","UNIVASF","HVASFW","121","S","Plantae",NA,NA,"Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P. Beauv.","J.A. Siqueira-Filho","J.A. Siqueira Filho",NA,"2011","02","11","América do Sul","Brasil","Pernambuco","Calçada da Casa n. 225, na esquina da Rua do Coliseu, próximo ao Colégio Auxiliadora","-40.497556","-9.3975",NA,"Espécie exótica oriunda do continente africano. Foram cortadas pela Prefeitura de Petrolina duas árvores idosas ca. de 7 e 9 m alt. Tronco com 59.55cm de diâmetro. As Árvores já existiam e eram adultas desde 1967, ou seja, 44 anos. Espécie ornamental na calçada da rua. A árvore foi cortada porque o tronco se apresentava oco na porção medular próximo a base da árvore.","HVASFW000121",NA,"Petrolina","379","379",NA,NA,"2011","02","11","-40.497556","-9.397500","U",NA,NA,NA,NA,NA
"9","2020-01-28 13:11:06-03","MCN-PUC-MINAS","HPUC-MG","CARP152","S","Plantae",NA,NA,"Bignoniaceae","Spathodea","campanulata","Spathodea campanulata",NA,"M.F.V.Starling","K.Bazoni",NA,"2008",NA,NA,NA,"Brasil","Minas Gerais","Campus PUC - Minas Coreu","-43.992222","-19.923611",NA,"Tipo de Fruto: Síliqua. Fruto com cápsula cimbiforme",NA,NA,"Belo Horizonte","934","934",NA,NA,NA,NA,NA,"43°59'32''W","19º55'25''S",NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","4184","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Spathodea","campanulata","Spathodea campanulata","P. Beauv","Felicio, C.R.","Felício, C.R.","14","1974","11","15",NA,"Brasil","São Paulo","não tem",NA,NA,NA,"Árvore, com 5 metros, aproximadamente, flores grandes de cor laranja","BOTU004184",NA,"Pederneiras",NA,NA,NA,NA,"1974","11","15","9999","9999",NA,NA,NA,NA,NA,NA
