"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","individualCount","typeStatus"
"1","2021-04-05 14:34:00-03","UNESC","CRI","2457","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.","L. B. Smith","1977","L. B. Smith; R. M. Klein","1964","12","03","Brasil","Santa Catarina","Água Doce","-51.553056","-26.998889","51º33'11''W","26º59'56''S","CRI007228","CRI007228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","786854","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","J. R. Swallen",NA,"R. Reitz","1958","12","11","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00786854",NA,"Magnoliophyta","Poales","7811","South America","Curral Falso, Bom Jardim, S. Joaquim","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","786700","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","L. B. Smith",NA,"L. B. Smith","1964","12","03","Brazil","Santa Catarina","Agua Doce","-51.4","-26.75",NA,NA,"NY00786700","NY00786700_01","Magnoliophyta","Poales","13400","South America","Campos de Palmas, 30 km. southeast of Horizonte (Paraná)","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549625' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","786699","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","L. B. Smith",NA,"L. B. Smith","1971","11","29","Brazil","Santa Catarina","Lebon Régis","-50.6953","-26.9292",NA,NA,"NY00786699","NY00786699_01","Magnoliophyta","Poales","15507","South America","4 km. southeast of Sao Sebastao",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549624' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","786852","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","J. R. Swallen",NA,"R. Reitz","1962","12","19","Brazil","Santa Catarina",NA,"-50.352773","-26.767693",NA,NA,"NY00786852","NY00786852_01","Magnoliophyta","Poales","14168","South America","Campo do Areao, Santa Cecilia","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549619' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","786851","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","J. R. Swallen",NA,"L. B. Smith","1956","11","21","Brazil","Santa Catarina","Bom Retiro","-49.4892","-27.7972",NA,NA,"NY00786851","NY00786851_01","Magnoliophyta","Poales","7803","South America","Between Fazenda Campo dos Padres and Fazenda Santo Antônio, Campo dos Padres","1400","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549621' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","786853","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","J. R. Swallen",NA,"R. Reitz","1960","11","04","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00786853","NY00786853_01","Magnoliophyta","Poales","10330","South America","Morro do Campo Alegre, Sao Francisco do Sul","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549620' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","786698","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","S. A. Renvoize",NA,"G. G. Hatschbach","1971","10","08","Brazil","Paraná","Sengés","-49.4633","-24.1131",NA,NA,"NY00786698","NY00786698_01","Magnoliophyta","Poales","27165","South America","Serra do Mocambo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549622' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","786697","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","S. A. Renvoize",NA,"G. G. Hatschbach","1976",NA,NA,"Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"NY00786697","NY00786697_01","Magnoliophyta","Poales","35531","South America","Rio Taquari, prox. Estr. Graciosa",NA,NA,"sheet","[collected 26/?/974] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549623' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:54:25-03","EAO","IAN","64901","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees",NA,NA,"Dusén, PKH","1903","02","25","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"IAN064901",NA,"Monocotiledônea",NA,"2240","Southern America",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
