"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","continentOcean","coordinatePrecision","barcode","geoFlag","individualCount","fieldNumber","preparationType","infraspecificEpithet","imagecode","class","order","typeStatus"
"1","2020-06-23 17:19:07-03","UFMG","BHCB-BRYOPHYTA","175189","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees.) Grolle","Maciel-Silva, AS; Silva, L; Rievrs, E","2014","12","12","Maciel-Silva, AS; Silva, L; Rievrs, E; Ribeiro, PD; Gouvea, Y; Paula, LFA; Fuzessy, LF; Moreira,","229A","2014","11","16","Brasil","Minas Gerais","Catas Altas","Parque Natural do Caraça, Trilha dos capões","-43.507389","-20.082306","-43.507389","-20.082306","1135","1135","Rocha próxima a ribeirão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-23 17:19:07-03","UFMG","BHCB-BRYOPHYTA","175190","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees.) Grolle","Maciel-Silva, AS; Silva, L; Rievrs, E","2014","12","12","Maciel-Silva, AS; Silva, L; Rievrs, E; Ribeiro, PD; Gouvea, Y; Paula, LFA; Fuzessy, LF; Moreira,","229B","2014","11","16","Brasil","Minas Gerais","Catas Altas","Parque Natural do Caraça, Trilha dos capões","-43.507389","-20.082306","-43.507389","-20.082306","1135","1135","Rocha próxima a ribeirão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-30 18:33:04-03","UFJF","CESJ","59249","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","E.T. Amorim","2011",NA,NA,"A.P. Luizi-Ponzo","321","2010","01",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Embaixo da ponte do Monjolinho, próximo ao laguinho","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"No paredão encharcado","Hepática","América do Sul","30417","CESJ059249","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-10-26 14:54:00-03","MO","MOBOT","101078126","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","J. Uribe M.",NA,NA,NA,"Antoine M. Cleef","Cleef 1902","1972","2","26","Colombia","Boyacá","Belen","Belen, Páramo de Guantiva, Cabecera Quebrada Minas, Hoya Laguna Alcohol, Tutasa.","-72.8333333","6.2",NA,NA,"3785.00000000",NA,NA,NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"5","2018-10-26 14:50:00-03","MO","MOBOT","101078122","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle",NA,NA,NA,NA,"S.R. Gradstein","Gradstein 8496","1992","7","26","Colombia","Risaralda",NA,"West side of Cordillera Occidental, trail jeguadas - Puerto de Oro, west of Mistrato.","-75.9166667","5.3",NA,NA,"1600.00000000",NA,NA,NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"6","2018-10-26 14:59:00-03","MO","MOBOT","101078131","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","J. Uribe M.",NA,NA,NA,"Jaime Aguirre","Aguirre Ceballos 2199","1981","7","6","Colombia","Meta",NA,"Parque Nacional de Sumapaz, Laguna Guitarra.","-74.4166667","3.75",NA,NA,"3490.00000000",NA,NA,NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"7","2018-10-26 15:08:00-03","MO","MOBOT","101078138","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","J. Uribe M.",NA,NA,NA,"Richard E. Schultes","Schultes 11690","1951","3","10","Colombia","Meta","La Macarena","Cordillera La Macarena.","-73.9166667","3.25",NA,NA,"500.00000000",NA,NA,NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"8","2009-12-04 09:35:00-02","MO","MOBOT","90099399","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","A. T. Whittemore",NA,NA,NA,"Bernardo R. Ramírez Padilla","Ramírez Padilla 8515","1995","8","31","Colombia","Putumayo","San Francisco","Km 112, Murallas-El Mirador.","-76.75","1.13333",NA,NA,"2100.00000000",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-08-24 11:42:00-03","MO","MOBOT","90129166","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","J.D. Parra",NA,NA,NA,"Juan David Parra","Parra 601","1998","8","8","Colombia","Antioquia",NA,"Medellín, Alto de Las Baldías","-75.66666","6.33333",NA,NA,"3000.00000000",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2012-04-12 05:10:00-03","MO","MOBOT","90253835","PreservedSpecimen","Plantae","Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","S. Churchill",NA,NA,NA,"Alfredo F. Fuentes|Javier Quisbert","Fuentes Claros 12383","2008","3","6","Bolivia","La Paz","Franz Tamayo","Parque Nacional Madidi, entre Mojos y Queara, sector Chuncani hacia Ichocorpa. Bosque de yungas montano superior pluvial en filo de serranía. <12382-12393>","-68.9541667","-14.6458333",NA,NA,"2948.00000000",NA,NA,NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-26 13:48:53-03","MNHN","RECOLNAT_MNHN_PC","PC0763101","PreservedSpecimen",NA,"Pallaviciniaceae","Jensenia","difformis","Jensenia difformis","(Nees) Grolle","Gradstein",NA,NA,NA,"Pérez, A.J.|Gradstein, S.R.|Benitez, A.|Deleg, J.",NA,"2019","9","30","Equateur","Morona Santiago",NA,"Ecuador. Morona Santiago : parroquia Bomboiza, Rio Quimi",NA,NA,NA,NA,"1100",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0763101' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"PC0763101",NA,NA,"11613","hb",NA,NA,NA,NA,NA
