"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","871833","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.","H. E. Robinson","H. S. Irwin","12822","1966","02","14","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871833","NY00871833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871831","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.",NA,"E. P. Heringer","17240","1979","04","20","South America","Brazil","Distrito Federal","Brasília","Jardim Zoológico","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871831","NY00871831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798625","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.","G. G. Hatschbach","J. Cordeiro","1420","1997","03","13","South America","Brazil","Paraná","Campina Grande do Sul","Queimado","-49.0553","-25.3058",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798625","NY00798625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 07:34:00-03","NY","NYBG","798630","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia",NA,NA,"G. Herter","909","1927","04",NA,"South America","Uruguay","San José",NA,"Barra de Sta. Lucia",NA,NA,"5","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","871829","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.",NA,"A. F. M. Glaziou","19510","1892",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871829","NY00871829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","871827","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.","H. E. Robinson","G. G. Hatschbach","42904","1980","03","23","South America","Brazil","Minas Gerais","Cristália","Bem Querer","-42.8619","-16.8006","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871827","NY00871827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","798628","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.",NA,"A. F. M. Glaziou","19509","1892",NA,NA,"South America","Brazil","São Paulo",NA,"St. Paul.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798628","NY00798628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","871834","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.","H. E. Robinson","H. S. Irwin","5735","1964","08","30","South America","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Brasília.","-47.85","-15.68","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871834","NY00871834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","798627","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.",NA,"L. Riedel","291","1826","03",NA,"South America","Brazil",NA,NA,"Jaihina",NA,NA,NA,NA,"sheet","Heob. Fischer printed on label <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798627","NY00798627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","871828","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Raulinoreitzia","leptophlebia","Raulinoreitzia leptophlebia","(B.L.Rob.) R.M.King & H.Rob.",NA,"G. Gardner","4227(VIII)","1842",NA,NA,"South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,"sheet","Comm. am. Shuttleworth 1842. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871828","NY00871828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
