"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1842926","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","bradei","Lycopodium bradei","Herter","isotype","A. C. Brade","16959[= herb. RB 45817]","1941","09","18","South America","Brazil","Minas Gerais","Serra do Caparaó Lajão","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2080678' target='other'> <mi>dwc_moreinfo</mi></a>","NY01842926","NY01842926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1017103","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodiella","bradei","Lycopodiella bradei","(Herter) B.Øllg.",NA,"Camerik AM",NA,"1975","06","25","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017103","NL-U1017103","Lycopsida","Øllgaard B","U 0097069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1017104","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodiella","bradei","Lycopodiella bradei","(Herter) B.Øllg.",NA,"Camerik AM",NA,"1975","06","25","Southern America","Brazil",NA,"Brasil, Est R.J. Itatiatia, Praseleiras.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017104 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017104","NL-U1017104","Lycopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1017105","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodiella","bradei","Lycopodiella bradei","(Herter) B.Øllg.",NA,"Camerik AM",NA,"1975","06","25","Southern America","Brazil",NA,"Brasil, Est R.J. Itatiatia, Praseleiras.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017105","NL-U1017105","Lycopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1017117","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodiella","bradei","Lycopodiella bradei","(Herter) B.Øllg.",NA,"Camerik AM",NA,"1975","06","25","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017117 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017117","NL-U1017117","Lycopsida","Øllgaard B","U 0097070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:56:02-03","ESALQ","ESA","139277","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(Herter) Holub.",NA,"Gissi, D. S.","250.0","2016","05","07",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia. Planalto. Trilha Rebouças - Pedra do Altar.",NA,NA,NA,"ESA139277",NA,NA,"D. S. Gissi",NA,"Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA,NA,NA
"7","2019-11-14 13:52:06-03","IAP","PACA-AGP","88895","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Lycopodiella","bradei","Lycopodiella bradei","(Herter) B. Ollg.",NA,"Windisch, P. G.","4967","1987","02","08",NA,"Brasil","ES","Serra do Caparaó.","2120",NA,"HASU 9176 Habitat: Formação herbáceo-arbustiva, terrestre, em barranco, margem de caminho.","PACA088895",NA,"Lycopodiopsida","B. Ollgaard et Windisch",NA,NA,"-41.75","-20.5",NA,NA,"1987","05","41°45'W","20°30'S","2120",NA
"8","2019-08-27 13:36:42-03","IAP","PACA-AGP","85766","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Lycopodiella","bradei","Lycopodiella bradei","(Herter) B. Ollg.",NA,"Reitz, R.","5319","1953","01","26",NA,"Brasil","SC",NA,"750",NA,"Plantas de Santa Catarina&nf;ASSL 14810 Habitat: barrancos de campo úmido","PACA085766",NA,"Lycopodiopsida","Windisch",NA,"Mafra","-49.8053016662598","-26.111400604248","66490","auto","1988",NA,NA,NA,"750",NA
"9","2019-11-21 14:50:23-03","UFJF","CESJ","24224","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(Herter) Holub",NA,"L. Krieger; et al.","CESJ24224","1989","04","30","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Próx. ao Terreirão - 2400msm. Sobre solo turfoso, local muito úmido.",NA,NA,NA,"CESJ024224","CESJ024224",NA,"D.S. Gissi",NA,NA,NA,NA,NA,NA,"2015","11",NA,NA,NA,NA
"10","2019-11-21 14:50:23-03","UFJF","CESJ","3041","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(Herter) Holub","Isotypus","A.C. Brade","16959","1941","09","18","América do Sul","Brasil","Minas Gerais","Serra do Caparaó, Lajão 2500m.",NA,NA,"Terrestre. Foi colhida no mesmo lugar por Schwacke em 02/08/1888.","CESJ003041","CESJ003041 CESJ003041_1",NA,"V.A.O. Dittrich",NA,NA,NA,NA,NA,NA,"2014","06",NA,NA,NA,NA
"11","2021-03-01 16:43:48-03","UNICAMP","UEC","57620","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(Herter) Holub",NA,"Salino, A","25818","1989","04","30",NA,"Brazil","Minas Gerais","Parque Nacional do Caparaó, Canho para o Terreirão.","2400",NA,"Terrestre.; No campo de altitude, em solo turfoso Local muito úmido.","UEC052212","UEC052212",NA,"Gissi, DS",NA,"Pico da Bandeira",NA,NA,NA,NA,"2015","09",NA,NA,"2400",NA
"12","2020-02-11 18:25:50-03","UFMG","BHCB-SL","157865","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(G.Heringer) Holub",NA,"Almeida, TE","s.n.","2013","11","18","América","Brasil","Minas Gerais","Parque Nacional do Caparaó, Cachoeira Bonita.",NA,NA,"Erva rupícola próximo à Cachoeira Bonita.","BHCB187865",NA,NA,"Salino, A",NA,"Alto Jequitibá","-41.837222","-20.406667",NA,NA,NA,NA,"-41.837222","-20.406667",NA,NA
"13","2020-02-11 18:25:50-03","UFMG","BHCB-SL","166875","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(G.Heringer) Holub",NA,"Almeida, TE; Salino, A; Schneider, H; Hennequin, S; Câmara, PS; Shaw, AJ","3386","2013",NA,NA,"América","Brasil","Minas Gerais","Parque Nacional do Caparaó, Região de Pedra Menina. Estrada entre a Macieira e a Casa Quei, Campos de altitude.","2230",NA,"Erva terrestre em barranco, próximo a afloramento rochosos, em meio a Sphgnum. Prensado em álcool.",NA,NA,NA,"Salino, A",NA,"Alto Caparaó","-41.813056","-20.467222",NA,NA,"2013","11","-41.813056","-20.467222","2230","19"
"14","2020-02-11 18:25:50-03","UFMG","BHCB-SL","162271","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(G.Heringer) Holub",NA,"Brade, AC","16959","1941","09","18","América","Brasil","Minas Gerais","Serra do Caparaó, Lajão.","2500",NA,"Terrestre.",NA,NA,NA,"Viveros, RS",NA,NA,NA,NA,NA,NA,"2017","07",NA,NA,"2500",NA
"15","2020-02-11 18:25:50-03","UFMG","BHCB-SL","103509","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(G.Heringer) Holub",NA,"Salino, A; Almeida, TE; Heringer, G; Assis, FC; Melo, LCN; Viana, PL; Teles, A;","11431","2006","11","23","América","Brasil","Minas Gerais","Parque Nacional do Caparaó, trilha entre Tronqueira e base do Pico da Bandeira, na região das Três Lagoas na trilha para o Pico do Cristal. Campo de Altitude e trechos de Mata Nebular","1800",NA,"Terrestre em barranco úmido no Campo de Altitude. PRENSADO EM ÁLCOOL","BHCB001888","BHCB001888",NA,"Salino, A",NA,"Alto Caparaó","-41.815667","-20.418139",NA,NA,"2006","11","-41.815667","-20.418139","2560",NA
