"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","521094","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","L. Lanstyack","109",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Mauá; Rib. Bonito","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=592380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521094","A. C. Brade","NY00521094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:08-03","UNESP-IBB","BOTU","31607","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Silva, S.M.P.","171","2006","07","18",NA,"Brasil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande",NA,NA,NA,NA,NA,NA,"BOTU031607","Martins, A.B.",NA,NA,NA,"2007","10","9999","9999",NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:31:40-03","MN","R","9479","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Glaziou, A.F.M.","16814","1879","07","08",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,"Plantas do Brasil CentralPlantas do Brasil Central","R000009479",NA,"R000009479_001","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:18:20-03","UFV","VIC","32113","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Valente, G.E.; et al.","1952","2007","08","14",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Árvore com cerca de 20 m de altura com um galho pendente fascilitando a coleta. Flor de corola branca e antenas ligeiramente lilases, cálice verde.","VIC032113",NA,"VIC032113","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:18:20-03","UFV","VIC","33606","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Valente, G.E.; et al.","1991","2007","10","06",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Árvore com cerca de 25,0 m de altura, com frutos.","VIC033606",NA,"VIC033606","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:39:30-03","UFJF","CESJ","53870","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","J.A. Oliveira; F.S. Souza; J.H.C. Ribeiro","55","2009","07","15","América do Sul","Brasil","Minas Gerais","Lima Duarte","Serra Negra, Fazenda Serra Negra, trilha na área B.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Árvore, 15m, em interior de mata, flores brancas, filetes roxos, anteras laranjas.","CESJ053870","B. Chiavegatto",NA,"30417","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:39:30-03","UFJF","CESJ","49309","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","A.S.M. Valente; P.O. Garcia","491","2006","08","27","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Mata da Cachoeira do Ninho da Égua, ca. 1300 m.s.m.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Árvore ca. 16 m alt., no interior da mata nebular. Fitossociologia=747N.","CESJ049309","R. Goldenberg",NA,"20815","auto","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:39:30-03","UFJF","CESJ","55615","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","J.F.A. Braumgratz; F.F.V.A.Barberena; G.Heiden; W.Silva; L.A.F.Santos","1001","2007","09","11","América do Sul","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"CESJ055615","J.F.A. Braumgratz",NA,"19648","auto","2007","09",NA,NA,"11",NA,NA,NA,NA,NA
"19","2021-03-01 16:34:28-03","UNICAMP","UEC","160403","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","251","2011","01","05",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.945278","-23.330333","999","999",NA,"Material vegetativo. Cerca de 9,5 m de altura e 5 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","UEC009958",NA,"UEC009958",NA,NA,NA,NA,"-45.945278","-23.330333",NA,NA,NA,NA,NA,NA
"20","2019-08-20 10:18:47-03","UNICAMP","UEC","146736","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Arzolla, FARDP; Pinto, JB","952","2005","08","24",NA,"Brazil","Minas Gerais","Delfim Moreira","Bairro das Machados","-45.173889","-22.559583","1600","1600",NA,"Árvore, 20 metros de altura, flores brancas.","UEC080402",NA,"UEC080402",NA,NA,NA,NA,"-45.173889","-22.559583",NA,NA,NA,NA,NA,NA
