"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","infraspecificEpithet","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2099616","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","C. E. Calderón","2757","1979","07","03","South America","Brazil","Amazonas","Estrada do Estanho, road to Igarapé Preto, ca 60-62 km SE of Transamazon Highway","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238977' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099616","NY02099616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2086621","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","M. J. P. Pires-O'Brien","799","1986","02","27","South America","Brazil","Pará","Monte Dourado, proximo a marina da balsa do SION em Munguba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238838' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086621","NY02086621_01","Almeirim","-52.4279487","-0.9222002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2086620","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","J. A. Ratter","5844","1987","03","24","South America","Brazil","Roraima","Monte Alegre. SEMA Ecological Station, Ilha de Maraca; below Station, amosgst tall tussock grasses.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238837' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086620","NY02086620_01",NA,"-61.416667","3.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2099562","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","R. Spruce","753","1850","08",NA,"South America","Brazil","Pará","In vicinibus Santarem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238854' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099562","NY02099562_01",NA,"-54.740486","-2.449614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2099564","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","G. T. Prance","15284","1971","10","15","South America","Brazil","Amazonas","Rio Negro between Ilha da Silva & Tapuruquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238856' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099564","NY02099564_01",NA,"-64.669932","-0.434626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2086623","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","L. Weiss","s.n.","1907",NA,NA,"South America","Brazil","Amazonas","Upper Rio Negro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238840' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086623","NY02086623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2099561","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","R. Vilhena","278","1978","12","14","South America","Brazil","Pará","Estrada que liga Alter do Chao. Na praia do lago.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238853' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099561","NY02099561_01","Santarém","-54.850688","-2.509339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386882","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Lam.","L. O. Williams","6873","1945","05","04","South America","Brazil","Minas Gerais","Serra da Bocaina, 10 km northwest of Sêrro,","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=585587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386882","NY00386882_01","Serro","-43.3792","-18.6047","P. A. Fryxell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02099608","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","I. L. do Amaral","47","1982","10","13","South America","Brazil","Amazonas","Rio Solimões, margem direita, lago Tefé, Vila Nogueira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238969' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099608","NY02099608_01","Tefé","-64.7806","-3.3008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2086624","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","furcellatus","Hibiscus furcellatus","Desr.","R. de Lemos Fróes","21155","1945","10","15","South America","Brazil","Amazonas","Ipanoré. Rio Negro. Vaupés.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238841' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086624","NY02086624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
