"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","dayIdentified","coordinatePrecision","geoFlag","imagecode","typeStatus","fieldNumber","sex","preparationType"
"1","2019-11-21 14:33:00-03","UFJF","CESJ","58532","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","L. Menini Neto","2012","04","F.E. Alves","33","2010","12","03","América do Sul","Brasil","Minas Gerais","Olaria","Serra do Cruz, Borda de mata nebular. 21º53'26,53S, 44º04'58,81O. 1480m.s.m.","-44.083003","-21.890703","-44.083003","-21.890703","1480","1480","Epífita em borda de mata, próximo a estrada principal. Folhas verdes com ápice vináceo. Brácteas vermelhas matizadas de verde-claro.","CESJ058532",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:33:00-03","UFJF","CESJ","58539","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","L. Menini Neto","2011","04","F.E. Alves; L. Menini Neto; R. Ottoni","65","2011","04","30","América do Sul","Brasil","Minas Gerais","Olaria","Serra do Cruz, Capão de mata. 21º53'52,94S, 44º04'45,26O. 1430 m.s.m.","-44.079239","-21.898039","-44.079239","-21.898039","1430","1430","Epífita em capão de mata. A ca. 0,75 m altura. Folhas verde-claras. Inflorescência passada.","CESJ058539","30",NA,NA,NA,NA,NA,NA,NA
"3","2020-06-30 18:32:06-03","UFJF","CESJ","66412","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","B. Moreira","2014","12","B. Moreira; L.C.D. Dias","58","2014","11","15","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, trilha da janela do céu, próxima ao areal","-43.886389","-21.679444","-43.886389","-21.679444","1600","1600","Coletada no solo, ca. 1m, inflorescência verde/vermelha, flores amarelas","CESJ066412","12",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:33:00-03","UFJF","CESJ","71891","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","L. Menini Neto","2017","05","D.E.F. Barbosa; S.G. Furtado; L. Menini Neto; H.R. Pereira Filho","379","2017","05","10","América do Sul","Brasil","Minas Gerais","Descoberto","Serra do Relógio, Floresta semidecidual montana","-42.935833","-21.387778","-42.935833","-21.387778","1300","1300","Epífita a 2m. Brácteas do escapo vermelhas nabase e verde no ápice. Frutos imaturos verdes. Interior de floresta.","CESJ071891","10",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:33:00-03","UFJF","CESJ","48525","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","A.P.G. de Faria","2010","03","L. Menini Neto; C.N. Matozinhos; N.L. Abreu; T.Trindade; E.A. Feliciano; P.L. Viana","298","2007","01","27","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Erva terrestre, folhas verdes, bainhas castanhas internamente e cremes externamente, escapo verde, brácteas das ramificações vermelhas, brácteas florais verde-amareladas, botões verde-claros.","CESJ048525","19","20815","auto",NA,NA,NA,NA,NA
"6","2020-06-30 18:32:06-03","UFJF","CESJ","37760","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","R.F.Monteiro","2006","08","R.C. Forzza; M.Heluey; F.S. Araújo; A.S.M. Valente","1800","2001","02","08","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, trilha para a Lombada.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Erva epífita ou terrestre, em mata rala no campo. Folhas verdes com bainhas alvas. Brácteas do escapo vermelhas na base, verde no ápice. Brácteas florais verdes passando a vermelhas. Flores amarelo-esverdeadas. Material prensado em álcool.","CESJ037760","04","30417","auto",NA,NA,NA,NA,NA
"7","2019-11-21 14:33:00-03","UFJF","CESJ","41745","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","M.G.C.Nogueira","2012","08","F.R.G. Salimena; J.P. Braga; P.H. Nobre; A.S.M. Valente; G.G.Faria","1058","2002","06","01","América do Sul","Brasil","Minas Gerais","Pedralva","Serra da Pedra Branca, Na Pedra Grande. (1850m)","-45.4658012390137","-22.2427997589111",NA,NA,NA,NA,"Planta rupícola, em afloramento horizontal e vertical. Escapo laranja-salmão na base da bráctea amarelo-ouro. Comum.","CESJ041745","23","10929","auto",NA,NA,NA,NA,NA
"8","2019-11-21 14:33:00-03","UFJF","CESJ","44047","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","A.P.G. de Faria","2010","03","A.S.M. Valente; C.N. Matozinhos; K. Antunes; N.L. Abreu; F.S. Souza","383","2005","04","21","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, cachoeira do Marciano.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Epífita em campo rupestre. Bainha foliar arroxeada, lâmina verde-claro e ápice avermelhado, brácteas do escapo avermelhadas e frutos imaturos verdes.","CESJ044047","19","20815","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:33:00-03","UFJF","CESJ","50255","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","A.P.G. de Faria","2010","06","T.M. Machado; S.A. Roman; F.S. Souza; A.L.Santiago; A. Salino; L. Echternacht; V.A.O. Dittric","70","2008","04","29","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Mata depois da cachoeirado Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Frutos abertos, Brácteas do escapo secas.","CESJ050255","21","20815","auto",NA,NA,NA,NA,NA
"10","2019-11-21 10:02:54-03","IBt","SP","391963","S","Plantae",NA,"Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","Monteiro, RF","2007","02","Martinelli, G; et al.","15311","1998","12","09",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Distrito de Conceição do Ibitipoca. Morro da Gruta dos Três Arcos.","-43.878333","-21.735","-43.878333","-21.735","1500","1550",NA,"SP053480",NA,NA,NA,"SP053480",NA,NA,NA,NA
"11","2019-11-21 10:02:54-03","IBt","SP","392008","S","Plantae",NA,"Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","Versieux, LM",NA,NA,"Versieux, LM; Calvente, AM; Trindade, T","349","2007","01","13",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.875167","-21.687556","-43.875167","-21.687556","1575","1575","Prensado em álcool.","SP053479",NA,NA,NA,"SP053479",NA,NA,NA,NA
"12","2019-11-21 10:02:54-03","IBt","SP","392009","S","Plantae",NA,"Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","Versieux, LM",NA,NA,"Versieux, LM; Calvente, AM; Trindade, T","350","2007","01","13",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.875167","-21.687556","-43.875167","-21.687556","1575","1575","DNA amostrado, flor em álcool. Prensado em álcool.","SP053478",NA,NA,NA,"SP053478",NA,NA,NA,NA
"13","2019-11-21 10:02:54-03","IBt","SP","391958","S","Plantae",NA,"Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L.B.Sm.","Monteiro, RF","2005","06","Monteiro, RF; et al.","22","2004","02","05",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Campo próximo à estrada para a Janela do Céu.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,"SP053481",NA,"30417","auto","SP053481",NA,NA,NA,NA
"14","2010-08-16 16:43:03-03","GH","HU-HERB","GH 00029521","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L. B. Smith",NA,NA,NA,"M. B. Foster & R. Foster","135","1939","7","1","South America","Brazil","Rio de Janeiro",NA,"Itatiaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","135","undetermined","Sheet"
"15","2010-08-16 16:43:05-03","GH","HU-HERB","GH 00029522","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","penduliflora","Vriesea penduliflora","L. B. Smith",NA,NA,NA,"M. B. Foster & R. Foster","135","1939","7","1","South America","Brazil","Rio de Janeiro",NA,"Itatiaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","135","undetermined","Sheet"
