"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","stateProvince","county","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:37:26-03","E","E","417442","PreservedSpecimen","Plantae","Compositae","Calea","lantanoides","Calea lantanoides","isotype","Gardner, George","3853","1905","01","12","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:450994","<a href=http://data.rbge.org.uk/herb/E00417442 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 12:08:00-03","NY","NYBG","162942","PreservedSpecimen","Plantae","Asteraceae","Calea","brevifolia","Calea brevifolia","holotype","R. S. Williams","263","1902","04","09","South America","Bolivia","Apolo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162942","Magnoliophyta","Asterales","-68.41692","-14.720389","1524.0","1524.0","NY00162942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","658308","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides",NA,"J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil","Ad Lagoa Santa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00658308","Magnoliophyta","Asterales","-43.8894","-19.6272",NA,NA,NA,"Gardner","Minas Gerais","Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622247","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides","isotype","G. Gardner","VIII.3853","1840","03",NA,"South America","Brazil","In campis siccis prope Villa de Arrayas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622247","Magnoliophyta","Asterales","-46.9381","-12.9317",NA,NA,"NY00622247_01","Gardner","Tocantins","Arraias","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622248","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides","isotype","G. Gardner","VIII.3853","1840","03",NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622248","Magnoliophyta","Asterales",NA,NA,NA,NA,"NY00622248_01","Gardner","Goiás",NA,"J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","622246","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides","isotype","G. Gardner","3853",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622246","Magnoliophyta","Asterales",NA,NA,NA,NA,"NY00622246_01","Gardner","Goiás",NA,"J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:34-03","EAO","IAN","136084","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides",NA,"Ratter, JA; Santos, RR dos","1531","1968","05","25","Southern America","Brasil","Lagoa de Leo, 8km SW of the Base Camp of the Expedition (Base Camp, c.270km N of Xavantina).",NA,NA,"Herb, 1m tall. Florets yellow. Growing in damp grassy campo close to the lake.","IAN136084","Dicotiledônea",NA,"-51.866667","-12.9",NA,NA,NA,"Gardner","Mato Grosso",NA,"Barroso, GM","-51.866667","-12.9",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:34-03","EAO","IAN","40968","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides",NA,"Pohl, RW","604",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN040968","Dicotiledônea",NA,NA,NA,NA,NA,NA,"Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:34-03","EAO","IAN","123252","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides",NA,"Irwin, HS; Grear Jr., JW; Grear Jr., JW","15826","1966","05","13","Southern America","Brasil","Cerrado, ca. 25km E of Brasília.",NA,NA,"Shrub ca. 1,5m tall. Heads yellow.","IAN123252","Dicotiledônea",NA,"-47.9296989440918","-15.7797002792358","950","950",NA,"Gardner","Distrito Federal","Brasília","Barroso, GM",NA,NA,"1966","70570","auto",NA,NA,NA,NA,NA
"10","2021-03-30 12:34:34-03","EAO","IAN","123016","PreservedSpecimen","Plantae","Asteraceae","Calea","lantanoides","Calea lantanoides",NA,"Irwin, HS; Souza, R","11653","1966","01","14","Southern America","Brasil","Cerrado, summit of Chapada da Contagem.",NA,NA,"Shrub ca. 1,5m tall. Heads yellow, fragrant.","IAN123016","Dicotiledônea",NA,"-47.9296989440918","-15.7797002792358","1100","1100",NA,"Gardner","Distrito Federal","Brasília","Barroso, GM",NA,NA,"1966","70570","auto",NA,NA,NA,NA,NA
