"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","typeStatus","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:38:08-03","E","E","161302","PreservedSpecimen","Plantae","Compositae","Senecio","pohlii","Senecio pohlii","Ibáñez García, A. & Bridgewater, S.","1996","10","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168680","<a href=http://data.rbge.org.uk/herb/E00161302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871996","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","H. S. Irwin","1970","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871996","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso","27650","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 8 km E. of Diamantina, road to Extração.","-43.601","-18.24","1175","1175","NY00871996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798335","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","C. M. Lira","1979","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=639094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798335","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso; J. P. P. Carauta","36","Rio de Janeiro",NA,"Nova Friburgo, Barracao dos Mendes (estrada de terra próxima a Rodovia Teresópolis-Friburgo km 40)",NA,NA,NA,NA,"NY00798335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872003","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","A. P. Duarte","1963","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872003","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso","7888","Minas Gerais","São Thomé das Letras",NA,"-44.9853","-21.7222",NA,NA,"NY00872003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872002","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","L. Monteiro de S.","1969","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872002","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso","152","Minas Gerais","São Thomé das Letras",NA,"-44.9853","-21.7222",NA,NA,"NY00872002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872000","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","G. G. Hatschbach","1996","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872000","Magnoliophyta","Asterales","Sch.Bip. ex Baker","H. E. Robinson","64219","Minas Gerais","Várzea da Palma","Serra do Cabral, Agropecuária","-44.7306","-17.5983",NA,NA,"NY00872000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","860865","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","H. S. Irwin","1966","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860865","Magnoliophyta","Asterales","Sch.Bip. ex Baker",NA,"12015","Distrito Federal","Brasília","Cerrado slopes near Côrrego Corguinho, immediately east of Sobradinho","-47.708","-15.633","1000","1000","NY00860865_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","871999","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","H. S. Irwin","1969","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871999","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso","21884","Minas Gerais",NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300","NY00871999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","860859","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","H. S. Irwin","1970","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860859","Magnoliophyta","Asterales","Sch.Bip. ex Baker","M. H. Nee","27822","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 15 km E. of Diamantina","-43.56115","-18.17235","950","950","NY00860859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","871995","PreservedSpecimen","Plantae","Asteraceae","Senecio","pohlii","Senecio pohlii","H. S. Irwin","1970","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871995","Magnoliophyta","Asterales","Sch.Bip. ex Baker","G. M. Barroso","25460","Minas Gerais","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","1050","1050","NY00871995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
