"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","decimalLongitude","decimalLatitude","catalogNumber","scientificNameAuthorship","identifiedBy","year","day","stateProvince","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode"
"1","2019-09-04 19:05:13-03","F","FMNH-SEEDPLANTS","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Campanulaceae","Lobelia","glazioviana","Lobelia glazioviana","Type [status unknown]","A. Glaziou","5922","South America","Brazil","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-09-23 10:57:02-03","G","G","S","Plantae",NA,NA,"Campanulaceae","Lobelia","glazioviana","Lobelia glazioviana","TYPUS of Lobelia zahlbruckneri E. Wimm.","Glaziou, A. F. M.","8148","AMERIQUE DU SUD","Brazil","-42.9125","-22.48222222","G00237840","Zahlbr.","?","1876","00","Rio de Janeiro","-42.9125","-22.48222222","Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=193490&base=img&lang=en","G00237840","G00237840"
